id,sector,barrio,tarifa_base,recargo_distancia,tarifa_total,tiempo_estimado,distancia_aprox_km
1,SECTOR GENERAL,CEIBA,8000,0,8000,25-35 min,4.5
2,SECTOR GENERAL,CEDRITOS,8000,0,8000,25-35 min,4.5
3,SECTOR GENERAL,BOSQUE BAJO,8000,0,8000,25-35 min,4.5
4,SECTOR GENERAL,SAUCES,8000,0,8000,25-35 min,4.5
5,SECTOR GENERAL,ROSALES,8000,0,8000,25-35 min,4.5
6,SECTOR GENERAL,CONJUNTO LLANO GRANDE,8000,0,8000,25-35 min,4.5
7,SECTOR GENERAL,COJUNTO SANTA LUCIA,8000,0,8000,25-35 min,4.5
8,SECTOR GENERAL,COJUNTO BARCELONA,8000,0,8000,25-35 min,4.5
9,SECTOR GENERAL,CONDOMINIO ROSALES,8000,0,8000,25-35 min,4.5
10,SECTOR GENERAL,POPULAR,8000,0,8000,25-35 min,4.5
11,SECTOR GENERAL,DOS MIL BAJO,8000,0,8000,25-35 min,4.5
12,SECTOR GENERAL,DOS MIL ALTO,8000,0,8000,25-35 min,4.5
13,SECTOR GENERAL,BAMBU,8000,0,8000,25-35 min,4.5
14,SECTOR GENERAL,SANTA HELENA,8000,0,8000,25-35 min,4.5
15,SECTOR GENERAL,JORDAN,8000,0,8000,25-35 min,4.5
16,SECTOR GENERAL,JORDAN PARAISO,8000,0,8000,25-35 min,4.5
17,SECTOR GENERAL,JORDAN ALTO,8000,0,8000,25-35 min,4.5
18,SECTOR GENERAL,SAN LUIS,8000,0,8000,25-35 min,4.5
19,SECTOR GENERAL,TRANSITO Y ACUEDUCTO,8000,0,8000,25-35 min,4.5
20,SECTOR GENERAL,MADRIGAL,8000,0,8000,25-35 min,4.5
21,SECTOR GENERAL,VILLA FABIOLA,8000,0,8000,25-35 min,4.5
22,SECTOR GENERAL,CAMINO REAL,8000,0,8000,25-35 min,4.5
23,SECTOR GENERAL,VILLA CRISTINA,8000,0,8000,25-35 min,4.5
24,SECTOR GENERAL,CASTILLA,8000,0,8000,25-35 min,4.5
25,SECTOR GENERAL,VAINILLA,8000,0,8000,25-35 min,4.5
26,SECTOR GENERAL,CARCEL,8000,0,8000,25-35 min,4.5
27,SECTOR GENERAL,RECREO,8000,0,8000,25-35 min,4.5
28,SECTOR GENERAL,SEIS DE ABRIL,8000,0,8000,25-35 min,4.5
29,SECTOR GENERAL,OLIMPICA,8000,0,8000,25-35 min,4.5
30,SECTOR GENERAL,MANANTIAL,8000,0,8000,25-35 min,4.5
31,SECTOR GENERAL,HIERBABUENA,8000,0,8000,25-35 min,4.5
32,SECTOR GENERAL,COFREN CATAMA,8000,0,8000,25-35 min,4.5
33,SECTOR GENERAL,PUESTO DE SALUD RECREO,8000,0,8000,25-35 min,4.5
34,SECTOR GENERAL,ALCALA,8000,0,8000,25-35 min,4.5
35,SECTOR GENERAL,FLORENCIA,8000,0,8000,25-35 min,4.5
36,SECTOR GENERAL,DESMONTADORA,8000,0,8000,25-35 min,4.5
37,SECTOR GENERAL,"CONJUNTO CAMINO REAL (1,2,3,4)",8000,0,8000,25-35 min,4.5
38,SECTOR GENERAL,"PARQUES DE SEVILLA (1,2,3,4,)",8000,0,8000,25-35 min,4.5
39,SECTOR GENERAL,CONJUNTO TULIPANES,8000,0,8000,25-35 min,4.5
40,SECTOR GENERAL,CONJUNTO GIRASOLES,8000,0,8000,25-35 min,4.5
41,SECTOR GENERAL,CONJUNTO ALMERIA,8000,0,8000,25-35 min,4.5
42,SECTOR GENERAL,CONDOMINIO CRISTALES,8000,0,8000,25-35 min,4.5
43,SECTOR GENERAL,CONJUNTO PALAMA REAL,8000,0,8000,25-35 min,4.5
44,SECTOR GENERAL,ALTOS DE LOMALINDA,8000,0,8000,25-35 min,4.5
45,SECTOR GENERAL,COJUNTO VILLA KARINA,9000,0,9000,30-40 min,6.0
46,SECTOR GENERAL,CONJUNTO PRADOS DE CASTILLA,9000,0,9000,30-40 min,6.0
47,SECTOR GENERAL,EDIFICIO SANFERNANDO PLAZA,9000,0,9000,30-40 min,6.0
48,SECTOR GENERAL,PRADOS DE HIRBABUENA,9000,0,9000,30-40 min,6.0
49,SECTOR GENERAL,COJUNTO MALIBU,9000,0,9000,30-40 min,6.0
50,SECTOR GENERAL,BALCONES DE PONTEVEDRA,9000,0,9000,30-40 min,6.0
51,SECTOR GENERAL,ESTERO,9000,0,9000,30-40 min,6.0
52,SECTOR GENERAL,MACUNAIMA,9000,0,9000,30-40 min,6.0
53,SECTOR GENERAL,PARQUE DE LA MEMORIA,9000,0,9000,30-40 min,6.0
54,SECTOR GENERAL,MACARENA,9000,0,9000,30-40 min,6.0
55,SECTOR GENERAL,NOGAL,9000,0,9000,30-40 min,6.0
56,SECTOR GENERAL,SAN CRISTOBAL,9000,0,9000,30-40 min,6.0
57,SECTOR GENERAL,CAMELIAS,9000,0,9000,30-40 min,6.0
58,SECTOR GENERAL,OLIMPICO BAJO,9000,0,9000,30-40 min,6.0
59,SECTOR GENERAL,VILLA ORTIX,9000,0,9000,30-40 min,6.0
60,SECTOR GENERAL,OLIMPICO,9000,0,9000,30-40 min,6.0
61,SECTOR GENERAL,VILLA JHOANA,9000,0,9000,30-40 min,6.0
62,SECTOR GENERAL,CATALUÑA,9000,0,9000,30-40 min,6.0
63,SECTOR GENERAL,VILLA NIEVES,9000,0,9000,30-40 min,6.0
64,SECTOR GENERAL,DANUVIO,9000,0,9000,30-40 min,6.0
65,SECTOR GENERAL,GAUDALAJARA,9000,0,9000,30-40 min,6.0
66,SECTOR GENERAL,MARACOS,9000,0,9000,30-40 min,6.0
67,SECTOR GENERAL,MI LLANURA,9000,0,9000,30-40 min,6.0
68,SECTOR GENERAL,BELLO HORISONTE,9000,0,9000,30-40 min,6.0
69,SECTOR GENERAL,SAN INGNACIO,9000,0,9000,30-40 min,6.0
70,SECTOR GENERAL,"CANTARRANA 1,2,3,4,",9000,0,9000,30-40 min,6.0
71,SECTOR GENERAL,PARQUE LA LLNURA,9000,0,9000,30-40 min,6.0
72,SECTOR GENERAL,PARQUE SICUANI,9000,0,9000,30-40 min,6.0
73,SECTOR GENERAL,SAUSALITO,9000,0,9000,30-40 min,6.0
74,SECTOR GENERAL,BOCHICA,9000,0,9000,30-40 min,6.0
75,SECTOR GENERAL,CANAIMA,9000,0,9000,30-40 min,6.0
76,SECTOR GENERAL,PORTAL DEL CANAIMA,9000,0,9000,30-40 min,6.0
77,SECTOR GENERAL,SAN NISIDRO,9000,0,9000,30-40 min,6.0
78,SECTOR GENERAL,SANTA INES,9000,0,9000,30-40 min,6.0
79,SECTOR GENERAL,HOTEL ROSADO,9000,0,9000,30-40 min,6.0
80,SECTOR GENERAL,VILLA DEL SOL,9000,0,9000,30-40 min,6.0
81,SECTOR GENERAL,LA MORGUE,9000,0,9000,30-40 min,6.0
82,SECTOR GENERAL,SAN MARCOS,9000,0,9000,30-40 min,6.0
83,SECTOR GENERAL,CONJONTO TOSCANA,9000,0,9000,30-40 min,6.0
84,SECTOR GENERAL,QUINTAS DE TOSCANA,9000,0,9000,30-40 min,6.0
85,SECTOR GENERAL,FLORIDA,9000,0,9000,30-40 min,6.0
86,SECTOR GENERAL,NUEVA FLORESTA,9000,0,9000,30-40 min,6.0
87,SECTOR GENERAL,TEUSACA,9000,0,9000,30-40 min,6.0
88,SECTOR GENERAL,EMBUDO,9000,0,9000,30-40 min,6.0
89,SECTOR GENERAL,SANBENITO,9000,0,9000,30-40 min,6.0
90,SECTOR GENERAL,NUEVO RICAUTE,9000,0,9000,30-40 min,6.0
91,SECTOR GENERAL,PORVENIR,9000,0,9000,30-40 min,6.0
92,SECTOR GENERAL,VIENTE JULIO,9000,0,9000,30-40 min,6.0
93,SECTOR GENERAL,SIMON BOLIVAR,9000,0,9000,30-40 min,6.0
94,SECTOR GENERAL,ANTONIO RICAUTE,9000,0,9000,30-40 min,6.0
95,SECTOR GENERAL,BARRIO NOGALES,9000,0,9000,30-40 min,6.0
96,SECTOR GENERAL,CANEY,9000,0,9000,30-40 min,6.0
97,SECTOR GENERAL,BRISAS DEL CANEY,9000,0,9000,30-40 min,6.0
98,SECTOR GENERAL,AMARAL,9000,0,9000,30-40 min,6.0
99,SECTOR GENERAL,CATATUMBO,9000,0,9000,30-40 min,6.0
100,SECTOR GENERAL,RETIRO,9000,0,9000,30-40 min,6.0
101,SECTOR GENERAL,BUENOS AIRES,9000,0,9000,30-40 min,6.0
102,SECTOR GENERAL,REMANSO,9000,0,9000,30-40 min,6.0
103,SECTOR GENERAL,VIZCAYA,9000,0,9000,30-40 min,6.0
104,SECTOR GENERAL,HOTEL HACARITAMA,9000,0,9000,30-40 min,6.0
105,SECTOR GENERAL,CANCHA RACING,9000,0,9000,30-40 min,6.0
106,SECTOR GENERAL,HACARITAMA,9000,0,9000,30-40 min,6.0
107,SECTOR GENERAL,BARRIO PRIMAVERA,9000,0,9000,30-40 min,6.0
108,SECTOR GENERAL,PARQUE PRIMAVERA,9000,0,9000,30-40 min,6.0
109,SECTOR GENERAL,CIUDADELA EL DIVINO NIÑO,9000,0,9000,30-40 min,6.0
110,SECTOR GENERAL,LAS FERIAS,9000,0,9000,30-40 min,6.0
111,SECTOR GENERAL,GAITAN,9000,0,9000,30-40 min,6.0
112,SECTOR GENERAL,SAN GREGORIO,9000,0,9000,30-40 min,6.0
113,SECTOR CEREO UNO,MAIZARO,9000,0,9000,30-40 min,6.0
114,SECTOR CEREO UNO,"CONDOMINIO DUARY 1,2",9000,0,9000,30-40 min,6.0
115,SECTOR CEREO UNO,CERRO CAMPESTRE ALTO,9000,0,9000,30-40 min,6.0
116,SECTOR CEREO UNO,CERRO CAMPESTRE BAJO,9000,0,9000,30-40 min,6.0
117,SECTOR CEREO UNO,CONDOMINIO BOSQUES DE VIZCAYA,9000,0,9000,30-40 min,6.0
118,SECTOR CEREO UNO,CONDOMINIO PORTAL DEL MOLINO,9000,0,9000,30-40 min,6.0
119,SECTOR CEREO UNO,RESERVAS DEL VIZCAYA,9000,0,9000,30-40 min,6.0
120,SECTOR CEREO UNO,"CONJUNTO LOS ALMENDROS 1,2",9000,0,9000,30-40 min,6.0
121,SECTOR CEREO UNO,CAMINOS DE SEVILLA,9000,0,9000,30-40 min,6.0
122,SECTOR CEREO UNO,LLANO HERMOSO,9000,0,9000,30-40 min,6.0
123,SECTOR CEREO UNO,"CONJUNTO BONNANZA 1,2",9000,0,9000,30-40 min,6.0
124,SECTOR CEREO UNO,RINCON DEL LLANO,9000,0,9000,30-40 min,6.0
125,SECTOR CEREO UNO,TORRES DEL MEDITERRENO,9000,0,9000,30-40 min,6.0
126,SECTOR CEREO UNO,TERMINAL DE TRANSPORTE,9000,0,9000,30-40 min,6.0
127,SECTOR CEREO UNO,"QUINTA DE MORELIA 1,2,3",9000,0,9000,30-40 min,6.0
128,SECTOR CEREO UNO,CONDOMINIO VILLAVENTO,9000,0,9000,30-40 min,6.0
129,SECTOR CEREO UNO,CONDOMINIO CIUDAD REAL,9000,0,9000,30-40 min,6.0
130,SECTOR CEREO UNO,TORRES DE PRADERA,9000,0,9000,30-40 min,6.0
131,SECTOR CEREO UNO,CONDOMINIO VILLA VALERIA,9000,0,9000,30-40 min,6.0
132,SECTOR CEREO UNO,CONDOMINIO CANAGUAY,9000,0,9000,30-40 min,6.0
133,SECTOR CEREO UNO,JARDINES DE SANTORINE,9000,0,9000,30-40 min,6.0
134,SECTOR GENERAL,LLANO REAL CLUB HOUSE,8000,0,8000,25-35 min,4.5
