id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
1,CALDOS Y ALGO MAS WEB,Sector Minima,4.1495,-73.631,2.4,6000,2000,8000,16
2,JORDAN,Sector Minima,4.154,-73.627,2.4,6000,2000,8000,16
3,acambios en el momento,Sector Minima,4.1459,-73.6367,2.4,6000,2000,8000,16
4,CEIBA,Sector Minima,4.1485,-73.6305,2.4,6000,2000,8000,16
5,CEDRITOS,Sector Minima,4.1502,-73.632,2.4,6000,2000,8000,16
6,BOSQUE BAJO,Sector Minima,4.149,-73.6315,2.4,6000,2000,8000,16
7,SAUCES,Sector Minima,4.1515,-73.6335,2.4,6000,2000,8000,16
8,ROSALES,Sector Minima,4.1495,-73.6295,2.4,6000,2000,8000,16
9,CONJUNTO LLANO GRANDE,Sector Minima,4.1465,-73.6321,2.4,6000,2000,8000,16
10,COJUNTO SANTA LUCIA,Sector Minima,4.1482,-73.6275,2.4,6000,2000,8000,16
11,COJUNTO BARCELONA,Sector Minima,4.147,-73.626,2.4,6000,2000,8000,16
12,CONDOMINIO ROSALES,Sector Minima,4.1495,-73.6295,2.4,6000,2000,8000,16
13,POPULAR,Sector Minima,4.146,-73.635,2.4,6000,2000,8000,16
14,DOS MIL BAJO,Sector Minima,4.1455,-73.637,2.4,6000,2000,8000,16
15,DOS MIL ALTO,Sector Minima,4.1448,-73.6385,2.4,6000,2000,8000,16
16,BAMBU,Sector Minima,4.147,-73.6294,2.4,6000,2000,8000,16
17,SANTA HELENA,Sector Minima,4.151,-73.63,2.4,6000,2000,8000,16
18,JORDAN PARAISO,Sector Minima,4.1548,-73.6265,2.4,6000,2000,8000,16
19,JORDAN ALTO,Sector Minima,4.1555,-73.6258,2.4,6000,2000,8000,16
20,SAN LUIS,Sector Minima,4.1465,-73.6325,2.4,6000,2000,8000,16
21,TRANSITO Y ACUEDUCTO,Sector Minima,4.1472,-73.6328,2.4,6000,2000,8000,16
22,MADRIGAL,Sector Minima,4.1505,-73.6285,2.4,6000,2000,8000,16
23,VILLA FABIOLA,Sector Minima,4.1467,-73.6319,2.4,6000,2000,8000,16
24,CAMINO REAL,Sector Minima,4.153,-73.625,2.4,6000,2000,8000,16
25,VILLA CRISTINA,Sector Minima,4.1456,-73.6368,2.4,6000,2000,8000,16
26,CASTILLA,Sector Minima,4.1498,-73.6265,2.4,6000,2000,8000,16
27,VAINILLA,Sector Minima,4.1452,-73.6376,2.4,6000,2000,8000,16
28,CARCEL,Sector Minima,4.1446,-73.6291,2.4,6000,2000,8000,16
29,RECREO,Sector Minima,4.148,-73.629,2.4,6000,2000,8000,16
30,SEIS DE ABRIL,Sector Minima,4.1525,-73.6382,2.4,6000,2000,8000,16
31,OLIMPICA,Sector Minima,4.1505,-73.632,2.4,6000,2000,8000,16
32,MANANTIAL,Sector Minima,4.1533,-73.6323,2.4,6000,2000,8000,16
33,HIERBABUENA,Sector Minima,4.1533,-73.6389,2.4,6000,2000,8000,16
34,Página 497,Conjuntos Sector Minima,4.1438,-73.6366,2.4,6000,2000,8000,16
35,COFREN CATAMA,Conjuntos Sector Minima,4.147,-73.608,2.4,6000,2000,8000,16
