id,sector,barrio,tarifa_base,recargo_distancia,tarifa_total,tiempo_estimado,distancia_aprox_km
1,SECTOR GENERAL,CEIBA,7000,0,7000,20-30 min,3.2
2,SECTOR GENERAL,CEDRITOS,7000,0,7000,20-30 min,3.2
3,SECTOR GENERAL,BOSQUE BAJO,7000,0,7000,20-30 min,3.2
4,SECTOR GENERAL,SAUCES,7000,0,7000,20-30 min,3.2
5,SECTOR GENERAL,ROSALES,7000,0,7000,20-30 min,3.2
6,SECTOR GENERAL,CONJUNTO LLANO GRANDE,7000,0,7000,20-30 min,3.2
7,SECTOR GENERAL,COJUNTO SANTA LUCIA,7000,0,7000,20-30 min,3.2
8,SECTOR GENERAL,COJUNTO BARCELONA,7000,0,7000,20-30 min,3.2
9,SECTOR GENERAL,CONDOMINIO ROSALES,7000,0,7000,20-30 min,3.2
10,SECTOR GENERAL,POPULAR,7000,0,7000,20-30 min,3.2
11,SECTOR GENERAL,DOS MIL BAJO,7000,0,7000,20-30 min,3.2
12,SECTOR GENERAL,DOS MIL ALTO,7000,0,7000,20-30 min,3.2
13,SECTOR GENERAL,BAMBU,7000,0,7000,20-30 min,3.2
14,SECTOR GENERAL,SANTA HELENA,7000,0,7000,20-30 min,3.2
15,SECTOR GENERAL,JORDAN,7000,0,7000,20-30 min,3.2
16,SECTOR GENERAL,JORDAN PARAISO,7000,0,7000,20-30 min,3.2
17,SECTOR GENERAL,JORDAN ALTO,7000,0,7000,20-30 min,3.2
18,SECTOR GENERAL,SAN LUIS,7000,0,7000,20-30 min,3.2
19,SECTOR GENERAL,TRANSITO Y ACUEDUCTO,7000,0,7000,20-30 min,3.2
20,SECTOR GENERAL,MADRIGAL,7000,0,7000,20-30 min,3.2
21,SECTOR GENERAL,VILLA FABIOLA,7000,0,7000,20-30 min,3.2
22,SECTOR GENERAL,CAMINO REAL,7000,0,7000,20-30 min,3.2
23,SECTOR GENERAL,VILLA CRISTINA,7000,0,7000,20-30 min,3.2
24,SECTOR GENERAL,CASTILLA,7000,0,7000,20-30 min,3.2
25,SECTOR GENERAL,VAINILLA,7000,0,7000,20-30 min,3.2
26,SECTOR GENERAL,CARCEL,7000,0,7000,20-30 min,3.2
27,SECTOR GENERAL,RECREO,7000,0,7000,20-30 min,3.2
28,SECTOR GENERAL,SEIS DE ABRIL,7000,0,7000,20-30 min,3.2
29,SECTOR GENERAL,OLIMPICA,7000,0,7000,20-30 min,3.2
30,SECTOR GENERAL,MANANTIAL,7000,0,7000,20-30 min,3.2
31,SECTOR GENERAL,HIERBABUENA,7000,0,7000,20-30 min,3.2
32,SECTOR GENERAL,COFREN CATAMA,7000,0,7000,20-30 min,3.2
33,SECTOR GENERAL,PUESTO DE SALUD RECREO,7000,0,7000,20-30 min,3.2
34,SECTOR GENERAL,ALCALA,7000,0,7000,20-30 min,3.2
35,SECTOR GENERAL,FLORENCIA,7000,0,7000,20-30 min,3.2
36,SECTOR GENERAL,DESMONTADORA,7000,0,7000,20-30 min,3.2
37,SECTOR GENERAL,"CONJUNTO CAMINO REAL (1,2,3,4)",7000,0,7000,20-30 min,3.2
38,SECTOR GENERAL,"PARQUES DE SEVILLA (1,2,3,4,)",7000,0,7000,20-30 min,3.2
39,SECTOR GENERAL,CONJUNTO TULIPANES,7000,0,7000,20-30 min,3.2
40,SECTOR GENERAL,CONJUNTO GIRASOLES,7000,0,7000,20-30 min,3.2
41,SECTOR GENERAL,CONJUNTO ALMERIA,7000,0,7000,20-30 min,3.2
42,SECTOR GENERAL,CONDOMINIO CRISTALES,7000,0,7000,20-30 min,3.2
43,SECTOR GENERAL,CONJUNTO PALAMA REAL,7000,0,7000,20-30 min,3.2
44,SECTOR GENERAL,ALTOS DE LOMALINDA,7000,0,7000,20-30 min,3.2
45,SECTOR GENERAL,COJUNTO VILLA KARINA,8000,0,8000,25-35 min,4.5
46,SECTOR GENERAL,CONJUNTO PRADOS DE CASTILLA,8000,0,8000,25-35 min,4.5
47,SECTOR GENERAL,EDIFICIO SANFERNANDO PLAZA,8000,0,8000,25-35 min,4.5
48,SECTOR GENERAL,PRADOS DE HIRBABUENA,8000,0,8000,25-35 min,4.5
49,SECTOR GENERAL,COJUNTO MALIBU,8000,0,8000,25-35 min,4.5
50,SECTOR GENERAL,BALCONES DE PONTEVEDRA,8000,0,8000,25-35 min,4.5
51,SECTOR GENERAL,ESTERO,8000,0,8000,25-35 min,4.5
52,SECTOR GENERAL,MACUNAIMA,8000,0,8000,25-35 min,4.5
53,SECTOR GENERAL,PARQUE DE LA MEMORIA,8000,0,8000,25-35 min,4.5
54,SECTOR GENERAL,MACARENA,8000,0,8000,25-35 min,4.5
55,SECTOR GENERAL,NOGAL,8000,0,8000,25-35 min,4.5
56,SECTOR GENERAL,SAN CRISTOBAL,8000,0,8000,25-35 min,4.5
57,SECTOR GENERAL,CAMELIAS,8000,0,8000,25-35 min,4.5
58,SECTOR GENERAL,OLIMPICO BAJO,8000,0,8000,25-35 min,4.5
59,SECTOR GENERAL,VILLA ORTIX,8000,0,8000,25-35 min,4.5
60,SECTOR GENERAL,OLIMPICO,8000,0,8000,25-35 min,4.5
61,SECTOR GENERAL,VILLA JHOANA,8000,0,8000,25-35 min,4.5
62,SECTOR GENERAL,CATALUÑA,8000,0,8000,25-35 min,4.5
63,SECTOR GENERAL,VILLA NIEVES,8000,0,8000,25-35 min,4.5
64,SECTOR GENERAL,DANUVIO,8000,0,8000,25-35 min,4.5
65,SECTOR GENERAL,GAUDALAJARA,8000,0,8000,25-35 min,4.5
66,SECTOR GENERAL,MARACOS,8000,0,8000,25-35 min,4.5
67,SECTOR GENERAL,MI LLANURA,8000,0,8000,25-35 min,4.5
68,SECTOR GENERAL,BELLO HORISONTE,8000,0,8000,25-35 min,4.5
69,SECTOR GENERAL,SAN INGNACIO,8000,0,8000,25-35 min,4.5
70,SECTOR GENERAL,"CANTARRANA 1,2,3,4,",8000,0,8000,25-35 min,4.5
71,SECTOR GENERAL,PARQUE LA LLNURA,8000,0,8000,25-35 min,4.5
72,SECTOR GENERAL,PARQUE SICUANI,8000,0,8000,25-35 min,4.5
73,SECTOR GENERAL,SAUSALITO,8000,0,8000,25-35 min,4.5
74,SECTOR GENERAL,BOCHICA,8000,0,8000,25-35 min,4.5
75,SECTOR GENERAL,CANAIMA,8000,0,8000,25-35 min,4.5
76,SECTOR GENERAL,PORTAL DEL CANAIMA,8000,0,8000,25-35 min,4.5
77,SECTOR GENERAL,SAN NISIDRO,8000,0,8000,25-35 min,4.5
78,SECTOR GENERAL,SANTA INES,8000,0,8000,25-35 min,4.5
79,SECTOR GENERAL,HOTEL ROSADO,8000,0,8000,25-35 min,4.5
80,SECTOR GENERAL,VILLA DEL SOL,8000,0,8000,25-35 min,4.5
81,SECTOR GENERAL,LA MORGUE,8000,0,8000,25-35 min,4.5
82,SECTOR GENERAL,SAN MARCOS,8000,0,8000,25-35 min,4.5
83,SECTOR GENERAL,CONJONTO TOSCANA,8000,0,8000,25-35 min,4.5
84,SECTOR GENERAL,QUINTAS DE TOSCANA,8000,0,8000,25-35 min,4.5
85,SECTOR GENERAL,FLORIDA,8000,0,8000,25-35 min,4.5
86,SECTOR GENERAL,NUEVA FLORESTA,8000,0,8000,25-35 min,4.5
87,SECTOR GENERAL,TEUSACA,8000,0,8000,25-35 min,4.5
88,SECTOR GENERAL,EMBUDO,8000,0,8000,25-35 min,4.5
89,SECTOR GENERAL,SANBENITO,8000,0,8000,25-35 min,4.5
90,SECTOR GENERAL,NUEVO RICAUTE,8000,0,8000,25-35 min,4.5
91,SECTOR GENERAL,PORVENIR,8000,0,8000,25-35 min,4.5
92,SECTOR GENERAL,VIENTE JULIO,8000,0,8000,25-35 min,4.5
93,SECTOR GENERAL,SIMON BOLIVAR,8000,0,8000,25-35 min,4.5
94,SECTOR GENERAL,ANTONIO RICAUTE,8000,0,8000,25-35 min,4.5
95,SECTOR GENERAL,BARRIO NOGALES,8000,0,8000,25-35 min,4.5
96,SECTOR GENERAL,CANEY,8000,0,8000,25-35 min,4.5
97,SECTOR GENERAL,BRISAS DEL CANEY,8000,0,8000,25-35 min,4.5
98,SECTOR GENERAL,AMARAL,8000,0,8000,25-35 min,4.5
99,SECTOR GENERAL,CATATUMBO,8000,0,8000,25-35 min,4.5
100,SECTOR GENERAL,RETIRO,8000,0,8000,25-35 min,4.5
101,SECTOR GENERAL,BUENOS AIRES,8000,0,8000,25-35 min,4.5
102,SECTOR GENERAL,REMANSO,8000,0,8000,25-35 min,4.5
103,SECTOR GENERAL,VIZCAYA,8000,0,8000,25-35 min,4.5
104,SECTOR GENERAL,HOTEL HACARITAMA,8000,0,8000,25-35 min,4.5
105,SECTOR GENERAL,CANCHA RACING,8000,0,8000,25-35 min,4.5
106,SECTOR GENERAL,HACARITAMA,8000,0,8000,25-35 min,4.5
107,SECTOR GENERAL,BARRIO PRIMAVERA,8000,0,8000,25-35 min,4.5
108,SECTOR GENERAL,PARQUE PRIMAVERA,8000,0,8000,25-35 min,4.5
109,SECTOR GENERAL,CIUDADELA EL DIVINO NIÑO,8000,0,8000,25-35 min,4.5
110,SECTOR GENERAL,LAS FERIAS,8000,0,8000,25-35 min,4.5
111,SECTOR GENERAL,GAITAN,8000,0,8000,25-35 min,4.5
112,SECTOR GENERAL,SAN GREGORIO,8000,0,8000,25-35 min,4.5
113,SECTOR CEREO UNO,MAIZARO,8000,0,8000,25-35 min,4.5
114,SECTOR CEREO UNO,"CONDOMINIO DUARY 1,2",8000,0,8000,25-35 min,4.5
115,SECTOR CEREO UNO,CERRO CAMPESTRE ALTO,8000,0,8000,25-35 min,4.5
116,SECTOR CEREO UNO,CERRO CAMPESTRE BAJO,8000,0,8000,25-35 min,4.5
117,SECTOR CEREO UNO,CONDOMINIO BOSQUES DE VIZCAYA,8000,0,8000,25-35 min,4.5
118,SECTOR CEREO UNO,CONDOMINIO PORTAL DEL MOLINO,8000,0,8000,25-35 min,4.5
119,SECTOR CEREO UNO,RESERVAS DEL VIZCAYA,8000,0,8000,25-35 min,4.5
120,SECTOR CEREO UNO,"CONJUNTO LOS ALMENDROS 1,2",8000,0,8000,25-35 min,4.5
121,SECTOR CEREO UNO,CAMINOS DE SEVILLA,8000,0,8000,25-35 min,4.5
122,SECTOR CEREO UNO,LLANO HERMOSO,8000,0,8000,25-35 min,4.5
123,SECTOR CEREO UNO,"CONJUNTO BONNANZA 1,2",8000,0,8000,25-35 min,4.5
124,SECTOR CEREO UNO,RINCON DEL LLANO,8000,0,8000,25-35 min,4.5
125,SECTOR CEREO UNO,TORRES DEL MEDITERRENO,8000,0,8000,25-35 min,4.5
126,SECTOR CEREO UNO,TERMINAL DE TRANSPORTE,8000,0,8000,25-35 min,4.5
127,SECTOR CEREO UNO,"QUINTA DE MORELIA 1,2,3",8000,0,8000,25-35 min,4.5
