id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
1,HONG KONG WEB,Sector Minima,4.1498,-73.6299,1.7,6000,1000,7000,14
2,momento,Sector Minima,4.1461,-73.6389,1.7,6000,1000,7000,14
3,CEIBA,Sector Minima,4.1485,-73.6305,2.4,6000,2000,8000,16
4,CEDRITOS,Sector Minima,4.1502,-73.632,2.4,6000,2000,8000,16
5,BOSQUE BAJO,Sector Minima,4.149,-73.6315,2.4,6000,2000,8000,16
6,SAUCES,Sector Minima,4.1515,-73.6335,2.4,6000,2000,8000,16
7,ROSALES,Sector Minima,4.1495,-73.6295,2.4,6000,2000,8000,16
8,CONJUNTO LLANO GRANDE,Sector Minima,4.1465,-73.6321,2.4,6000,2000,8000,16
9,COJUNTO SANTA LUCIA,Sector Minima,4.1482,-73.6275,2.4,6000,2000,8000,16
10,COJUNTO BARCELONA,Sector Minima,4.147,-73.626,2.4,6000,2000,8000,16
11,CONDOMINIO ROSALES,Sector Minima,4.1495,-73.6295,2.4,6000,2000,8000,16
12,POPULAR,Sector Minima,4.146,-73.635,2.4,6000,2000,8000,16
13,DOS MIL BAJO,Sector Minima,4.1455,-73.637,2.4,6000,2000,8000,16
14,DOS MIL ALTO,Sector Minima,4.1448,-73.6385,2.4,6000,2000,8000,16
15,BAMBU,Sector Minima,4.147,-73.6294,2.4,6000,2000,8000,16
16,SANTA HELENA,Sector Minima,4.151,-73.63,2.4,6000,2000,8000,16
17,JORDAN,Sector Minima,4.154,-73.627,2.4,6000,2000,8000,16
18,JORDAN PARAISO,Sector Minima,4.1548,-73.6265,2.4,6000,2000,8000,16
19,JORDAN ALTO,Sector Minima,4.1555,-73.6258,2.4,6000,2000,8000,16
20,SAN LUIS,Sector Minima,4.1465,-73.6325,2.4,6000,2000,8000,16
21,TRANSITO Y ACUEDUCTO,Sector Minima,4.1472,-73.6328,2.4,6000,2000,8000,16
22,MADRIGAL,Sector Minima,4.1505,-73.6285,2.4,6000,2000,8000,16
23,VILLA FABIOLA,Sector Minima,4.1467,-73.6319,2.4,6000,2000,8000,16
