sector,barrio,tarifa_base,recargo_distancia,tarifa_total
SECTOR GENERAL,CEIBA,10000,0,10000
SECTOR GENERAL,CEDRITOS,10000,0,10000
SECTOR GENERAL,BOSQUE BAJO,10000,0,10000
SECTOR GENERAL,SAUCES,10000,0,10000
SECTOR GENERAL,ROSALES,10000,0,10000
SECTOR GENERAL,CONJUNTO LLANO GRANDE,10000,0,10000
SECTOR GENERAL,COJUNTO SANTA LUCIA,10000,0,10000
SECTOR GENERAL,COJUNTO BARCELONA,10000,0,10000
SECTOR GENERAL,CONDOMINIO ROSALES,10000,0,10000
SECTOR GENERAL,MACARENA,10000,0,10000
SECTOR GENERAL,DOS MIL BAJO,10000,0,10000
SECTOR GENERAL,DOS MIL ALTO,10000,0,10000
SECTOR GENERAL,BAMBU,10000,0,10000
SECTOR GENERAL,SANTA HELENA,10000,0,10000
SECTOR GENERAL,JORDAN,10000,0,10000
SECTOR GENERAL,JORDAN PARAISO,10000,0,10000
SECTOR GENERAL,JORDAN ALTO,10000,0,10000
SECTOR GENERAL,SAN LUIS,10000,0,10000
SECTOR GENERAL,TRANSITO Y ACUEDUCTO,10000,0,10000
SECTOR GENERAL,MADRIGAL,10000,0,10000
SECTOR GENERAL,VILLA FABIOLA,10000,0,10000
SECTOR GENERAL,CAMINO REAL,10000,0,10000
SECTOR GENERAL,VILLA CRISTINA,10000,0,10000
SECTOR GENERAL,CASTILLA,10000,0,10000
SECTOR GENERAL,VAINILLA,10000,0,10000
SECTOR GENERAL,CARCEL,10000,0,10000
SECTOR GENERAL,RECREO,10000,0,10000
SECTOR GENERAL,SEIS  DE ABRIL,10000,0,10000
SECTOR GENERAL,OLIMPICA,10000,0,10000
SECTOR GENERAL,MANANTIAL,10000,0,10000
SECTOR GENERAL,HIERBABUENA,10000,0,10000
SECTOR GENERAL,COFREN CATAMA,10000,0,10000
SECTOR GENERAL,PUESTO DE SALUD RECREO,10000,0,10000
SECTOR GENERAL,ALCALA,10000,0,10000
SECTOR GENERAL,FLORENCIA,10000,0,10000
SECTOR GENERAL,DESMONTADORA,10000,0,10000
SECTOR GENERAL,"CONJUNTO CAMINO REAL (1,2,3,4)",10000,0,10000
SECTOR GENERAL,"PARQUES DE SEVILLA (1,2,3,4,)",10000,0,10000
SECTOR GENERAL,CONJUNTO TULIPANES,10000,0,10000
SECTOR GENERAL,CONJUNTO GIRASOLES,10000,0,10000
SECTOR GENERAL,CONJUNTO ALMERIA,10000,0,10000
SECTOR GENERAL,CONDOMINIO CRISTALES,10000,0,10000
SECTOR GENERAL,CONJUNTO PALAMA REAL,10000,0,10000
SECTOR GENERAL,ALTOS DE LOMALINDA,10000,0,10000
SECTOR GENERAL,COJUNTO VILLA KARINA,10000,0,10000
SECTOR GENERAL,CONJUNTO PRADOS DE CASTILLA,10000,0,10000
SECTOR GENERAL,EDIFICIO SANFERNANDO PLAZA,10000,0,10000
SECTOR GENERAL,PRADOS DE HIRBABUENA,10000,0,10000
SECTOR GENERAL,COJUNTO MALIBU,10000,0,10000
SECTOR GENERAL,BALCONES DE PONTEVEDRA,10000,0,10000
SECTOR GENERAL,ESTERO,11000,0,11000
SECTOR GENERAL,MACUNAIMA,11000,0,11000
SECTOR GENERAL,PARQUE DE LA MEMORIA,11000,0,11000
SECTOR GENERAL,POPULAR,10000,0,10000
SECTOR GENERAL,NOGAL,10000,0,10000
SECTOR GENERAL,SAN CRISTOBAL,10000,0,10000
SECTOR GENERAL,CAMELIAS,11000,0,11000
SECTOR GENERAL,OLIMPICO BAJO,11000,0,11000
SECTOR GENERAL,VILLA ORTIX,11000,0,11000
SECTOR GENERAL,OLIMPICO,10000,0,10000
SECTOR GENERAL,VILLA JHOANA,11000,0,11000
SECTOR GENERAL,CATALUÑA,11000,0,11000
SECTOR GENERAL,VILLA NIEVES,11000,0,11000
SECTOR GENERAL,DANUVIO,11000,0,11000
SECTOR GENERAL,GAUDALAJARA,11000,0,11000
SECTOR GENERAL,MARACOS,11000,0,11000
SECTOR GENERAL,MI LLANURA,12000,0,12000
SECTOR GENERAL,BELLO HORISONTE,11000,0,11000
SECTOR GENERAL,SAN INGNACIO,11000,0,11000
SECTOR GENERAL,"CANTARRANA 1,2,3,4,",11000,0,11000
SECTOR GENERAL,PARQUE LA LLNURA,11000,0,11000
SECTOR GENERAL,PARQUE SICUANI,11000,0,11000
SECTOR GENERAL,SAUSALITO,11000,0,11000
SECTOR GENERAL,BOCHICA,11000,0,11000
SECTOR GENERAL,CANAIMA,10000,0,10000
SECTOR GENERAL,PORTAL DEL CANAIMA,10000,0,10000
SECTOR GENERAL,SAN NISIDRO,9000,0,9000
SECTOR GENERAL,SANTA INES,9000,0,9000
SECTOR GENERAL,HOTEL ROSADO,9000,0,9000
SECTOR GENERAL,VILLA DEL SOL,11000,0,11000
SECTOR GENERAL,LA MORGUE,11000,0,11000
SECTOR GENERAL,SAN MARCOS,11000,0,11000
SECTOR GENERAL,CONJONTO TOSCANA,11000,0,11000
SECTOR GENERAL,QUINTAS DE TOSCANA,11000,0,11000
SECTOR GENERAL,FLORIDA,10000,0,10000
SECTOR GENERAL,NUEVA FLORESTA,10000,0,10000
SECTOR GENERAL,TEUSACA,11000,0,11000
SECTOR GENERAL,EMBUDO,11000,0,11000
SECTOR GENERAL,SANBENITO,10000,0,10000
SECTOR GENERAL,NUEVO RICAUTE,10000,0,10000
SECTOR GENERAL,PORVENIR,10000,0,10000
SECTOR GENERAL,VIENTE JULIO,10000,0,10000
SECTOR GENERAL,SIMON BOLIVAR,10000,0,10000
SECTOR GENERAL,ANTONIO RICAUTE,10000,0,10000
SECTOR GENERAL,BARRIO NOGALES,10000,0,10000
SECTOR GENERAL,CANEY,10000,0,10000
SECTOR GENERAL,BRISAS DEL CANEY,10000,0,10000
SECTOR GENERAL,AMARAL,10000,0,10000
SECTOR GENERAL,CATATUMBO,11000,0,11000
SECTOR GENERAL,RETIRO,10000,0,10000
SECTOR GENERAL,BUENOS AIRES,11000,0,11000
SECTOR GENERAL,REMANSO,11000,0,11000
SECTOR GENERAL,VIZCAYA,11000,0,11000
SECTOR GENERAL,HOTEL HACARITAMA,11000,0,11000
SECTOR GENERAL,CANCHA RACING,11000,0,11000
SECTOR GENERAL,HACARITAMA,11000,0,11000
SECTOR GENERAL,BARRIO PRIMAVERA,11000,0,11000
SECTOR GENERAL,PARQUE PRIMAVERA,11000,0,11000
SECTOR GENERAL,CIUDADELA EL DIVINO NIÑO,11000,0,11000
SECTOR GENERAL,LAS FERIAS,10000,0,10000
SECTOR GENERAL,GAITAN,10000,0,10000
