id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
1,LA ESPECIALIDAD WEB,Sector Minima,4.1444,-73.6377,1.0,6000,2000,8000,16
2,momento,Sector Minima,4.1461,-73.6389,1.6,6000,2000,8000,16
3,CEIBA,Sector Minima,4.1485,-73.6305,1.0,6000,2000,8000,16
4,CEDRITOS,Sector Minima,4.1502,-73.632,1.0,6000,2000,8000,16
5,BOSQUE BAJO,Sector Minima,4.149,-73.6315,1.0,6000,2000,8000,16
6,SAUCES,Sector Minima,4.1515,-73.6335,0.6,6000,2000,8000,16
7,ROSALES,Sector Minima,4.1495,-73.6295,1.0,6000,2000,8000,16
8,CONJUNTO LLANO GRANDE,Sector Minima,4.1465,-73.6321,1.0,6000,2000,8000,16
9,COJUNTO SANTA LUCIA,Sector Minima,4.1482,-73.6275,1.0,6000,2000,8000,16
10,COJUNTO BARCELONA,Sector Minima,4.147,-73.626,1.0,6000,2000,8000,16
11,CONDOMINIO ROSALES,Sector Minima,4.1495,-73.6295,1.0,6000,2000,8000,16
12,POPULAR,Sector Minima,4.146,-73.635,0.7,6000,2000,8000,16
13,DOS MIL BAJO,Sector Minima,4.1455,-73.637,0.9,6000,2000,8000,16
14,DOS MIL ALTO,Sector Minima,4.1448,-73.6385,1.1,6000,2000,8000,16
15,BAMBU,Sector Minima,4.147,-73.6294,0.8,6000,2000,8000,16
16,SANTA HELENA,Sector Minima,4.151,-73.63,1.0,6000,2000,8000,16
17,Página 93,Sector Minima,4.1534,-73.637,1.4,6000,2000,8000,16
18,JORDAN,Sector Minima,4.154,-73.627,0.7,6000,1000,7000,14
19,JORDAN PARAISO,Sector Minima,4.1548,-73.6265,0.8,6000,1000,7000,14
20,JORDAN ALTO,Sector Minima,4.1555,-73.6258,0.9,6000,1000,7000,14
21,SAN LUIS,Sector Minima,4.1465,-73.6325,1.0,6000,1000,7000,14
22,TRANSITO Y ACUEDUCTO,Sector Minima,4.1472,-73.6328,0.9,6000,1000,7000,14
23,MADRIGAL,Sector Minima,4.1505,-73.6285,1.0,6000,1000,7000,14
24,VILLA FABIOLA,Sector Minima,4.1467,-73.6319,1.0,6000,1000,7000,14
25,CAMINO REAL,Sector Minima,4.153,-73.625,0.7,6000,1000,7000,14
26,VILLA CRISTINA,Sector Minima,4.1456,-73.6368,0.7,6000,1000,7000,14
27,CASTILLA,Sector Minima,4.1498,-73.6265,1.0,6000,1000,7000,14
28,VAINILLA,Sector Minima,4.1452,-73.6376,0.7,6000,1000,7000,14
29,CARCEL,Sector Minima,4.1446,-73.6291,0.9,6000,1000,7000,14
30,RECREO,Sector Minima,4.148,-73.629,1.0,6000,1000,7000,14
31,SEIS DE ABRIL,Sector Minima,4.1525,-73.6382,1.0,6000,1000,7000,14
32,OLIMPICA,Sector Minima,4.1505,-73.632,0.5,6000,2000,8000,16
33,MANANTIAL,Sector Minima,4.1533,-73.6323,1.1,6000,2000,8000,16
34,HIERBABUENA,Sector Minima,4.1533,-73.6389,1.1,6000,1000,7000,14
35,COFREN CATAMA,Sector Minima,4.147,-73.608,2.3,6000,1000,7000,14
36,PUESTO DE SALUD RECREO,Sector Minima,4.148,-73.629,1.0,6000,1000,7000,14
37,ALCALA,Sector Minima,4.1448,-73.6378,1.0,6000,2000,8000,16
38,FLORENCIA,Sector Minima,4.1496,-73.6351,1.6,6000,2000,8000,16
39,DESMONTADORA,Sector Minima,4.1476,-73.6307,0.5,6000,2000,8000,16
