sector,barrio,tarifa_base,recargo_distancia,tarifa_total
SECTOR GENERAL,CEIBA,15000,0,15000
SECTOR GENERAL,CEDRITOS,15000,0,15000
SECTOR GENERAL,BOSQUE BAJO,15000,0,15000
SECTOR GENERAL,SAUCES,15000,0,15000
SECTOR GENERAL,ROSALES,15000,0,15000
SECTOR GENERAL,CONJUNTO LLANO GRANDE,15000,0,15000
SECTOR GENERAL,COJUNTO SANTA LUCIA,15000,0,15000
SECTOR GENERAL,COJUNTO BARCELONA,15000,0,15000
SECTOR GENERAL,CONDOMINIO ROSALES,15000,0,15000
SECTOR GENERAL,MACARENA,15000,0,15000
SECTOR GENERAL,DOS MIL BAJO,15000,0,15000
SECTOR GENERAL,DOS MIL ALTO,15000,0,15000
SECTOR GENERAL,BAMBU,15000,0,15000
SECTOR GENERAL,SANTA HELENA,15000,0,15000
SECTOR GENERAL,JORDAN,15000,0,15000
SECTOR GENERAL,JORDAN PARAISO,15000,0,15000
SECTOR GENERAL,JORDAN ALTO,15000,0,15000
SECTOR GENERAL,SAN LUIS,15000,0,15000
SECTOR GENERAL,TRANSITO Y ACUEDUCTO,15000,0,15000
SECTOR GENERAL,MADRIGAL,15000,0,15000
SECTOR GENERAL,VILLA FABIOLA,15000,0,15000
SECTOR GENERAL,CAMINO REAL,15000,0,15000
SECTOR GENERAL,VILLA CRISTINA,15000,0,15000
SECTOR GENERAL,CASTILLA,15000,0,15000
SECTOR GENERAL,VAINILLA,15000,0,15000
SECTOR GENERAL,CARCEL,15000,0,15000
SECTOR GENERAL,RECREO,15000,0,15000
SECTOR GENERAL,SEIS  DE ABRIL,15000,0,15000
SECTOR GENERAL,OLIMPICA,15000,0,15000
SECTOR GENERAL,MANANTIAL,15000,0,15000
SECTOR GENERAL,HIERBABUENA,15000,0,15000
SECTOR GENERAL,COFREN CATAMA,15000,0,15000
SECTOR GENERAL,PUESTO DE SALUD RECREO,15000,0,15000
SECTOR GENERAL,ALCALA,15000,0,15000
SECTOR GENERAL,FLORENCIA,15000,0,15000
SECTOR GENERAL,DESMONTADORA,15000,0,15000
SECTOR GENERAL,"CONJUNTO CAMINO REAL (1,2,3,4)",15000,0,15000
SECTOR GENERAL,"PARQUES DE SEVILLA (1,2,3,4,)",15000,0,15000
SECTOR GENERAL,CONJUNTO TULIPANES,15000,0,15000
SECTOR GENERAL,CONJUNTO GIRASOLES,15000,0,15000
SECTOR GENERAL,CONJUNTO ALMERIA,15000,0,15000
SECTOR GENERAL,CONDOMINIO CRISTALES,15000,0,15000
SECTOR GENERAL,CONJUNTO PALAMA REAL,15000,0,15000
SECTOR GENERAL,ALTOS DE LOMALINDA,15000,0,15000
SECTOR GENERAL,COJUNTO VILLA KARINA,15000,0,15000
SECTOR GENERAL,CONJUNTO PRADOS DE CASTILLA,15000,0,15000
SECTOR GENERAL,EDIFICIO SANFERNANDO PLAZA,15000,0,15000
SECTOR GENERAL,PRADOS DE HIRBABUENA,15000,0,15000
SECTOR GENERAL,COJUNTO MALIBU,15000,0,15000
SECTOR GENERAL,BALCONES DE PONTEVEDRA,15000,0,15000
SECTOR GENERAL,ESTERO,16000,0,16000
SECTOR GENERAL,MACUNAIMA,16000,0,16000
SECTOR GENERAL,PARQUE DE LA MEMORIA,16000,0,16000
SECTOR GENERAL,POPULAR,16000,0,16000
SECTOR GENERAL,NOGAL,16000,0,16000
SECTOR GENERAL,SAN CRISTOBAL,16000,0,16000
SECTOR GENERAL,CAMELIAS,16000,0,16000
SECTOR GENERAL,OLIMPICO BAJO,16000,0,16000
SECTOR GENERAL,VILLA ORTIX,16000,0,16000
SECTOR GENERAL,OLIMPICO,16000,0,16000
SECTOR GENERAL,VILLA JHOANA,16000,0,16000
SECTOR GENERAL,CATALUÑA,16000,0,16000
SECTOR GENERAL,VILLA NIEVES,16000,0,16000
SECTOR GENERAL,DANUVIO,16000,0,16000
SECTOR GENERAL,GAUDALAJARA,16000,0,16000
SECTOR GENERAL,MARACOS,16000,0,16000
SECTOR GENERAL,MI LLANURA,16000,0,16000
SECTOR GENERAL,BELLO HORISONTE,16000,0,16000
SECTOR GENERAL,SAN INGNACIO,16000,0,16000
SECTOR GENERAL,"CANTARRANA 1,2,3,4,",16000,0,16000
SECTOR GENERAL,PARQUE LA LLNURA,16000,0,16000
SECTOR GENERAL,PARQUE SICUANI,16000,0,16000
SECTOR GENERAL,SAUSALITO,16000,0,16000
SECTOR GENERAL,BOCHICA,16000,0,16000
