id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
1,PARRILLERA VANGUARDIA WEB,Sector Medio,4.168,-73.622,7.3,6000,9000,15000,28
2,acambios en el momento,Sector Medio,4.1459,-73.6367,7.3,6000,9000,15000,28
3,CEIBA,Sector Medio,4.1485,-73.6305,7.3,6000,9000,15000,28
4,CEDRITOS,Sector Medio,4.1502,-73.632,7.3,6000,9000,15000,28
5,BOSQUE BAJO,Sector Medio,4.149,-73.6315,7.3,6000,9000,15000,28
6,SAUCES,Sector Medio,4.1515,-73.6335,7.3,6000,9000,15000,28
7,ROSALES,Sector Medio,4.1495,-73.6295,7.3,6000,9000,15000,28
8,CONJUNTO LLANO GRANDE,Sector Medio,4.1465,-73.6321,7.3,6000,9000,15000,28
9,COJUNTO SANTA LUCIA,Sector Medio,4.1482,-73.6275,7.3,6000,9000,15000,28
10,COJUNTO BARCELONA,Sector Medio,4.147,-73.626,7.3,6000,9000,15000,28
11,CONDOMINIO ROSALES,Sector Medio,4.1495,-73.6295,7.3,6000,9000,15000,28
12,MACARENA,Sector Medio,4.1501,-73.6376,7.3,6000,9000,15000,28
13,DOS MIL BAJO,Sector Medio,4.1455,-73.637,7.3,6000,9000,15000,28
14,DOS MIL ALTO,Sector Medio,4.1448,-73.6385,7.3,6000,9000,15000,28
15,BAMBU,Sector Medio,4.147,-73.6294,7.3,6000,9000,15000,28
16,SANTA HELENA,Sector Medio,4.151,-73.63,7.3,6000,9000,15000,28
17,JORDAN,Sector Medio,4.154,-73.627,7.3,6000,9000,15000,28
18,JORDAN PARAISO,Sector Medio,4.1548,-73.6265,7.3,6000,9000,15000,28
19,JORDAN ALTO,Sector Medio,4.1555,-73.6258,7.3,6000,9000,15000,28
20,SAN LUIS,Sector Medio,4.1465,-73.6325,7.3,6000,9000,15000,28
21,TRANSITO Y ACUEDUCTO,Sector Medio,4.1472,-73.6328,7.3,6000,9000,15000,28
22,MADRIGAL,Sector Medio,4.1505,-73.6285,7.3,6000,9000,15000,28
23,VILLA FABIOLA,Sector Medio,4.1467,-73.6319,7.3,6000,9000,15000,28
24,CAMINO REAL,Sector Medio,4.153,-73.625,7.3,6000,9000,15000,28
25,VILLA CRISTINA,Sector Medio,4.1456,-73.6368,7.3,6000,9000,15000,28
26,CASTILLA,Sector Medio,4.1498,-73.6265,7.3,6000,9000,15000,28
27,VAINILLA,Sector Medio,4.1452,-73.6376,7.3,6000,9000,15000,28
28,CARCEL,Sector Medio,4.1446,-73.6291,7.3,6000,9000,15000,28
29,RECREO,Sector Medio,4.148,-73.629,7.3,6000,9000,15000,28
30,SEIS DE ABRIL,Sector Medio,4.1525,-73.6382,7.3,6000,9000,15000,28
31,OLIMPICA,Sector Medio,4.1505,-73.632,7.3,6000,9000,15000,28
32,MANANTIAL,Sector Medio,4.1533,-73.6323,7.3,6000,9000,15000,28
33,HIERBABUENA,Sector Medio,4.1533,-73.6389,7.3,6000,9000,15000,28
34,COFREN CATAMA,Sector Medio,4.147,-73.608,7.3,6000,9000,15000,28
35,Página 736,Conjuntos Sector Medio,4.1505,-73.6342,7.3,6000,9000,15000,28
36,PUESTO DE SALUD RECREO,Conjuntos Sector Medio,4.148,-73.629,7.3,6000,9000,15000,28
37,ALCALA,Conjuntos Sector Medio,4.1448,-73.6378,7.3,6000,9000,15000,28
38,FLORENCIA,Conjuntos Sector Medio,4.1496,-73.6351,7.3,6000,9000,15000,28
39,DESMONTADORA,Conjuntos Sector Medio,4.1476,-73.6307,7.3,6000,9000,15000,28
40,CONJUNTO CAMINO REAL,Conjuntos Sector Medio,4.153,-73.625,7.3,6000,9000,15000,28
41,"(1,2,3,4)",Conjuntos Sector Medio,4.1444,-73.6319,7.3,6000,9000,15000,28
42,"PARQUES DE SEVILLA (1,2,3,4,)",Conjuntos Sector Medio,4.1521,-73.6374,7.3,6000,9000,15000,28
43,CONJUNTO TULIPANES,Conjuntos Sector Medio,4.1448,-73.6377,7.3,6000,9000,15000,28
44,CONJUNTO GIRASOLES,Conjuntos Sector Medio,4.1506,-73.6293,7.3,6000,9000,15000,28
45,CONJUNTO ALMERIA,Conjuntos Sector Medio,4.1449,-73.6324,7.3,6000,9000,15000,28
46,CONDOMINIO CRISTALES,Conjuntos Sector Medio,4.1486,-73.6371,7.3,6000,9000,15000,28
47,CONJUNTO PALAMA REAL,Conjuntos Sector Medio,4.1531,-73.6379,7.3,6000,9000,15000,28
48,ALTOS DE LOMALINDA,Conjuntos Sector Medio,4.1473,-73.6379,7.3,6000,9000,15000,28
49,COJUNTO VILLA KARINA,Conjuntos Sector Medio,4.1524,-73.6334,7.3,6000,9000,15000,28
50,CONJUNTO PRADOS DE,Conjuntos Sector Medio,4.1465,-73.6383,7.3,6000,9000,15000,28
51,EDIFICIO SANFERNANDO PLAZA,Conjuntos Sector Medio,4.1447,-73.6303,7.3,6000,9000,15000,28
52,PRADOS DE HIRBABUENA,Conjuntos Sector Medio,4.1512,-73.637,7.3,6000,9000,15000,28
53,COJUNTO MALIBU,Conjuntos Sector Medio,4.1497,-73.6328,7.3,6000,9000,15000,28
54,BALCONES DE PONTEVEDRA,Conjuntos Sector Medio,4.1451,-73.635,7.3,6000,9000,15000,28
55,ESTERO,Sector Medio,4.143,-73.615,8.0,6000,10000,16000,30
56,MACUNAIMA,Sector Medio,4.142,-73.617,8.0,6000,10000,16000,30
57,PARQUE DE LA MEMORIA,Sector Medio,4.142,-73.63,8.0,6000,10000,16000,30
58,POPULAR,Sector Medio,4.146,-73.635,8.0,6000,10000,16000,30
59,NOGAL,Sector Medio,4.1475,-73.633,8.0,6000,10000,16000,30
60,SAN CRISTOBAL,Sector Medio,4.1448,-73.6379,8.0,6000,10000,16000,30
61,CAMELIAS,Sector Medio,4.1536,-73.6352,8.0,6000,10000,16000,30
62,OLIMPICO BAJO,Sector Medio,4.1487,-73.6379,8.0,6000,10000,16000,30
63,VILLA ORTIX,Sector Medio,4.1493,-73.6305,8.0,6000,10000,16000,30
64,OLIMPICO,Sector Medio,4.148,-73.6292,8.0,6000,10000,16000,30
65,VILLA JHOANA,Sector Medio,4.1447,-73.6306,8.0,6000,10000,16000,30
66,CATALUÑA,Sector Medio,4.1509,-73.6382,8.0,6000,10000,16000,30
67,VILLA NIEVES,Sector Medio,4.1521,-73.6357,8.0,6000,10000,16000,30
68,DANUVIO,Sector Medio,4.1473,-73.6352,8.0,6000,10000,16000,30
69,GAUDALAJARA,Sector Medio,4.1459,-73.6338,8.0,6000,10000,16000,30
70,MARACOS,Sector Medio,4.1505,-73.6326,8.0,6000,10000,16000,30
71,MI LLANURA,Sector Medio,4.149,-73.6343,8.0,6000,10000,16000,30
72,BELLO HORISONTE,Sector Medio,4.1442,-73.6373,8.0,6000,10000,16000,30
73,SAN INGNACIO,Sector Medio,4.1474,-73.633,8.0,6000,10000,16000,30
74,"CANTARRANA 1,2,3,4,",Sector Medio,4.1472,-73.6382,8.0,6000,10000,16000,30
75,Página 737,Sector Medio,4.1446,-73.6332,8.0,6000,10000,16000,30
76,PARQUE LA LLNURA,Sector Medio,4.1502,-73.6384,8.0,6000,10000,16000,30
77,PARQUE SICUANI,Sector Medio,4.1476,-73.6322,8.0,6000,10000,16000,30
78,SAUSALITO,Sector Medio,4.1471,-73.6375,8.0,6000,10000,16000,30
79,BOCHICA,Sector Medio,4.1527,-73.6383,8.0,6000,10000,16000,30
