id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
1,RYU SUSHI WEB,Sector Minima,4.15,-73.6362,1.7,6000,1000,7000,14
2,BAJO,Sector Minima,4.149,-73.6315,1.7,6000,1000,7000,14
3,el momento,Sector Minima,4.1455,-73.6365,1.7,6000,1000,7000,14
4,CEIBA,Sector Minima,4.1485,-73.6305,1.7,6000,1000,7000,14
5,CEDRITOS,Sector Minima,4.1502,-73.632,1.7,6000,1000,7000,14
6,BOSQUE BAJO,Sector Minima,4.149,-73.6315,1.7,6000,1000,7000,14
7,SAUCES,Sector Minima,4.1515,-73.6335,1.7,6000,1000,7000,14
8,ROSALES,Sector Minima,4.1495,-73.6295,1.7,6000,1000,7000,14
9,CONJUNTO LLANO GRANDE,Sector Minima,4.1465,-73.6321,1.7,6000,1000,7000,14
10,COJUNTO SANTA LUCIA,Sector Minima,4.1482,-73.6275,1.7,6000,1000,7000,14
11,COJUNTO BARCELONA,Sector Minima,4.147,-73.626,1.7,6000,1000,7000,14
12,CONDOMINIO ROSALES,Sector Minima,4.1495,-73.6295,1.7,6000,1000,7000,14
13,POPULAR,Sector Minima,4.146,-73.635,1.7,6000,1000,7000,14
14,DOS MIL BAJO,Sector Minima,4.1455,-73.637,1.7,6000,1000,7000,14
15,DOS MIL ALTO,Sector Minima,4.1448,-73.6385,1.7,6000,1000,7000,14
16,BAMBU,Sector Minima,4.147,-73.6294,1.7,6000,1000,7000,14
17,SANTA HELENA,Sector Minima,4.151,-73.63,1.7,6000,1000,7000,14
18,JORDAN,Sector Minima,4.154,-73.627,1.7,6000,1000,7000,14
19,JORDAN PARAISO,Sector Minima,4.1548,-73.6265,1.7,6000,1000,7000,14
20,JORDAN ALTO,Sector Minima,4.1555,-73.6258,1.7,6000,1000,7000,14
21,SAN LUIS,Sector Minima,4.1465,-73.6325,1.7,6000,1000,7000,14
22,TRANSITO Y ACUEDUCTO,Sector Minima,4.1472,-73.6328,1.7,6000,1000,7000,14
23,MADRIGAL,Sector Minima,4.1505,-73.6285,1.7,6000,1000,7000,14
24,VILLA FABIOLA,Sector Minima,4.1467,-73.6319,1.7,6000,1000,7000,14
25,CAMINO REAL,Sector Minima,4.153,-73.625,1.7,6000,1000,7000,14
26,VILLA CRISTINA,Sector Minima,4.1456,-73.6368,1.7,6000,1000,7000,14
27,CASTILLA,Sector Minima,4.1498,-73.6265,1.7,6000,1000,7000,14
28,VAINILLA,Sector Minima,4.1452,-73.6376,1.7,6000,1000,7000,14
29,Página 400,Sector Minima,4.1479,-73.6315,2.4,6000,2000,8000,16
30,CARCEL,Conjuntos Sector Cerca,4.1446,-73.6291,2.4,6000,2000,8000,16
31,RECREO,Conjuntos Sector Cerca,4.148,-73.629,2.4,6000,2000,8000,16
32,SEIS DE ABRIL,Conjuntos Sector Cerca,4.1525,-73.6382,2.4,6000,2000,8000,16
33,OLIMPICA,Conjuntos Sector Cerca,4.1505,-73.632,2.4,6000,2000,8000,16
34,MANANTIAL,Conjuntos Sector Cerca,4.1533,-73.6323,2.4,6000,2000,8000,16
35,HIERBABUENA,Conjuntos Sector Cerca,4.1533,-73.6389,2.4,6000,2000,8000,16
36,COFREN CATAMA,Conjuntos Sector Cerca,4.147,-73.608,2.4,6000,2000,8000,16
37,PUESTO DE SALUD RECREO,Conjuntos Sector Cerca,4.148,-73.629,2.4,6000,2000,8000,16
38,ALCALA,Conjuntos Sector Cerca,4.1448,-73.6378,2.4,6000,2000,8000,16
39,FLORENCIA,Conjuntos Sector Cerca,4.1496,-73.6351,2.4,6000,2000,8000,16
40,DESMONTADORA,Conjuntos Sector Cerca,4.1476,-73.6307,2.4,6000,2000,8000,16
41,"CONJUNTO CAMINO REAL (1,2,3,4)",Conjuntos Sector Cerca,4.153,-73.625,2.4,6000,2000,8000,16
42,"PARQUES DE SEVILLA (1,2,3,4,)",Conjuntos Sector Cerca,4.1521,-73.6374,2.4,6000,2000,8000,16
43,CONJUNTO TULIPANES,Conjuntos Sector Cerca,4.1448,-73.6377,2.4,6000,2000,8000,16
