id,sector,barrio,tarifa_base,recargo_distancia,tarifa_total,tiempo_estimado,distancia_aprox_km
1,SECTOR GENERAL,CEIBA,10000,0,10000,30-40 min,6.0
2,SECTOR GENERAL,CEDRITOS,10000,0,10000,30-40 min,6.0
3,SECTOR GENERAL,BOSQUE BAJO,10000,0,10000,30-40 min,6.0
4,SECTOR GENERAL,SAUCES,10000,0,10000,30-40 min,6.0
5,SECTOR GENERAL,ROSALES,10000,0,10000,30-40 min,6.0
6,SECTOR GENERAL,CONJUNTO LLANO GRANDE,10000,0,10000,30-40 min,6.0
7,SECTOR GENERAL,COJUNTO SANTA LUCIA,10000,0,10000,30-40 min,6.0
8,SECTOR GENERAL,COJUNTO BARCELONA,10000,0,10000,30-40 min,6.0
9,SECTOR GENERAL,CONDOMINIO ROSALES,10000,0,10000,30-40 min,6.0
10,SECTOR GENERAL,MACARENA,10000,0,10000,30-40 min,6.0
11,SECTOR GENERAL,DOS MIL BAJO,10000,0,10000,30-40 min,6.0
12,SECTOR GENERAL,DOS MIL ALTO,10000,0,10000,30-40 min,6.0
13,SECTOR GENERAL,BAMBU,10000,0,10000,30-40 min,6.0
14,SECTOR GENERAL,SANTA HELENA,10000,0,10000,30-40 min,6.0
15,SECTOR GENERAL,JORDAN,10000,0,10000,30-40 min,6.0
16,SECTOR GENERAL,JORDAN PARAISO,10000,0,10000,30-40 min,6.0
17,SECTOR GENERAL,JORDAN ALTO,10000,0,10000,30-40 min,6.0
18,SECTOR GENERAL,SAN LUIS,10000,0,10000,30-40 min,6.0
19,SECTOR GENERAL,TRANSITO Y ACUEDUCTO,10000,0,10000,30-40 min,6.0
20,SECTOR GENERAL,MADRIGAL,10000,0,10000,30-40 min,6.0
21,SECTOR GENERAL,VILLA FABIOLA,10000,0,10000,30-40 min,6.0
22,SECTOR GENERAL,CAMINO REAL,10000,0,10000,30-40 min,6.0
23,SECTOR GENERAL,VILLA CRISTINA,10000,0,10000,30-40 min,6.0
24,SECTOR GENERAL,CASTILLA,10000,0,10000,30-40 min,6.0
25,SECTOR GENERAL,VAINILLA,10000,0,10000,30-40 min,6.0
26,SECTOR GENERAL,CARCEL,10000,0,10000,30-40 min,6.0
27,SECTOR GENERAL,RECREO,10000,0,10000,30-40 min,6.0
28,SECTOR GENERAL,SEIS DE ABRIL,10000,0,10000,30-40 min,6.0
29,SECTOR GENERAL,OLIMPICA,10000,0,10000,30-40 min,6.0
30,SECTOR GENERAL,MANANTIAL,10000,0,10000,30-40 min,6.0
31,SECTOR GENERAL,HIERBABUENA,10000,0,10000,30-40 min,6.0
