id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
1,SUPER ALITAS GRAMA WEB,Sector Medio,4.1585,-73.6415,3.8,6000,4000,10000,19
2,GRAMA,Sector Medio,4.1585,-73.6415,3.8,6000,4000,10000,19
3,acambios en el momento,Sector Medio,4.1459,-73.6367,3.8,6000,4000,10000,19
4,CEIBA,Sector Medio,4.1485,-73.6305,3.8,6000,4000,10000,19
5,CEDRITOS,Sector Medio,4.1502,-73.632,3.8,6000,4000,10000,19
6,BOSQUE BAJO,Sector Medio,4.149,-73.6315,3.8,6000,4000,10000,19
7,SAUCES,Sector Medio,4.1515,-73.6335,3.8,6000,4000,10000,19
8,ROSALES,Sector Medio,4.1495,-73.6295,3.8,6000,4000,10000,19
9,CONJUNTO LLANO GRANDE,Sector Medio,4.1465,-73.6321,3.8,6000,4000,10000,19
10,COJUNTO SANTA LUCIA,Sector Medio,4.1482,-73.6275,3.8,6000,4000,10000,19
11,COJUNTO BARCELONA,Sector Medio,4.147,-73.626,3.8,6000,4000,10000,19
12,CONDOMINIO ROSALES,Sector Medio,4.1495,-73.6295,3.8,6000,4000,10000,19
13,MACARENA,Sector Medio,4.1501,-73.6376,3.8,6000,4000,10000,19
14,DOS MIL BAJO,Sector Medio,4.1455,-73.637,3.8,6000,4000,10000,19
15,DOS MIL ALTO,Sector Medio,4.1448,-73.6385,3.8,6000,4000,10000,19
16,BAMBU,Sector Medio,4.147,-73.6294,3.8,6000,4000,10000,19
17,SANTA HELENA,Sector Medio,4.151,-73.63,3.8,6000,4000,10000,19
18,JORDAN,Sector Medio,4.154,-73.627,3.8,6000,4000,10000,19
19,JORDAN PARAISO,Sector Medio,4.1548,-73.6265,3.8,6000,4000,10000,19
20,JORDAN ALTO,Sector Medio,4.1555,-73.6258,3.8,6000,4000,10000,19
21,SAN LUIS,Sector Medio,4.1465,-73.6325,3.8,6000,4000,10000,19
22,TRANSITO Y ACUEDUCTO,Sector Medio,4.1472,-73.6328,3.8,6000,4000,10000,19
