id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
1,CEIBA,Sector Minima,4.1485,-73.6305,1.0,6000,0,6000,12
2,CEDRITOS,Sector Minima,4.1502,-73.632,1.0,6000,0,6000,12
3,BOSQUE BAJO,Sector Minima,4.149,-73.6315,1.0,6000,0,6000,12
4,SAUCES,Sector Minima,4.1515,-73.6335,0.5,6000,0,6000,12
5,ROSALES,Sector Minima,4.1495,-73.6295,1.0,6000,1000,7000,14
6,CONJUNTO LLANO GRANDE,Sector Minima,4.1465,-73.6321,1.0,6000,1000,7000,14
7,COJUNTO SANTA LUCIA,Sector Minima,4.1482,-73.6275,1.0,6000,1000,7000,14
8,COJUNTO BARCELONA,Sector Minima,4.147,-73.626,0.5,6000,1000,7000,14
9,CONDOMINIO ROSALES,Sector Minima,4.1495,-73.6295,1.0,6000,1000,7000,14
10,POPULAR,Sector Minima,4.146,-73.635,0.6,6000,1000,7000,14
11,DOS MIL BAJO,Sector Minima,4.1455,-73.637,0.8,6000,1000,7000,14
12,DOS MIL ALTO,Sector Minima,4.1448,-73.6385,1.0,6000,1000,7000,14
13,BAMBU,Sector Minima,4.147,-73.6294,0.6,6000,1000,7000,14
14,SANTA HELENA,Sector Minima,4.151,-73.63,1.0,6000,1000,7000,14
15,JORDAN,Sector Minima,4.154,-73.627,0.7,6000,1000,7000,14
16,JORDAN PARAISO,Sector Minima,4.1548,-73.6265,0.8,6000,1000,7000,14
17,JORDAN ALTO,Sector Minima,4.1555,-73.6258,0.9,6000,1000,7000,14
18,SAN LUIS,Sector Minima,4.1465,-73.6325,1.0,6000,1000,7000,14
19,TRANSITO Y ACUEDUCTO,Sector Minima,4.1472,-73.6328,0.7,6000,1000,7000,14
20,MADRIGAL,Sector Minima,4.1505,-73.6285,1.0,6000,1000,7000,14
21,VILLA FABIOLA,Sector Minima,4.1467,-73.6319,1.0,6000,1000,7000,14
22,CAMINO REAL,Sector Minima,4.153,-73.625,0.8,6000,1000,7000,14
23,VILLA CRISTINA,Sector Minima,4.1456,-73.6368,0.8,6000,1000,7000,14
24,CASTILLA,Sector Minima,4.1498,-73.6265,0.5,6000,1000,7000,14
25,VAINILLA,Sector Minima,4.1452,-73.6376,0.6,6000,1000,7000,14
26,CARCEL,Sector Minima,4.1446,-73.6291,0.8,6000,1000,7000,14
27,RECREO,Sector Minima,4.148,-73.629,1.0,6000,1000,7000,14
28,SEIS DE ABRIL,Sector Minima,4.1525,-73.6382,1.0,6000,1000,7000,14
29,OLIMPICA,Sector Minima,4.1505,-73.632,0.7,6000,1000,7000,14
30,MANANTIAL,Conjuntos Sector Cerca,4.1533,-73.6323,1.1,6000,1000,7000,14
31,HIERBABUENA,Conjuntos Sector Cerca,4.1533,-73.6389,1.0,6000,1000,7000,14
32,COFREN CATAMA,Conjuntos Sector Cerca,4.147,-73.608,2.5,6000,1000,7000,14
33,PUESTO DE SALUD RECREO,Conjuntos Sector Cerca,4.148,-73.629,1.0,6000,1000,7000,14
34,ALCALA,Conjuntos Sector Cerca,4.1448,-73.6378,1.0,6000,1000,7000,14
35,FLORENCIA,Conjuntos Sector Cerca,4.1496,-73.6351,1.5,6000,1000,7000,14
36,DESMONTADORA,Conjuntos Sector Cerca,4.1476,-73.6307,0.7,6000,1000,7000,14
37,"CONJUNTO CAMINO REAL (1,2,3,4)",Conjuntos Sector Cerca,4.153,-73.625,0.8,6000,1000,7000,14
38,"PARQUES DE SEVILLA (1,2,3,4,)",Conjuntos Sector Cerca,4.1521,-73.6374,1.0,6000,1000,7000,14
39,CONJUNTO TULIPANES,Conjuntos Sector Cerca,4.1448,-73.6377,1.7,6000,1000,7000,14
40,CONJUNTO GIRASOLES,Conjuntos Sector Cerca,4.1506,-73.6293,0.6,6000,1000,7000,14
41,CONJUNTO ALMERIA,Conjuntos Sector Cerca,4.1449,-73.6324,1.1,6000,1000,7000,14
42,CONDOMINIO CRISTALES,Conjuntos Sector Cerca,4.1486,-73.6371,0.8,6000,1000,7000,14
43,CONJUNTO PALAMA REAL,Conjuntos Sector Cerca,4.1531,-73.6379,1.2,6000,1000,7000,14
44,ALTOS DE LOMALINDA,Conjuntos Sector Cerca,4.1473,-73.6379,0.5,6000,1000,7000,14
45,COJUNTO VILLA CARINA,Sector Cerca Medio,4.1528,-73.6296,1.3,6000,2000,8000,16
46,CONJUNTO PRADOS DE CASTILLA,Sector Cerca Medio,4.1498,-73.6265,0.5,6000,2000,8000,16
47,EDIFICIO SANFERNANDO PLAZA,Sector Cerca Medio,4.1447,-73.6303,0.6,6000,2000,8000,16
48,PRADOS DE HIERBABUENA,Sector Cerca Medio,4.1508,-73.6316,0.9,6000,2000,8000,16
49,COJUNTO MALIBU,Sector Cerca Medio,4.1497,-73.6328,1.0,6000,2000,8000,16
50,BALCONES DE PONTEVEDRA,Sector Cerca Medio,4.1451,-73.635,0.7,6000,2000,8000,16
51,ESTERO,Sector Cerca Medio,4.143,-73.615,1.8,6000,2000,8000,16
52,MACUNAIMA,Sector Cerca Medio,4.142,-73.617,1.7,6000,2000,8000,16
53,PARQUE DE LA MEMORIA,Sector Cerca Medio,4.142,-73.63,1.0,6000,2000,8000,16
54,MACARENA,Sector Cerca Medio,4.1501,-73.6376,1.5,6000,2000,8000,16
55,NOGAL,Sector Cerca Medio,4.1475,-73.633,1.0,6000,2000,8000,16
56,SAN CRISTOBAL,Sector Cerca Medio,4.1448,-73.6379,1.0,6000,2000,8000,16
57,CAMELIAS,Sector Cerca Medio,4.1536,-73.6352,1.7,6000,2000,8000,16
58,OLIMPICO BAJO,Sector Cerca Medio,4.1487,-73.6379,1.3,6000,2000,8000,16
59,VILLA ORTIZ,Sector Cerca Medio,4.1446,-73.6388,1.4,6000,2000,8000,16
60,OLIMPICO,Sector Cerca Medio,4.148,-73.6292,1.2,6000,2000,8000,16
61,VILLA JHOANA,Sector Cerca Medio,4.1447,-73.6306,1.0,6000,2000,8000,16
62,CATALUÑA,Sector Cerca Medio,4.1509,-73.6382,0.9,6000,2000,8000,16
63,VILLA NIEVES,Sector Cerca Medio,4.1521,-73.6357,1.0,6000,2000,8000,16
64,DANUVIO,Sector Cerca Medio,4.1473,-73.6352,1.0,6000,3000,9000,17
65,GAUDALAJARA,Sector Cerca Medio,4.1459,-73.6338,1.6,6000,3000,9000,17
66,MARACOS,Sector Cerca Medio,4.1505,-73.6326,0.8,6000,3000,9000,17
67,MI LLANURA,Sector Cerca Medio,4.149,-73.6343,1.4,6000,3000,9000,17
68,BELLO HORIZONTE,Sector Cerca Medio,4.1534,-73.6363,1.1,6000,3000,9000,17
69,SAN IGNACIO,Sector Cerca Medio,4.1475,-73.6375,0.6,6000,3000,9000,17
70,"CANTARRANA 1,2,3,4,",Sector Cerca Medio,4.1472,-73.6382,1.4,6000,3000,9000,17
71,PARQUE LA LLANURA,Sector Cerca Medio,4.1415,-73.628,0.5,6000,3000,9000,17
72,PARQUE SIKUANI,Sector Cerca Medio,4.1375,-73.6265,0.6,6000,3000,9000,17
73,SAUSALITO,Sector Cerca Medio,4.1471,-73.6375,1.5,6000,3000,9000,17
74,BOCHICA,Sector Cerca Medio,4.1527,-73.6383,1.5,6000,3000,9000,17
75,CANAIMA,Sector Cerca Medio,4.1446,-73.6343,1.0,6000,3000,9000,17
76,PORTAL DEL CANAIMA,Sector Cerca Medio,4.1526,-73.6329,1.0,6000,3000,9000,17
77,SAN ISIDRO,Sector Cerca Medio,4.1512,-73.6345,1.5,6000,3000,9000,17
78,SANTA INES,Sector Cerca Medio,4.1509,-73.6339,1.3,6000,3000,9000,17
79,HOTEL ROSADO,Sector Cerca Medio,4.1456,-73.6357,1.0,6000,3000,9000,17
80,VILLA DEL SOL,Sector Cerca Medio,4.1443,-73.6354,0.6,6000,3000,9000,17
81,LA MORGUE,Sector Cerca Medio,4.1447,-73.6377,1.0,6000,3000,9000,17
82,SAN MARCOS,Sector Cerca Medio,4.1455,-73.6313,1.1,6000,3000,9000,17
83,CONJUNTO TOSCANA,Sector Cerca Medio,4.1453,-73.6291,1.0,6000,3000,9000,17
84,QUINTAS DE TOSCANA,Sector Cerca Medio,4.1471,-73.6372,1.0,6000,3000,9000,17
85,FLORIDA,Sector Cerca Medio,4.1534,-73.6352,1.0,6000,3000,9000,17
86,NUEVA FLORESTA,Sector Cerca Medio,4.1515,-73.6362,1.2,6000,3000,9000,17
87,TEUSACA,Sector Cerca Medio,4.15,-73.6363,0.7,6000,3000,9000,17
88,EMBUDO,Sector Cerca Medio,4.1478,-73.6304,0.9,6000,3000,9000,17
89,SANBENITO,Sector Cerca Medio,4.1438,-73.6315,1.1,6000,3000,9000,17
90,NUEVO RICAUTE,Sector Cerca Medio,4.145,-73.6323,1.0,6000,3000,9000,17
91,PORVENIR,Sector Cerca Medio,4.1532,-73.6355,0.8,6000,3000,9000,17
92,VEINTE DE JULIO,Sector Cerca Medio,4.1473,-73.6358,0.9,6000,3000,9000,17
93,SIMON BOLIVAR,Sector Cerca Medio,4.1515,-73.6375,0.8,6000,3000,9000,17
94,ANTONIO RICAUTE,Sector Cerca Medio,4.152,-73.6332,1.0,6000,3000,9000,17
95,BARRIO NOGALES,Sector Cerca Medio,4.1475,-73.633,1.0,6000,3000,9000,17
