id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
1,WEN CHINO WEB,Sector Minima,4.1522,-73.6293,2.4,6000,2000,8000,16
2,CATAMA,Sector Minima,4.147,-73.608,2.4,6000,2000,8000,16
3,el momento,Sector Minima,4.1455,-73.6365,2.4,6000,2000,8000,16
4,mismo),Sector Minima,4.1511,-73.6315,2.4,6000,2000,8000,16
5,CEIBA,Sector Minima,4.1485,-73.6305,2.4,6000,2000,8000,16
6,CEDRITOS,Sector Minima,4.1502,-73.632,2.4,6000,2000,8000,16
7,BOSQUE BAJO,Sector Minima,4.149,-73.6315,2.4,6000,2000,8000,16
8,SAUCES,Sector Minima,4.1515,-73.6335,2.4,6000,2000,8000,16
9,ROSALES,Sector Minima,4.1495,-73.6295,2.4,6000,2000,8000,16
10,CONJUNTO LLANO GRANDE,Sector Minima,4.1465,-73.6321,2.4,6000,2000,8000,16
11,COJUNTO SANTA LUCIA,Sector Minima,4.1482,-73.6275,2.4,6000,2000,8000,16
12,COJUNTO BARCELONA,Sector Minima,4.147,-73.626,2.4,6000,2000,8000,16
13,CONDOMINIO ROSALES,Sector Minima,4.1495,-73.6295,2.4,6000,2000,8000,16
14,POPULAR,Sector Minima,4.146,-73.635,2.4,6000,2000,8000,16
15,DOS MIL BAJO,Sector Minima,4.1455,-73.637,2.4,6000,2000,8000,16
16,DOS MIL ALTO,Sector Minima,4.1448,-73.6385,2.4,6000,2000,8000,16
17,BAMBU,Sector Minima,4.147,-73.6294,2.4,6000,2000,8000,16
18,SANTA HELENA,Sector Minima,4.151,-73.63,2.4,6000,2000,8000,16
19,JORDAN,Sector Minima,4.154,-73.627,2.4,6000,2000,8000,16
20,Página 185,Sector Minima,4.1524,-73.6341,2.4,6000,2000,8000,16
21,JORDAN PARAISO,Sector Minima,4.1548,-73.6265,2.4,6000,2000,8000,16
22,JORDAN ALTO,Sector Minima,4.1555,-73.6258,2.4,6000,2000,8000,16
