id,sector,barrio,tarifa_base,recargo_distancia,tarifa_total,tiempo_estimado,distancia_aprox_km
1,SECTOR GENERAL,del mismo) dismunucion del precio o aument,7000,0,7000,20-30 min,3.2
2,SECTOR MINIMA,CEIBA,7000,0,7000,20-30 min,3.2
3,SECTOR MINIMA,CEDRITOS,7000,0,7000,20-30 min,3.2
4,SECTOR MINIMA,BOSQUE BAJO,7000,0,7000,20-30 min,3.2
5,SECTOR MINIMA,SAUCES,7000,0,7000,20-30 min,3.2
6,SECTOR MINIMA,ROSALES,7000,0,7000,20-30 min,3.2
7,SECTOR MINIMA,CONJUNTO LLANO GRANDE,7000,0,7000,20-30 min,3.2
8,SECTOR MINIMA,COJUNTO SANTA LUCIA,7000,0,7000,20-30 min,3.2
9,SECTOR MINIMA,COJUNTO BARCELONA,7000,0,7000,20-30 min,3.2
10,SECTOR MINIMA,CONDOMINIO ROSALES,7000,0,7000,20-30 min,3.2
11,SECTOR MINIMA,POPULAR,7000,0,7000,20-30 min,3.2
12,SECTOR MINIMA,DOS MIL BAJO,7000,0,7000,20-30 min,3.2
13,SECTOR MINIMA,DOS MIL ALTO,7000,0,7000,20-30 min,3.2
14,SECTOR MINIMA,BAMBU,7000,0,7000,20-30 min,3.2
15,SECTOR MINIMA,SANTA HELENA,7000,0,7000,20-30 min,3.2
16,SECTOR MINIMA,JORDAN,7000,0,7000,20-30 min,3.2
17,SECTOR MINIMA,JORDAN PARAISO,7000,0,7000,20-30 min,3.2
18,SECTOR MINIMA,JORDAN ALTO,7000,0,7000,20-30 min,3.2
19,SECTOR MINIMA,SAN LUIS,7000,0,7000,20-30 min,3.2
20,SECTOR MINIMA,TRANSITO Y ACUEDUCTO,7000,0,7000,20-30 min,3.2
21,SECTOR MINIMA,MADRIGAL,7000,0,7000,20-30 min,3.2
22,SECTOR MINIMA,VILLA FABIOLA,7000,0,7000,20-30 min,3.2
23,SECTOR MINIMA,CAMINO REAL,7000,0,7000,20-30 min,3.2
24,SECTOR MINIMA,VILLA CRISTINA,7000,0,7000,20-30 min,3.2
25,SECTOR MINIMA,CASTILLA,7000,0,7000,20-30 min,3.2
26,SECTOR MINIMA,VAINILLA,7000,0,7000,20-30 min,3.2
27,SECTOR MINIMA,CARCEL,7000,0,7000,20-30 min,3.2
28,SECTOR MINIMA,RECREO,7000,0,7000,20-30 min,3.2
29,SECTOR MINIMA,SEIS DE ABRIL,7000,0,7000,20-30 min,3.2
30,SECTOR MINIMA,OLIMPICA,7000,0,7000,20-30 min,3.2
31,SECTOR GENERAL,MANANTIAL,7000,0,7000,20-30 min,3.2
32,SECTOR GENERAL,HIERBABUENA,7000,0,7000,20-30 min,3.2
33,SECTOR GENERAL,COFREN CATAMA,7000,0,7000,20-30 min,3.2
34,SECTOR GENERAL,PUESTO DE SALUD RECREO,7000,0,7000,20-30 min,3.2
35,SECTOR GENERAL,ALCALA,7000,0,7000,20-30 min,3.2
36,SECTOR GENERAL,FLORENCIA,7000,0,7000,20-30 min,3.2
37,SECTOR GENERAL,DESMONTADORA,7000,0,7000,20-30 min,3.2
38,A CONJUNTOS SECTOR CE,"CONJUNTO CAMINO REAL (1,2,3,4)",7000,0,7000,20-30 min,3.2
39,A CONJUNTOS SECTOR CE,"PARQUES DE SEVILLA (1,2,3,4,)",7000,0,7000,20-30 min,3.2
40,A CONJUNTOS SECTOR CE,CONJUNTO TULIPANES,7000,0,7000,20-30 min,3.2
41,A CONJUNTOS SECTOR CE,CONJUNTO GIRASOLES,7000,0,7000,20-30 min,3.2
42,A CONJUNTOS SECTOR CE,CONJUNTO ALMERIA,7000,0,7000,20-30 min,3.2
43,A CONJUNTOS SECTOR CE,CONDOMINIO CRISTALES,7000,0,7000,20-30 min,3.2
44,A CONJUNTOS SECTOR CE,CONJUNTO PALAMA REAL,7000,0,7000,20-30 min,3.2
45,A CONJUNTOS SECTOR CE,ALTOS DE LOMALINDA,7000,0,7000,20-30 min,3.2
46,A CONJUNTOS SECTOR CE,COJUNTO VILLA KARINA,7000,0,7000,20-30 min,3.2
47,A CONJUNTOS SECTOR CE,CONJUNTO PRADOS DE CASTILLA,7000,0,7000,20-30 min,3.2
48,A CONJUNTOS SECTOR CE,EDIFICIO SANFERNANDO PLAZA,7000,0,7000,20-30 min,3.2
49,A CONJUNTOS SECTOR CE,PRADOS DE HIRBABUENA,7000,0,7000,20-30 min,3.2
50,A CONJUNTOS SECTOR CE,COJUNTO MALIBU,7000,0,7000,20-30 min,3.2
51,A CONJUNTOS SECTOR CE,BALCONES DE PONTEVEDRA,7000,0,7000,20-30 min,3.2
52,SECTOR CERCA MEDI,ESTERO,8000,0,8000,25-35 min,4.5
53,SECTOR CERCA MEDI,MACUNAIMA,8000,0,8000,25-35 min,4.5
54,SECTOR CERCA MEDI,PARQUE DE LA MEMORIA,9000,0,9000,30-40 min,6.0
55,SECTOR CERCA MEDI,MACARENA,8000,0,8000,25-35 min,4.5
56,SECTOR CERCA MEDI,NOGAL,8000,0,8000,25-35 min,4.5
57,SECTOR CERCA MEDI,SAN CRISTOBAL,8000,0,8000,25-35 min,4.5
58,SECTOR CERCA MEDI,CAMELIAS,8000,0,8000,25-35 min,4.5
59,SECTOR CERCA MEDI,OLIMPICO BAJO,9000,0,9000,30-40 min,6.0
60,SECTOR CERCA MEDI,VILLA ORTIX,9000,0,9000,30-40 min,6.0
61,SECTOR CERCA MEDI,OLIMPICO,8000,0,8000,25-35 min,4.5
62,SECTOR CERCA MEDI,VILLA JHOANA,8000,0,8000,25-35 min,4.5
63,SECTOR CERCA MEDI,CATALUÑA,9000,0,9000,30-40 min,6.0
64,SECTOR CERCA MEDI,VILLA NIEVES,9000,0,9000,30-40 min,6.0
65,SECTOR GENERAL,DANUVIO,9000,0,9000,30-40 min,6.0
66,SECTOR GENERAL,GAUDALAJARA,9000,0,9000,30-40 min,6.0
67,SECTOR GENERAL,MARACOS,9000,0,9000,30-40 min,6.0
68,SECTOR GENERAL,MI LLANURA,8000,0,8000,25-35 min,4.5
69,SECTOR GENERAL,BELLO HORISONTE,9000,0,9000,30-40 min,6.0
70,SECTOR GENERAL,SAN INGNACIO,8000,0,8000,25-35 min,4.5
71,SECTOR GENERAL,"CANTARRANA 1,2,3,4,",8000,0,8000,25-35 min,4.5
72,SECTOR GENERAL,PARQUE LA LLNURA,8000,0,8000,25-35 min,4.5
73,SECTOR GENERAL,PARQUE SICUANI,8000,0,8000,25-35 min,4.5
74,SECTOR GENERAL,SAUSALITO,8000,0,8000,25-35 min,4.5
75,SECTOR GENERAL,BOCHICA,8000,0,8000,25-35 min,4.5
76,SECTOR GENERAL,CANAIMA,8000,0,8000,25-35 min,4.5
77,SECTOR GENERAL,PORTAL DEL CANAIMA,8000,0,8000,25-35 min,4.5
78,SECTOR GENERAL,SAN NISIDRO,8000,0,8000,25-35 min,4.5
79,SECTOR GENERAL,SANTA INES,9000,0,9000,30-40 min,6.0
80,SECTOR GENERAL,HOTEL ROSADO,9000,0,9000,30-40 min,6.0
81,SECTOR GENERAL,VILLA DEL SOL,9000,0,9000,30-40 min,6.0
82,SECTOR GENERAL,LA MORGUE,9000,0,9000,30-40 min,6.0
83,SECTOR GENERAL,SAN MARCOS,9000,0,9000,30-40 min,6.0
84,SECTOR GENERAL,CONJONTO TOSCANA,9000,0,9000,30-40 min,6.0
85,SECTOR GENERAL,QUINTAS DE TOSCANA,9000,0,9000,30-40 min,6.0
86,SECTOR GENERAL,FLORIDA,9000,0,9000,30-40 min,6.0
87,SECTOR GENERAL,NUEVA FLORESTA,9000,0,9000,30-40 min,6.0
88,SECTOR GENERAL,TEUSACA,8000,0,8000,25-35 min,4.5
89,SECTOR GENERAL,EMBUDO,9000,0,9000,30-40 min,6.0
90,SECTOR GENERAL,SANBENITO,9000,0,9000,30-40 min,6.0
91,SECTOR GENERAL,NUEVO RICAUTE,9000,0,9000,30-40 min,6.0
92,SECTOR GENERAL,PORVENIR,9000,0,9000,30-40 min,6.0
93,SECTOR GENERAL,VIENTE JULIO,9000,0,9000,30-40 min,6.0
94,SECTOR GENERAL,SIMON BOLIVAR,8000,0,8000,25-35 min,4.5
95,SECTOR GENERAL,ANTONIO RICAUTE,8000,0,8000,25-35 min,4.5
96,SECTOR GENERAL,BARRIO NOGALES,8000,0,8000,25-35 min,4.5
97,SECTOR GENERAL,CANEY,8000,0,8000,25-35 min,4.5
98,SECTOR GENERAL,BRISAS DEL CANEY,8000,0,8000,25-35 min,4.5
99,SECTOR GENERAL,AMARAL,8000,0,8000,25-35 min,4.5
100,SECTOR GENERAL,CATATUMBO,8000,0,8000,25-35 min,4.5
101,SECTOR GENERAL,RETIRO,8000,0,8000,25-35 min,4.5
102,SECTOR GENERAL,BUENOS AIRES,8000,0,8000,25-35 min,4.5
103,SECTOR GENERAL,REMANSO,8000,0,8000,25-35 min,4.5
104,SECTOR GENERAL,VIZCAYA,8000,0,8000,25-35 min,4.5
105,SECTOR GENERAL,HOTEL HACARITAMA,9000,0,9000,30-40 min,6.0
106,SECTOR GENERAL,CANCHA RACING,9000,0,9000,30-40 min,6.0
107,SECTOR GENERAL,HACARITAMA,9000,0,9000,30-40 min,6.0
108,SECTOR GENERAL,BARRIO PRIMAVERA,9000,0,9000,30-40 min,6.0
109,SECTOR GENERAL,PARQUE PRIMAVERA,9000,0,9000,30-40 min,6.0
110,SECTOR GENERAL,CIUDADELA EL DIVINO NIÑO,9000,0,9000,30-40 min,6.0
111,SECTOR GENERAL,LAS FERIAS,9000,0,9000,30-40 min,6.0
112,SECTOR GENERAL,GAITAN,9000,0,9000,30-40 min,6.0
113,SECTOR GENERAL,SAN GREGORIO,9000,0,9000,30-40 min,6.0
114,SECTOR CEREO UNO,MAIZARO,9000,0,9000,30-40 min,6.0
115,OR MEDIO CONJUNTOS Y CONDONINIOS SE,"CONDOMINIO DUARY 1,2",9000,0,9000,30-40 min,6.0
116,OR MEDIO CONJUNTOS Y CONDONINIOS SE,CERRO CAMPESTRE ALTO,9000,0,9000,30-40 min,6.0
117,OR MEDIO CONJUNTOS Y CONDONINIOS SE,CERRO CAMPESTRE BAJO,9000,0,9000,30-40 min,6.0
118,OR MEDIO CONJUNTOS Y CONDONINIOS SE,CONDOMINIO BOSQUES DE VIZCAYA,9000,0,9000,30-40 min,6.0
119,OR MEDIO CONJUNTOS Y CONDONINIOS SE,CONDOMINIO PORTAL DEL MOLINO,9000,0,9000,30-40 min,6.0
120,OR MEDIO CONJUNTOS Y CONDONINIOS SE,RESERVAS DEL VIZCAYA,9000,0,9000,30-40 min,6.0
121,OR MEDIO CONJUNTOS Y CONDONINIOS SE,"CONJUNTO LOS ALMENDROS 1,2",9000,0,9000,30-40 min,6.0
122,OR MEDIO CONJUNTOS Y CONDONINIOS SE,CAMINOS DE SEVILLA,9000,0,9000,30-40 min,6.0
123,OR MEDIO CONJUNTOS Y CONDONINIOS SE,LLANO HERMOSO,9000,0,9000,30-40 min,6.0
124,OR MEDIO CONJUNTOS Y CONDONINIOS SE,"CONJUNTO BONNANZA 1,2",9000,0,9000,30-40 min,6.0
125,OR MEDIO CONJUNTOS Y CONDONINIOS SE,RINCON DEL LLANO,9000,0,9000,30-40 min,6.0
