sector,barrio,tarifa_base,tarifa_total,tiempo_estimado,distancia_aprox_km
SECTOR MINIMA,JORDAN ALTO,7000,7000,25-35 min,3.2
SECTOR MINIMA,CONDOMINIO CRISTALES,7000,7000,25-35 min,3.2
SECTOR MINIMA,BALCONES DE PONTEVEDRA,8000,8000,25-35 min,3.8
SECTOR MINIMA,$ 8.000,9000,9000,25-35 min,4.5
SECTOR MINIMA,$ 9.000,8000,8000,25-35 min,3.8
SECTOR CERCA MEDIO,VILLA NIEVES,9000,9000,25-35 min,4.5
SECTOR CERCA MEDIO,NAL,8000,8000,25-35 min,3.8
SECTOR CEREO UNO,CONDOMINIO PORTAL DEL MOLINO,9000,9000,25-35 min,4.5
SECTOR TERMINAL,CONDOMINIO VILLA VALERIA,10000,10000,25-35 min,5.2
SECTOR AMARILO,AMARILO ZAINOS,14000,14000,25-35 min,7.8
SECTOR AMARILO,AMARILO ARBOLEDA CAMPESTRE IV 4,13000,13000,25-35 min,7.2
SECTOR AMARILO,$ 13.000,16000,16000,25-35 min,9.2
SECTOR AMARILO,$ 16.000,16000,16000,25-35 min,9.2
SECTOR AMARILO,$ 17.000,23000,23000,25-35 min,13.8
SECTOR LOS CENTAUROS,BALCONES DE GRATAMIRA,14000,14000,25-35 min,7.8
SECTOR LOS CENTAUROS,ZAL,14000,14000,25-35 min,7.8
SECTOR LOS CENTAUROS,CONDOMINIO LA FONTANA,13000,13000,25-35 min,7.2
SECTOR LOS CENTAUROS,$ 12.000,13000,13000,25-35 min,7.2
SECTOR LOS CENTAUROS,$ 10.000,10000,10000,25-35 min,5.2
SECTOR LOS CENTAUROS,$ 11.000,10000,10000,25-35 min,5.2
SECTOR SALUD BARZAL,HOSPITAL DEPARTAMENTAL,10000,10000,25-35 min,5.2
SECTOR SALUD BARZAL,CLINICA META,9000,9000,25-35 min,4.5
SECTOR SALUD BARZAL,SERVIMEDICOS,9000,9000,25-35 min,4.5
SECTOR SALUD BARZAL,CAPILLAS DE LA FE,11000,11000,25-35 min,5.8
SECTOR SALUD BARZAL,IPS MONTANO MEDICAL BUQUE,10000,10000,25-35 min,5.2
SECTOR SALUD BARZAL,GRAMA,12000,12000,25-35 min,6.5
SECTOR SALUD BARZAL,CHAPINERO BAJO,13000,13000,25-35 min,7.2
SECTOR GRAMA CONJUNTOS Y EDIFICIOS,CONJUNTO RESIDENCIAL CAMBULOS 1,2,3,12000,12000,25-35 min,6.5
SECTOR GRAMA CONJUNTOS Y EDIFICIOS,PANORAMA DEL CAMPO,13000,13000,25-35 min,7.2
SECTOR GRAMA CONJUNTOS Y EDIFICIOS,LA ARENERA,11000,11000,25-35 min,5.8
SECTOR GRAMA CONJUNTOS Y EDIFICIOS,IRPAS,15000,15000,25-35 min,8.5
SECTOR ESTE KIRPAS,ANSA,15000,15000,25-35 min,8.5
SECTOR ESTE KIRPAS,$ 15.000,17000,17000,25-35 min,9.8
SECTOR REMANSOS DE ROSABLANCA,CONDOMINIO SANTA MARIA 1,2,12000,12000,25-35 min,6.5
SECTOR REMANSOS DE ROSABLANCA,SAN SILVESTRE 1,2,,13000,13000,25-35 min,7.2
SECTOR REMANSOS DE ROSABLANCA,AGUAS CLARAS,10000,10000,25-35 min,5.2
SECTOR ESPERANSA,URBANIZACION GUATIQUIA,10000,10000,25-35 min,5.2
SECTOR ESPERANSA,CORALINA,11000,11000,25-35 min,5.8
SECTOR BUQUE,BAJO,11000,11000,25-35 min,5.8
SECTOR BUQUE,ALTOS VILLA CODEM,10000,10000,25-35 min,5.2
SECTOR ESTE BAJO,CHELA,14000,14000,25-35 min,7.8
SECTOR ESTE BAJO,$ 14.000,12000,12000,25-35 min,6.5
SECTOR ESTE BAJO,$ 18.000,18000,18000,25-35 min,10.5
SECTOR ESTE BAJO,LOS GEMELOS,16000,16000,25-35 min,9.2
