sector,barrio,tarifa_base,recargo_distancia,tarifa_total
SECTOR GENERAL,CEIBA,7000,0,7000
SECTOR GENERAL,CEDRITOS,7000,0,7000
SECTOR GENERAL,BOSQUE BAJO,7000,0,7000
SECTOR GENERAL,SAUCES,7000,0,7000
SECTOR GENERAL,ROSALES,7000,0,7000
SECTOR GENERAL,CONJUNTO LLANO GRANDE,7000,0,7000
SECTOR GENERAL,COJUNTO SANTA LUCIA,7000,0,7000
SECTOR GENERAL,COJUNTO BARCELONA,7000,0,7000
SECTOR GENERAL,CONDOMINIO ROSALES,7000,0,7000
SECTOR GENERAL,POPULAR,7000,0,7000
SECTOR GENERAL,DOS MIL BAJO,7000,0,7000
SECTOR GENERAL,DOS MIL ALTO,7000,0,7000
SECTOR GENERAL,BAMBU,7000,0,7000
SECTOR GENERAL,SANTA HELENA,7000,0,7000
SECTOR GENERAL,JORDAN,8000,0,8000
SECTOR GENERAL,JORDAN PARAISO,8000,0,8000
SECTOR GENERAL,COFREN CATAMA,8000,0,8000
SECTOR GENERAL,PUESTO DE SALUD RECREO,7000,0,7000
SECTOR GENERAL,ALCALA,7000,0,7000
SECTOR GENERAL,FLORENCIA,7000,0,7000
SECTOR GENERAL,DESMONTADORA,7000,0,7000
SECTOR GENERAL,CAMINO REAL,7000,0,7000
SECTOR GENERAL,VILLA CRISTINA,7000,0,7000
SECTOR GENERAL,CASTILLA,7000,0,7000
SECTOR GENERAL,VAINILLA,8000,0,8000
SECTOR GENERAL,CARCEL,8000,0,8000
SECTOR GENERAL,RECREO,7000,0,7000
SECTOR GENERAL,SEIS  DE ABRIL,7000,0,7000
SECTOR GENERAL,OLIMPICA,7000,0,7000
SECTOR GENERAL,MANANTIAL,8000,0,8000
SECTOR GENERAL,HIERBABUENA,8000,0,8000
SECTOR GENERAL,JORDAN ALTO,7000,0,7000
SECTOR GENERAL,SAN LUIS,7000,0,7000
SECTOR GENERAL,TRANSITO Y ACUEDUCTO,7000,0,7000
SECTOR GENERAL,MADRIGAL,7000,0,7000
SECTOR GENERAL,VILLA FABIOLA,7000,0,7000
SECTOR GENERAL,"CONJUNTO CAMINO REAL (1,2,3,4)",8000,0,8000
SECTOR GENERAL,"PARQUES DE SEVILLA (1,2,3,4,)",8000,0,8000
SECTOR GENERAL,CONJUNTO TULIPANES,8000,0,8000
SECTOR GENERAL,CONJUNTO GIRASOLES,8000,0,8000
SECTOR GENERAL,CONJUNTO ALMERIA,8000,0,8000
SECTOR GENERAL,CONDOMINIO CRISTALES,8000,0,8000
SECTOR GENERAL,CONJUNTO PALAMA REAL,8000,0,8000
SECTOR GENERAL,ALTOS DE LOMALINDA,8000,0,8000
SECTOR GENERAL,COJUNTO VILLA KARINA,8000,0,8000
SECTOR GENERAL,CONJUNTO PRADOS DE CASTILLA,8000,0,8000
SECTOR GENERAL,EDIFICIO SANFERNANDO PLAZA,8000,0,8000
SECTOR GENERAL,PRADOS DE HIRBABUENA,8000,0,8000
SECTOR GENERAL,COJUNTO MALIBU,8000,0,8000
SECTOR GENERAL,BALCONES DE PONTEVEDRA,8000,0,8000
SECTOR GENERAL,ESTERO,8000,0,8000
SECTOR GENERAL,MACUNAIMA,9000,0,9000
SECTOR GENERAL,PARQUE DE LA MEMORIA,8000,0,8000
SECTOR GENERAL,MACARENA,8000,0,8000
