sector,barrio,tarifa_base,tarifa_total,tiempo_estimado,distancia_aprox_km
SECTOR MINIMA,JORDAN ALTO,8000,8000,25-35 min,3.8
SECTOR MINIMA,CONDOMINIO CRISTALES,8000,8000,25-35 min,3.8
SECTOR CERCA MEDIO,LA MORGUE,9000,9000,25-35 min,4.5
SECTOR CEREO UNO,CONDOMINIO PORTAL DEL MOLINO,9000,9000,25-35 min,4.5
SECTOR TERMINAL,CONDOMINIO VILLA VALERIA,11000,11000,25-35 min,5.8
SECTOR AMARILO,AMARILO ZAINOS,15000,15000,25-35 min,8.5
SECTOR AMARILO,AMARILO ARBOLEDA CAMPESTRE IV 4,13000,13000,25-35 min,7.2
SECTOR AMARILO,$ 13.000,16000,16000,25-35 min,9.2
SECTOR AMARILO,$ 16.000,16000,16000,25-35 min,9.2
SECTOR AMARILO,$ 17.000,23000,23000,25-35 min,13.8
SECTOR LOS CENTAUROS,BALCONES DE GRATAMIRA,14000,14000,25-35 min,7.8
SECTOR LOS CENTAUROS,$ 14.000,14000,14000,25-35 min,7.8
SECTOR LOS CENTAUROS,RZAL,14000,14000,25-35 min,7.8
SECTOR LOS CENTAUROS,$ 10.000,10000,10000,25-35 min,5.2
SECTOR LOS CENTAUROS,$ 11.000,11000,11000,25-35 min,5.8
SECTOR SALUD BARZAL,HOSPITAL DEPARTAMENTAL,11000,11000,25-35 min,5.8
SECTOR SALUD BARZAL,CLINICA META,10000,10000,25-35 min,5.2
SECTOR SALUD BARZAL,NUEVA CLINICA BARZAL,10000,10000,25-35 min,5.2
SECTOR SALUD BARZAL,SALUDA TOTAL,11000,11000,25-35 min,5.8
SECTOR SALUD BARZAL,$ 9.000,9000,9000,25-35 min,4.5
SECTOR SALUD BARZAL,ESMERALDA,12000,12000,25-35 min,6.5
SECTOR SALUD BARZAL,CAMPIÑA,13000,13000,25-35 min,7.2
SECTOR GRAMA CONJUNTOS Y EDIFICIOS,CONJUNTO RESIDENCIAL CAMBULOS 1,2,3,12000,12000,25-35 min,6.5
SECTOR GRAMA CONJUNTOS Y EDIFICIOS,PANORAMA DEL CAMPO,13000,13000,25-35 min,7.2
SECTOR GRAMA CONJUNTOS Y EDIFICIOS,LA ARENERA,11000,11000,25-35 min,5.8
SECTOR GRAMA CONJUNTOS Y EDIFICIOS,KIRPAS,15000,15000,25-35 min,8.5
SECTOR ESTE KIRPAS,E ROSABLANCA,15000,15000,25-35 min,8.5
SECTOR ESTE KIRPAS,$ 15.000,17000,17000,25-35 min,9.8
SECTOR REMANSOS DE ROSABLANCA,CONDOMINIO SANTA MARIA 1,2,12000,12000,25-35 min,6.5
SECTOR REMANSOS DE ROSABLANCA,VILLAS DEL MEDITERRANEO,13000,13000,25-35 min,7.2
SECTOR ESPERANSA,PARQUE VILLA BOLIVAR,10000,10000,25-35 min,5.2
SECTOR ESPERANSA,VILLA CLAUDIA,10000,10000,25-35 min,5.2
SECTOR BUQUE,E BAJO,11000,11000,25-35 min,5.8
SECTOR BUQUE,$ 12.000,12000,12000,25-35 min,6.5
SECTOR BUQUE,ALTOS VILLA CODEM,10000,10000,25-35 min,5.2
SECTOR ESTE BAJO,OCHELA,15000,15000,25-35 min,8.5
SECTOR ESTE BAJO,$ 18.000,18000,18000,25-35 min,10.5
SECTOR ESTE BAJO,LOS GEMELOS,16000,16000,25-35 min,9.2
SECTOR SUR ROCHELA,PELIGRO,16000,16000,25-35 min,9.2
