id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
1,FERCHO AREPAS WEB,Sector Minima,4.1486,-73.6343,2.4,6000,2000,8000,16
2,NOGAL,Sector Minima,4.1475,-73.633,2.4,6000,2000,8000,16
3,en el momento,Sector Minima,4.1457,-73.6385,2.4,6000,2000,8000,16
4,mismo),Sector Minima,4.1511,-73.6315,2.4,6000,2000,8000,16
5,CEIBA,Sector Minima,4.1485,-73.6305,2.4,6000,2000,8000,16
6,CEDRITOS,Sector Minima,4.1502,-73.632,2.4,6000,2000,8000,16
7,BOSQUE BAJO,Sector Minima,4.149,-73.6315,2.4,6000,2000,8000,16
8,SAUCES,Sector Minima,4.1515,-73.6335,2.4,6000,2000,8000,16
9,ROSALES,Sector Minima,4.1495,-73.6295,2.4,6000,2000,8000,16
10,CONJUNTO LLANO GRANDE,Sector Minima,4.1465,-73.6321,2.4,6000,2000,8000,16
11,COJUNTO SANTA LUCIA,Sector Minima,4.1482,-73.6275,2.4,6000,2000,8000,16
12,COJUNTO BARCELONA,Sector Minima,4.147,-73.626,2.4,6000,2000,8000,16
13,CONDOMINIO ROSALES,Sector Minima,4.1495,-73.6295,2.4,6000,2000,8000,16
14,POPULAR,Sector Minima,4.146,-73.635,2.4,6000,2000,8000,16
15,DOS MIL BAJO,Sector Minima,4.1455,-73.637,2.4,6000,2000,8000,16
16,DOS MIL ALTO,Sector Minima,4.1448,-73.6385,2.4,6000,2000,8000,16
17,BAMBU,Sector Minima,4.147,-73.6294,2.4,6000,2000,8000,16
18,SANTA HELENA,Sector Minima,4.151,-73.63,2.4,6000,2000,8000,16
19,JORDAN,Sector Minima,4.154,-73.627,2.4,6000,2000,8000,16
20,JORDAN PARAISO,Sector Minima,4.1548,-73.6265,2.4,6000,2000,8000,16
21,JORDAN ALTO,Sector Minima,4.1555,-73.6258,2.4,6000,2000,8000,16
22,SAN LUIS,Sector Minima,4.1465,-73.6325,2.4,6000,2000,8000,16
23,TRANSITO Y ACUEDUCTO,Sector Minima,4.1472,-73.6328,2.4,6000,2000,8000,16
24,MADRIGAL,Sector Minima,4.1505,-73.6285,2.4,6000,2000,8000,16
25,VILLA FABIOLA,Sector Minima,4.1467,-73.6319,2.4,6000,2000,8000,16
26,CAMINO REAL,Sector Minima,4.153,-73.625,2.4,6000,2000,8000,16
27,VILLA CRISTINA,Sector Minima,4.1456,-73.6368,2.4,6000,2000,8000,16
28,CASTILLA,Sector Minima,4.1498,-73.6265,2.4,6000,2000,8000,16
29,ESTERO,Sector Minima,4.143,-73.615,2.4,6000,2000,8000,16
30,ANTONIO RICAUTE,Sector Minima,4.152,-73.6332,2.4,6000,2000,8000,16
31,RECREO,Sector Minima,4.148,-73.629,2.4,6000,2000,8000,16
32,SEIS DE ABRIL,Sector Minima,4.1525,-73.6382,2.4,6000,2000,8000,16
33,OLIMPICA,Sector Minima,4.1505,-73.632,2.4,6000,2000,8000,16
34,MANANTIAL,Sector Minima,4.1533,-73.6323,2.4,6000,2000,8000,16
35,HIERBABUENA,Sector Minima,4.1533,-73.6389,2.4,6000,2000,8000,16
36,COFREN CATAMA,Sector Minima,4.147,-73.608,2.4,6000,2000,8000,16
37,Página 448,Conjuntos Sector Cerca,4.1517,-73.635,2.4,6000,2000,8000,16
38,PUESTO DE SALUD RECREO,Conjuntos Sector Cerca,4.148,-73.629,2.4,6000,2000,8000,16
39,ALCALA,Conjuntos Sector Cerca,4.1448,-73.6378,2.4,6000,2000,8000,16
40,FLORENCIA,Conjuntos Sector Cerca,4.1496,-73.6351,2.4,6000,2000,8000,16
41,DESMONTADORA,Conjuntos Sector Cerca,4.1476,-73.6307,2.4,6000,2000,8000,16
42,CONJUNTO CAMINO REAL,Conjuntos Sector Cerca,4.153,-73.625,2.4,6000,2000,8000,16
43,"(1,2,3,4)",Conjuntos Sector Cerca,4.1444,-73.6319,2.4,6000,2000,8000,16
44,"PARQUES DE SEVILLA (1,2,3,4,)",Conjuntos Sector Cerca,4.1521,-73.6374,2.4,6000,2000,8000,16
45,CONJUNTO TULIPANES,Conjuntos Sector Cerca,4.1448,-73.6377,2.4,6000,2000,8000,16
46,CONJUNTO GIRASOLES,Conjuntos Sector Cerca,4.1506,-73.6293,2.4,6000,2000,8000,16
47,CONJUNTO ALMERIA,Conjuntos Sector Cerca,4.1449,-73.6324,2.4,6000,2000,8000,16
48,CONDOMINIO CRISTALES,Conjuntos Sector Cerca,4.1486,-73.6371,2.4,6000,2000,8000,16
49,CONJUNTO PALAMA REAL,Conjuntos Sector Cerca,4.1531,-73.6379,2.4,6000,2000,8000,16
50,ALTOS DE LOMALINDA,Conjuntos Sector Cerca,4.1473,-73.6379,2.4,6000,2000,8000,16
51,COJUNTO VILLA KARINA,Conjuntos Sector Cerca,4.1524,-73.6334,2.4,6000,2000,8000,16
52,CONJUNTO PRADOS DE CASTILLA,Conjuntos Sector Cerca,4.1498,-73.6265,2.4,6000,2000,8000,16
53,EDIFICIO SANFERNANDO PLAZA,Conjuntos Sector Cerca,4.1447,-73.6303,2.4,6000,2000,8000,16
54,PRADOS DE HIRBABUENA,Conjuntos Sector Cerca,4.1512,-73.637,2.4,6000,2000,8000,16
55,COJUNTO MALIBU,Conjuntos Sector Cerca,4.1497,-73.6328,2.4,6000,2000,8000,16
56,BALCONES DE PONTEVEDRA,Conjuntos Sector Cerca,4.1451,-73.635,2.4,6000,2000,8000,16
57,VAINILLA,Sector Cerca Medio,4.1452,-73.6376,2.4,6000,2000,8000,16
58,MACUNAIMA,Sector Cerca Medio,4.142,-73.617,2.4,6000,2000,8000,16
59,PARQUE DE LA MEMORIA,Sector Cerca Medio,4.142,-73.63,2.4,6000,2000,8000,16
60,MACARENA,Sector Cerca Medio,4.1501,-73.6376,2.4,6000,2000,8000,16
61,SAN CRISTOBAL,Sector Cerca Medio,4.1448,-73.6379,2.4,6000,2000,8000,16
62,CAMELIAS,Sector Cerca Medio,4.1536,-73.6352,2.4,6000,2000,8000,16
63,OLIMPICO BAJO,Sector Cerca Medio,4.1487,-73.6379,2.4,6000,2000,8000,16
64,VILLA ORTIX,Sector Cerca Medio,4.1493,-73.6305,2.4,6000,2000,8000,16
65,OLIMPICO,Sector Cerca Medio,4.148,-73.6292,2.4,6000,2000,8000,16
66,VILLA JHOANA,Sector Cerca Medio,4.1447,-73.6306,2.4,6000,2000,8000,16
67,CATALUÑA,Sector Cerca Medio,4.1509,-73.6382,2.4,6000,2000,8000,16
68,VILLA NIEVES,Sector Cerca Medio,4.1521,-73.6357,2.4,6000,2000,8000,16
69,DANUVIO,Sector Cerca Medio,4.1473,-73.6352,2.4,6000,2000,8000,16
70,GAUDALAJARA,Sector Cerca Medio,4.1459,-73.6338,2.4,6000,2000,8000,16
71,MARACOS,Sector Cerca Medio,4.1505,-73.6326,2.4,6000,2000,8000,16
72,Página 449,Sector Cerca Medio,4.1497,-73.6343,3.1,6000,3000,9000,17
73,MI LLANURA,Sector Cerca Medio,4.149,-73.6343,3.1,6000,3000,9000,17
74,BELLO HORISONTE,Sector Cerca Medio,4.1442,-73.6373,3.1,6000,3000,9000,17
75,SAN INGNACIO,Sector Cerca Medio,4.1474,-73.633,3.1,6000,3000,9000,17
76,"CANTARRANA 1,2,3,4,",Sector Cerca Medio,4.1472,-73.6382,3.1,6000,3000,9000,17
77,PARQUE LA LLANURA,Sector Cerca Medio,4.1415,-73.628,3.1,6000,3000,9000,17
78,PARQUE SICUANI,Sector Cerca Medio,4.1476,-73.6322,3.1,6000,3000,9000,17
79,SAUSALITO,Sector Cerca Medio,4.1471,-73.6375,3.1,6000,3000,9000,17
80,BOCHICA,Sector Cerca Medio,4.1527,-73.6383,3.1,6000,3000,9000,17
81,CANAIMA,Sector Cerca Medio,4.1446,-73.6343,3.1,6000,3000,9000,17
82,PORTAL DEL CANAIMA,Sector Cerca Medio,4.1526,-73.6329,3.1,6000,3000,9000,17
83,SAN NISIDRO,Sector Cerca Medio,4.1442,-73.6304,3.1,6000,3000,9000,17
84,SANTA INES,Sector Cerca Medio,4.1509,-73.6339,3.1,6000,3000,9000,17
85,HOTEL ROSADO,Sector Cerca Medio,4.1456,-73.6357,3.1,6000,3000,9000,17
86,VILLA DEL SOL,Sector Cerca Medio,4.1443,-73.6354,3.1,6000,3000,9000,17
87,LA MORGUE,Sector Cerca Medio,4.1447,-73.6377,3.1,6000,3000,9000,17
88,SAN MARCOS,Sector Cerca Medio,4.1455,-73.6313,3.1,6000,3000,9000,17
89,CONJONTO TOSCANA,Sector Cerca Medio,4.1457,-73.636,3.1,6000,3000,9000,17
90,QUINTAS DE TOSCANA,Sector Cerca Medio,4.1471,-73.6372,3.1,6000,3000,9000,17
91,FLORIDA,Sector Cerca Medio,4.1534,-73.6352,3.1,6000,3000,9000,17
92,NUEVA FLORESTA,Sector Cerca Medio,4.1515,-73.6362,3.1,6000,3000,9000,17
93,TEUSACA,Sector Cerca Medio,4.15,-73.6363,3.1,6000,3000,9000,17
94,EMBUDO,Sector Cerca Medio,4.1478,-73.6304,3.1,6000,3000,9000,17
95,SANBENITO,Sector Cerca Medio,4.1438,-73.6315,3.1,6000,3000,9000,17
