id,sector,barrio,tarifa_base,recargo_distancia,tarifa_total,tiempo_estimado,distancia_aprox_km
1,SECTOR GENERAL,l mismo) dismunucion del precio o aument,8000,0,8000,25-35 min,4.5
2,SECTOR MINIMA,CEIBA,8000,0,8000,25-35 min,4.5
3,SECTOR MINIMA,CEDRITOS,8000,0,8000,25-35 min,4.5
4,SECTOR MINIMA,BOSQUE BAJO,8000,0,8000,25-35 min,4.5
5,SECTOR MINIMA,SAUCES,8000,0,8000,25-35 min,4.5
6,SECTOR MINIMA,ROSALES,8000,0,8000,25-35 min,4.5
7,SECTOR MINIMA,CONJUNTO LLANO GRANDE,8000,0,8000,25-35 min,4.5
8,SECTOR MINIMA,COJUNTO SANTA LUCIA,8000,0,8000,25-35 min,4.5
9,SECTOR MINIMA,COJUNTO BARCELONA,8000,0,8000,25-35 min,4.5
10,SECTOR MINIMA,CONDOMINIO ROSALES,8000,0,8000,25-35 min,4.5
11,SECTOR MINIMA,POPULAR,8000,0,8000,25-35 min,4.5
12,SECTOR MINIMA,DOS MIL BAJO,8000,0,8000,25-35 min,4.5
13,SECTOR MINIMA,DOS MIL ALTO,8000,0,8000,25-35 min,4.5
14,SECTOR MINIMA,BAMBU,8000,0,8000,25-35 min,4.5
15,SECTOR MINIMA,SANTA HELENA,8000,0,8000,25-35 min,4.5
16,SECTOR MINIMA,JORDAN,8000,0,8000,25-35 min,4.5
17,SECTOR MINIMA,JORDAN PARAISO,8000,0,8000,25-35 min,4.5
18,SECTOR MINIMA,JORDAN ALTO,8000,0,8000,25-35 min,4.5
19,SECTOR MINIMA,SAN LUIS,8000,0,8000,25-35 min,4.5
20,SECTOR MINIMA,TRANSITO Y ACUEDUCTO,8000,0,8000,25-35 min,4.5
21,SECTOR MINIMA,MADRIGAL,8000,0,8000,25-35 min,4.5
22,SECTOR MINIMA,VILLA FABIOLA,8000,0,8000,25-35 min,4.5
23,SECTOR MINIMA,CAMINO REAL,8000,0,8000,25-35 min,4.5
24,SECTOR MINIMA,VILLA CRISTINA,8000,0,8000,25-35 min,4.5
25,SECTOR MINIMA,CASTILLA,8000,0,8000,25-35 min,4.5
26,SECTOR MINIMA,VAINILLA,8000,0,8000,25-35 min,4.5
27,SECTOR MINIMA,CARCEL,8000,0,8000,25-35 min,4.5
28,SECTOR MINIMA,RECREO,8000,0,8000,25-35 min,4.5
29,SECTOR MINIMA,SEIS DE ABRIL,8000,0,8000,25-35 min,4.5
30,SECTOR MINIMA,OLIMPICA,8000,0,8000,25-35 min,4.5
31,SECTOR GENERAL,MANANTIAL,8000,0,8000,25-35 min,4.5
32,SECTOR GENERAL,HIERBABUENA,8000,0,8000,25-35 min,4.5
33,SECTOR GENERAL,COFREN CATAMA,8000,0,8000,25-35 min,4.5
