id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
1,MACHY WEB,Sector Menima,4.1506,-73.6293,1.7,6000,1000,7000,14
2,BARRIO POPULAR,Sector Menima,4.146,-73.635,1.7,6000,1000,7000,14
3,acambios en el momento,Sector Menima,4.1459,-73.6367,1.7,6000,1000,7000,14
4,CEIBA,Sector Menima,4.1485,-73.6305,1.7,6000,1000,7000,14
5,CEDRITOS,Sector Menima,4.1502,-73.632,1.7,6000,1000,7000,14
6,BOSQUE BAJO,Sector Menima,4.149,-73.6315,1.7,6000,1000,7000,14
7,SAUCES,Sector Menima,4.1515,-73.6335,1.7,6000,1000,7000,14
8,ROSALES,Sector Menima,4.1495,-73.6295,1.7,6000,1000,7000,14
9,CONJUNTO LLANO GRANDE,Sector Menima,4.1465,-73.6321,1.7,6000,1000,7000,14
10,COJUNTO SANTA LUCIA,Sector Menima,4.1482,-73.6275,1.7,6000,1000,7000,14
11,COJUNTO BARCELONA,Sector Menima,4.147,-73.626,1.7,6000,1000,7000,14
12,CONDOMINIO ROSALES,Sector Menima,4.1495,-73.6295,1.7,6000,1000,7000,14
13,POPULAR,Sector Menima,4.146,-73.635,1.7,6000,1000,7000,14
14,DOS MIL BAJO,Sector Menima,4.1455,-73.637,1.7,6000,1000,7000,14
15,DOS MIL ALTO,Sector Menima,4.1448,-73.6385,1.7,6000,1000,7000,14
16,BAMBU,Sector Menima,4.147,-73.6294,1.7,6000,1000,7000,14
17,SANTA HELENA,Sector Menima,4.151,-73.63,1.7,6000,1000,7000,14
18,JORDAN,Sector Menima,4.154,-73.627,1.7,6000,1000,7000,14
19,JORDAN PARAISO,Sector Menima,4.1548,-73.6265,1.7,6000,1000,7000,14
20,JORDAN ALTO,Sector Menima,4.1555,-73.6258,1.7,6000,1000,7000,14
21,SAN LUIS,Sector Menima,4.1465,-73.6325,1.7,6000,1000,7000,14
22,TRANSITO Y ACUEDUCTO,Sector Menima,4.1472,-73.6328,1.7,6000,1000,7000,14
23,MADRIGAL,Sector Menima,4.1505,-73.6285,1.7,6000,1000,7000,14
24,VILLA FABIOLA,Sector Menima,4.1467,-73.6319,1.7,6000,1000,7000,14
25,CAMINO REAL,Sector Menima,4.153,-73.625,1.7,6000,1000,7000,14
26,VILLA CRISTINA,Sector Menima,4.1456,-73.6368,1.7,6000,1000,7000,14
27,CASTILLA,Sector Menima,4.1498,-73.6265,1.7,6000,1000,7000,14
28,Página 374,Sector Menima,4.1438,-73.6327,2.4,6000,2000,8000,16
29,VAINILLA,Sector Menima,4.1452,-73.6376,2.4,6000,2000,8000,16
30,CARCEL,Sector Menima,4.1446,-73.6291,2.4,6000,2000,8000,16
31,RECREO,Sector Menima,4.148,-73.629,2.4,6000,2000,8000,16
32,SEIS DE ABRIL,Sector Menima,4.1525,-73.6382,2.4,6000,2000,8000,16
33,OLIMPICA,Sector Menima,4.1505,-73.632,2.4,6000,2000,8000,16
34,MANANTIAL,Sector Menima,4.1533,-73.6323,2.4,6000,2000,8000,16
35,HIERBABUENA,Sector Menima,4.1533,-73.6389,2.4,6000,2000,8000,16
36,COFREN CATAMA,Sector Menima,4.147,-73.608,2.4,6000,2000,8000,16
37,PUESTO DE SALUD RECREO,Sector Menima,4.148,-73.629,2.4,6000,2000,8000,16
38,ALCALA,Sector Menima,4.1448,-73.6378,2.4,6000,2000,8000,16
39,FLORENCIA,Sector Menima,4.1496,-73.6351,2.4,6000,2000,8000,16
40,DESMONTADORA,Sector Menima,4.1476,-73.6307,2.4,6000,2000,8000,16
41,CONJUNTO CAMINO REAL,Conjuntos Sector Cerca,4.153,-73.625,2.4,6000,2000,8000,16
42,"(1,2,3,4)",Conjuntos Sector Cerca,4.1444,-73.6319,2.4,6000,2000,8000,16
43,PARQUES DE SEVILLA,Conjuntos Sector Cerca,4.1483,-73.6326,2.4,6000,2000,8000,16
44,"(1,2,3,4,)",Conjuntos Sector Cerca,4.1443,-73.6351,2.4,6000,2000,8000,16
45,CONJUNTO TULIPANES,Conjuntos Sector Cerca,4.1448,-73.6377,2.4,6000,2000,8000,16
46,CONJUNTO GIRASOLES,Conjuntos Sector Cerca,4.1506,-73.6293,2.4,6000,2000,8000,16
47,CONJUNTO ALMERIA,Conjuntos Sector Cerca,4.1449,-73.6324,2.4,6000,2000,8000,16
