id,sector,barrio,tarifa_base,recargo_distancia,tarifa_total,tiempo_estimado,distancia_aprox_km
1,SECTOR MINIMA,CEIBA,7000,0,7000,20-30 min,3.2
2,SECTOR MINIMA,CEDRITOS,7000,0,7000,20-30 min,3.2
3,SECTOR MINIMA,BOSQUE BAJO,7000,0,7000,20-30 min,3.2
4,SECTOR MINIMA,SAUCES,7000,0,7000,20-30 min,3.2
5,SECTOR MINIMA,ROSALES,7000,0,7000,20-30 min,3.2
6,SECTOR MINIMA,CONJUNTO LLANO GRANDE,7000,0,7000,20-30 min,3.2
7,SECTOR MINIMA,COJUNTO SANTA LUCIA,7000,0,7000,20-30 min,3.2
8,SECTOR MINIMA,COJUNTO BARCELONA,7000,0,7000,20-30 min,3.2
9,SECTOR MINIMA,CONDOMINIO ROSALES,7000,0,7000,20-30 min,3.2
10,SECTOR MINIMA,POPULAR,7000,0,7000,20-30 min,3.2
11,SECTOR MINIMA,DOS MIL BAJO,7000,0,7000,20-30 min,3.2
12,SECTOR MINIMA,DOS MIL ALTO,7000,0,7000,20-30 min,3.2
13,SECTOR MINIMA,BAMBU,7000,0,7000,20-30 min,3.2
14,SECTOR MINIMA,SANTA HELENA,7000,0,7000,20-30 min,3.2
15,SECTOR MINIMA,JORDAN,7000,0,7000,20-30 min,3.2
16,SECTOR MINIMA,JORDAN PARAISO,7000,0,7000,20-30 min,3.2
17,SECTOR MINIMA,JORDAN ALTO,7000,0,7000,20-30 min,3.2
18,SECTOR MINIMA,SAN LUIS,7000,0,7000,20-30 min,3.2
19,SECTOR MINIMA,TRANSITO Y ACUEDUCTO,7000,0,7000,20-30 min,3.2
20,SECTOR MINIMA,MADRIGAL,7000,0,7000,20-30 min,3.2
21,SECTOR MINIMA,VILLA FABIOLA,7000,0,7000,20-30 min,3.2
22,SECTOR MINIMA,CAMINO REAL,7000,0,7000,20-30 min,3.2
23,SECTOR MINIMA,VILLA CRISTINA,7000,0,7000,20-30 min,3.2
24,SECTOR MINIMA,CASTILLA,7000,0,7000,20-30 min,3.2
25,SECTOR MINIMA,VAINILLA,7000,0,7000,20-30 min,3.2
26,SECTOR MINIMA,CARCEL,7000,0,7000,20-30 min,3.2
27,SECTOR MINIMA,RECREO,7000,0,7000,20-30 min,3.2
28,SECTOR MINIMA,SEIS DE ABRIL,7000,0,7000,20-30 min,3.2
