id,sector,barrio,tarifa_base,recargo_distancia,tarifa_total,tiempo_estimado,distancia_aprox_km
1,SECTOR MEDIO,CEIBA,10000,0,10000,30-40 min,6.0
2,SECTOR MEDIO,CEDRITOS,10000,0,10000,30-40 min,6.0
3,SECTOR MEDIO,BOSQUE BAJO,10000,0,10000,30-40 min,6.0
4,SECTOR MEDIO,SAUCES,10000,0,10000,30-40 min,6.0
5,SECTOR MEDIO,ROSALES,10000,0,10000,30-40 min,6.0
6,SECTOR MEDIO,CONJUNTO LLANO GRANDE,10000,0,10000,30-40 min,6.0
7,SECTOR MEDIO,COJUNTO SANTA LUCIA,10000,0,10000,30-40 min,6.0
8,SECTOR MEDIO,COJUNTO BARCELONA,10000,0,10000,30-40 min,6.0
9,SECTOR MEDIO,CONDOMINIO ROSALES,10000,0,10000,30-40 min,6.0
10,SECTOR MEDIO,MACARENA,10000,0,10000,30-40 min,6.0
11,SECTOR MEDIO,DOS MIL BAJO,10000,0,10000,30-40 min,6.0
12,SECTOR MEDIO,DOS MIL ALTO,10000,0,10000,30-40 min,6.0
13,SECTOR MEDIO,BAMBU,10000,0,10000,30-40 min,6.0
14,SECTOR MEDIO,SANTA HELENA,10000,0,10000,30-40 min,6.0
15,SECTOR MEDIO,JORDAN,10000,0,10000,30-40 min,6.0
16,SECTOR MEDIO,JORDAN PARAISO,10000,0,10000,30-40 min,6.0
17,SECTOR MEDIO,JORDAN ALTO,10000,0,10000,30-40 min,6.0
18,SECTOR MEDIO,SAN LUIS,10000,0,10000,30-40 min,6.0
19,SECTOR MEDIO,TRANSITO Y ACUEDUCTO,10000,0,10000,30-40 min,6.0
20,SECTOR MEDIO,MADRIGAL,10000,0,10000,30-40 min,6.0
21,SECTOR MEDIO,VILLA FABIOLA,10000,0,10000,30-40 min,6.0
22,SECTOR MEDIO,CAMINO REAL,10000,0,10000,30-40 min,6.0
23,SECTOR MEDIO,VILLA CRISTINA,10000,0,10000,30-40 min,6.0
24,SECTOR MEDIO,CASTILLA,10000,0,10000,30-40 min,6.0
25,SECTOR MEDIO,VAINILLA,10000,0,10000,30-40 min,6.0
26,SECTOR MEDIO,CARCEL,10000,0,10000,30-40 min,6.0
27,SECTOR MEDIO,RECREO,10000,0,10000,30-40 min,6.0
28,SECTOR MEDIO,SEIS DE ABRIL,10000,0,10000,30-40 min,6.0
29,SECTOR MEDIO,OLIMPICA,10000,0,10000,30-40 min,6.0
30,SECTOR GENERAL,MANANTIAL,10000,0,10000,30-40 min,6.0
31,SECTOR GENERAL,HIERBABUENA,10000,0,10000,30-40 min,6.0
32,SECTOR GENERAL,COFREN CATAMA,10000,0,10000,30-40 min,6.0
33,SECTOR GENERAL,PUESTO DE SALUD RECREO,10000,0,10000,30-40 min,6.0
34,SECTOR GENERAL,ALCALA,10000,0,10000,30-40 min,6.0
35,SECTOR GENERAL,FLORENCIA,10000,0,10000,30-40 min,6.0
36,SECTOR GENERAL,DESMONTADORA,10000,0,10000,30-40 min,6.0
37,CONJUNTOS SECTOR MEDIO,"CONJUNTO CAMINO REAL (1,2,3,4)",10000,0,10000,30-40 min,6.0
38,CONJUNTOS SECTOR MEDIO,"PARQUES DE SEVILLA (1,2,3,4,)",10000,0,10000,30-40 min,6.0
39,CONJUNTOS SECTOR MEDIO,CONJUNTO TULIPANES,10000,0,10000,30-40 min,6.0
40,CONJUNTOS SECTOR MEDIO,CONJUNTO GIRASOLES,10000,0,10000,30-40 min,6.0
41,CONJUNTOS SECTOR MEDIO,CONJUNTO ALMERIA,10000,0,10000,30-40 min,6.0
42,CONJUNTOS SECTOR MEDIO,CONDOMINIO CRISTALES,10000,0,10000,30-40 min,6.0
43,CONJUNTOS SECTOR MEDIO,CONJUNTO PALAMA REAL,10000,0,10000,30-40 min,6.0
