id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
1,CARBON GRILL WEB,Sector Minima,4.1498,-73.6296,1.0,6000,0,6000,12
2,momento,Sector Minima,4.1461,-73.6389,1.0,6000,0,6000,12
3,CEIBA,Sector Minima,4.1485,-73.6305,1.0,6000,0,6000,12
4,CEDRITOS,Sector Minima,4.1502,-73.632,1.0,6000,0,6000,12
5,BOSQUE BAJO,Sector Minima,4.149,-73.6315,1.0,6000,0,6000,12
6,SAUCES,Sector Minima,4.1515,-73.6335,1.0,6000,0,6000,12
7,ROSALES,Sector Minima,4.1495,-73.6295,1.0,6000,0,6000,12
8,CONJUNTO LLANO GRANDE,Sector Minima,4.1465,-73.6321,1.0,6000,0,6000,12
9,COJUNTO SANTA LUCIA,Sector Minima,4.1482,-73.6275,1.0,6000,0,6000,12
10,COJUNTO BARCELONA,Sector Minima,4.147,-73.626,1.0,6000,0,6000,12
11,CONDOMINIO ROSALES,Sector Minima,4.1495,-73.6295,1.0,6000,0,6000,12
12,POPULAR,Sector Minima,4.146,-73.635,1.0,6000,0,6000,12
13,DOS MIL BAJO,Sector Minima,4.1455,-73.637,1.0,6000,0,6000,12
14,DOS MIL ALTO,Sector Minima,4.1448,-73.6385,1.0,6000,0,6000,12
15,BAMBU,Sector Minima,4.147,-73.6294,1.0,6000,0,6000,12
16,SANTA HELENA,Sector Minima,4.151,-73.63,1.0,6000,0,6000,12
17,JORDAN,Sector Minima,4.154,-73.627,1.0,6000,0,6000,12
18,JORDAN PARAISO,Sector Minima,4.1548,-73.6265,1.0,6000,0,6000,12
19,JORDAN ALTO,Sector Minima,4.1555,-73.6258,1.0,6000,0,6000,12
20,SAN LUIS,Sector Minima,4.1465,-73.6325,1.0,6000,0,6000,12
21,TRANSITO Y ACUEDUCTO,Sector Minima,4.1472,-73.6328,1.0,6000,0,6000,12
22,MADRIGAL,Sector Minima,4.1505,-73.6285,1.0,6000,0,6000,12
23,VILLA FABIOLA,Sector Minima,4.1467,-73.6319,1.0,6000,0,6000,12
24,CAMINO REAL,Sector Minima,4.153,-73.625,1.0,6000,0,6000,12
25,VILLA CRISTINA,Sector Minima,4.1456,-73.6368,1.0,6000,0,6000,12
26,CASTILLA,Sector Minima,4.1498,-73.6265,1.0,6000,0,6000,12
27,VAINILLA,Sector Minima,4.1452,-73.6376,1.0,6000,0,6000,12
28,CARCEL,Sector Minima,4.1446,-73.6291,1.0,6000,0,6000,12
29,RECREO,Sector Minima,4.148,-73.629,1.0,6000,0,6000,12
30,SEIS DE ABRIL,Sector Minima,4.1525,-73.6382,1.0,6000,0,6000,12
31,OLIMPICA,Sector Minima,4.1505,-73.632,1.0,6000,0,6000,12
32,MANANTIAL,Sector Minima,4.1533,-73.6323,1.0,6000,0,6000,12
33,HIERBABUENA,Sector Minima,4.1533,-73.6389,1.0,6000,0,6000,12
34,COFREN CATAMA,Sector Minima,4.147,-73.608,1.0,6000,0,6000,12
35,PUESTO DE SALUD RECREO,Sector Minima,4.148,-73.629,1.0,6000,0,6000,12
36,ALCALA,Sector Minima,4.1448,-73.6378,1.0,6000,0,6000,12
37,Página 643,Conjuntos Sector Cerca,4.1522,-73.6389,1.7,6000,1000,7000,14
38,FLORENCIA,Conjuntos Sector Cerca,4.1496,-73.6351,1.7,6000,1000,7000,14
39,DESMONTADORA,Conjuntos Sector Cerca,4.1476,-73.6307,1.7,6000,1000,7000,14
40,"CONJUNTO CAMINO REAL (1,2,3,4)",Conjuntos Sector Cerca,4.153,-73.625,1.7,6000,1000,7000,14
41,"PARQUES DE SEVILLA (1,2,3,4,)",Conjuntos Sector Cerca,4.1521,-73.6374,1.7,6000,1000,7000,14
42,CONJUNTO TULIPANES,Conjuntos Sector Cerca,4.1448,-73.6377,1.7,6000,1000,7000,14
43,CONJUNTO GIRASOLES,Conjuntos Sector Cerca,4.1506,-73.6293,1.7,6000,1000,7000,14
44,CONJUNTO ALMERIA,Conjuntos Sector Cerca,4.1449,-73.6324,1.7,6000,1000,7000,14
45,CONDOMINIO CRISTALES,Conjuntos Sector Cerca,4.1486,-73.6371,1.7,6000,1000,7000,14
46,CONJUNTO PALAMA REAL,Conjuntos Sector Cerca,4.1531,-73.6379,1.7,6000,1000,7000,14
47,ALTOS DE LOMALINDA,Conjuntos Sector Cerca,4.1473,-73.6379,1.7,6000,1000,7000,14
48,COJUNTO VILLA CARINA,Conjuntos Sector Cerca,4.1528,-73.6296,1.7,6000,1000,7000,14
49,CONJUNTO PRADOS DE CASTILLA,Conjuntos Sector Cerca,4.1498,-73.6265,1.7,6000,1000,7000,14
50,EDIFICIO SANFERNANDO PLAZA,Conjuntos Sector Cerca,4.1447,-73.6303,1.7,6000,1000,7000,14
51,PRADOS DE HIERBABUENA,Conjuntos Sector Cerca,4.1508,-73.6316,1.7,6000,1000,7000,14
52,COJUNTO MALIBU,Conjuntos Sector Cerca,4.1497,-73.6328,1.7,6000,1000,7000,14
53,BALCONES DE PONTEVEDRA,Conjuntos Sector Cerca,4.1451,-73.635,1.7,6000,1000,7000,14
54,ESTERO,Sector Cerca Medio,4.143,-73.615,2.4,6000,2000,8000,16
55,MACUNAIMA,Sector Cerca Medio,4.142,-73.617,2.4,6000,2000,8000,16
56,PARQUE DE LA MEMORIA,Sector Cerca Medio,4.142,-73.63,2.4,6000,2000,8000,16
57,MACARENA,Sector Cerca Medio,4.1501,-73.6376,2.4,6000,2000,8000,16
58,NOGAL,Sector Cerca Medio,4.1475,-73.633,2.4,6000,2000,8000,16
59,SAN CRISTOBAL,Sector Cerca Medio,4.1448,-73.6379,2.4,6000,2000,8000,16
60,CAMELIAS,Sector Cerca Medio,4.1536,-73.6352,2.4,6000,2000,8000,16
61,OLIMPICO BAJO,Sector Cerca Medio,4.1487,-73.6379,2.4,6000,2000,8000,16
62,VILLA ORTIZ,Sector Cerca Medio,4.1446,-73.6388,2.4,6000,2000,8000,16
63,OLIMPICO,Sector Cerca Medio,4.148,-73.6292,2.4,6000,2000,8000,16
64,VILLA JHOANA,Sector Cerca Medio,4.1447,-73.6306,2.4,6000,2000,8000,16
65,CATALUÑA,Sector Cerca Medio,4.1509,-73.6382,2.4,6000,2000,8000,16
66,VILLA NIEVES,Sector Cerca Medio,4.1521,-73.6357,2.4,6000,2000,8000,16
67,DANUVIO,Sector Cerca Medio,4.1473,-73.6352,2.4,6000,2000,8000,16
68,GAUDALAJARA,Sector Cerca Medio,4.1459,-73.6338,2.4,6000,2000,8000,16
69,MARACOS,Sector Cerca Medio,4.1505,-73.6326,2.4,6000,2000,8000,16
70,MI LLANURA,Sector Cerca Medio,4.149,-73.6343,2.4,6000,2000,8000,16
71,BELLO HORIZONTE,Sector Cerca Medio,4.1534,-73.6363,2.4,6000,2000,8000,16
72,Página 644,Sector Cerca Medio,4.1498,-73.635,2.4,6000,2000,8000,16
73,SAN IGNACIO,Sector Cerca Medio,4.1475,-73.6375,2.4,6000,2000,8000,16
74,"CANTARRANA 1,2,3,4,",Sector Cerca Medio,4.1472,-73.6382,2.4,6000,2000,8000,16
75,PARQUE LA LLANURA,Sector Cerca Medio,4.1415,-73.628,2.4,6000,2000,8000,16
76,PARQUE SIKUANI,Sector Cerca Medio,4.1375,-73.6265,2.4,6000,2000,8000,16
77,SAUSALITO,Sector Cerca Medio,4.1471,-73.6375,2.4,6000,2000,8000,16
78,BOCHICA,Sector Cerca Medio,4.1527,-73.6383,2.4,6000,2000,8000,16
79,CANAIMA,Sector Cerca Medio,4.1446,-73.6343,2.4,6000,2000,8000,16
80,PORTAL DEL CANAIMA,Sector Cerca Medio,4.1526,-73.6329,2.4,6000,2000,8000,16
81,SAN ISIDRO,Sector Cerca Medio,4.1512,-73.6345,2.4,6000,2000,8000,16
82,SANTA INES,Sector Cerca Medio,4.1509,-73.6339,2.4,6000,2000,8000,16
83,HOTEL ROSADO,Sector Cerca Medio,4.1456,-73.6357,2.4,6000,2000,8000,16
84,VILLA DEL SOL,Sector Cerca Medio,4.1443,-73.6354,2.4,6000,2000,8000,16
85,LA MORGUE,Sector Cerca Medio,4.1447,-73.6377,2.4,6000,2000,8000,16
86,SAN MARCOS,Sector Cerca Medio,4.1455,-73.6313,2.4,6000,2000,8000,16
87,CONJUNTO TOSCANA,Sector Cerca Medio,4.1453,-73.6291,2.4,6000,2000,8000,16
88,QUINTAS DE TOSCANA,Sector Cerca Medio,4.1471,-73.6372,2.4,6000,2000,8000,16
89,FLORIDA,Sector Cerca Medio,4.1534,-73.6352,2.4,6000,2000,8000,16
90,NUEVA FLORESTA,Sector Cerca Medio,4.1515,-73.6362,2.4,6000,2000,8000,16
91,TEUSACA,Sector Cerca Medio,4.15,-73.6363,2.4,6000,2000,8000,16
92,EMBUDO,Sector Cerca Medio,4.1478,-73.6304,2.4,6000,2000,8000,16
93,SANBENITO,Sector Cerca Medio,4.1438,-73.6315,2.4,6000,2000,8000,16
94,NUEVO RICAUTE,Sector Cerca Medio,4.145,-73.6323,2.4,6000,2000,8000,16
95,PORVENIR,Sector Cerca Medio,4.1532,-73.6355,2.4,6000,2000,8000,16
96,VEINTE DE JULIO,Sector Cerca Medio,4.1473,-73.6358,2.4,6000,2000,8000,16
97,SIMON BOLIVAR,Sector Cerca Medio,4.1515,-73.6375,2.4,6000,2000,8000,16
98,ANTONIO RICAUTE,Sector Cerca Medio,4.152,-73.6332,2.4,6000,2000,8000,16
99,BARRIO NOGALES,Sector Cerca Medio,4.1475,-73.633,2.4,6000,2000,8000,16
100,CANEY,Sector Cerca Medio,4.1468,-73.6318,2.4,6000,2000,8000,16
101,BRISAS DEL CANEY,Sector Cerca Medio,4.1468,-73.6318,2.4,6000,2000,8000,16
102,AMARAL,Sector Cerca Medio,4.1441,-73.6389,2.4,6000,2000,8000,16
103,CATATUMBO,Sector Cerca Medio,4.1464,-73.6336,2.4,6000,2000,8000,16
104,RETIRO,Sector Cerca Medio,4.1448,-73.6327,2.4,6000,2000,8000,16
105,Página 645,Sector Cerca Medio,4.153,-73.6351,2.4,6000,2000,8000,16
106,BUENOS AIRES,Conjuntos Y Condoninios Sector Medio,4.1442,-73.6359,3.1,6000,3000,9000,17
107,REMANSO,Conjuntos Y Condoninios Sector Medio,4.1499,-73.6353,3.1,6000,3000,9000,17
108,VIZCAYA,Conjuntos Y Condoninios Sector Medio,4.1522,-73.6291,3.1,6000,3000,9000,17
109,HOTEL HACARITAMA COLONIAL,Conjuntos Y Condoninios Sector Medio,4.1466,-73.6337,3.1,6000,3000,9000,17
110,CANCHA RANCING,Conjuntos Y Condoninios Sector Medio,4.1524,-73.6303,3.1,6000,3000,9000,17
111,HACARITAMA,Conjuntos Y Condoninios Sector Medio,4.1447,-73.6386,3.1,6000,3000,9000,17
112,BARRIO PRIMAVERA,Conjuntos Y Condoninios Sector Medio,4.1479,-73.636,3.1,6000,3000,9000,17
113,PARQUE PRIMAVERA,Conjuntos Y Condoninios Sector Medio,4.1524,-73.6305,3.1,6000,3000,9000,17
114,CIUDADELA EL DIVINO NIÑO,Conjuntos Y Condoninios Sector Medio,4.1497,-73.6292,3.1,6000,3000,9000,17
115,LAS FERIAS,Conjuntos Y Condoninios Sector Medio,4.148,-73.6314,3.1,6000,3000,9000,17
116,GAITAN,Conjuntos Y Condoninios Sector Medio,4.1456,-73.6352,3.1,6000,3000,9000,17
