id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
1,COMBOS WEB,Sector Minima,4.1533,-73.6365,1.0,6000,0,6000,12
2,en el momento,Sector Minima,4.1457,-73.6385,1.0,6000,0,6000,12
3,mismo),Sector Minima,4.1511,-73.6315,1.0,6000,0,6000,12
4,CEIBA,Sector Minima,4.1485,-73.6305,1.0,6000,0,6000,12
5,CEDRITOS,Sector Minima,4.1502,-73.632,1.0,6000,0,6000,12
6,BOSQUE BAJO,Sector Minima,4.149,-73.6315,1.0,6000,0,6000,12
7,SAUCES,Sector Minima,4.1515,-73.6335,1.0,6000,0,6000,12
8,ROSALES,Sector Minima,4.1495,-73.6295,1.0,6000,0,6000,12
9,CONJUNTO LLANO GRANDE,Sector Minima,4.1465,-73.6321,1.0,6000,0,6000,12
10,COJUNTO SANTA LUCIA,Sector Minima,4.1482,-73.6275,1.0,6000,0,6000,12
11,COJUNTO BARCELONA,Sector Minima,4.147,-73.626,1.0,6000,0,6000,12
12,CONDOMINIO ROSALES,Sector Minima,4.1495,-73.6295,1.0,6000,0,6000,12
13,POPULAR,Sector Minima,4.146,-73.635,1.0,6000,0,6000,12
14,DOS MIL BAJO,Sector Minima,4.1455,-73.637,1.0,6000,0,6000,12
15,DOS MIL ALTO,Sector Minima,4.1448,-73.6385,1.0,6000,0,6000,12
16,BAMBU,Sector Minima,4.147,-73.6294,1.0,6000,0,6000,12
17,SANTA HELENA,Sector Minima,4.151,-73.63,1.0,6000,0,6000,12
18,JORDAN,Sector Minima,4.154,-73.627,1.0,6000,0,6000,12
19,JORDAN PARAISO,Sector Minima,4.1548,-73.6265,1.0,6000,0,6000,12
20,JORDAN ALTO,Sector Minima,4.1555,-73.6258,1.0,6000,0,6000,12
21,SAN LUIS,Sector Minima,4.1465,-73.6325,1.0,6000,0,6000,12
22,TRANSITO Y ACUEDUCTO,Sector Minima,4.1472,-73.6328,1.0,6000,0,6000,12
23,MADRIGAL,Sector Minima,4.1505,-73.6285,1.0,6000,0,6000,12
24,VILLA FABIOLA,Sector Minima,4.1467,-73.6319,1.0,6000,0,6000,12
25,CAMINO REAL,Sector Minima,4.153,-73.625,1.0,6000,0,6000,12
26,VILLA CRISTINA,Sector Minima,4.1456,-73.6368,1.0,6000,0,6000,12
27,CASTILLA,Sector Minima,4.1498,-73.6265,1.0,6000,0,6000,12
28,VAINILLA,Sector Minima,4.1452,-73.6376,1.0,6000,0,6000,12
29,CARCEL,Sector Minima,4.1446,-73.6291,1.0,6000,0,6000,12
30,RECREO,Sector Minima,4.148,-73.629,1.0,6000,0,6000,12
31,SEIS DE ABRIL,Sector Minima,4.1525,-73.6382,1.0,6000,0,6000,12
32,OLIMPICA,Sector Minima,4.1505,-73.632,1.0,6000,0,6000,12
33,MANANTIAL,Sector Minima,4.1533,-73.6323,1.0,6000,0,6000,12
34,HIERBABUENA,Sector Minima,4.1533,-73.6389,1.0,6000,0,6000,12
35,Página 522,Conjuntos Sector Cerca,4.1527,-73.6291,1.7,6000,1000,7000,14
36,COFREN CATAMA,Conjuntos Sector Cerca,4.147,-73.608,1.7,6000,1000,7000,14
37,PUESTO DE SALUD RECREO,Conjuntos Sector Cerca,4.148,-73.629,1.7,6000,1000,7000,14
38,ALCALA,Conjuntos Sector Cerca,4.1448,-73.6378,1.7,6000,1000,7000,14
39,FLORENCIA,Conjuntos Sector Cerca,4.1496,-73.6351,1.7,6000,1000,7000,14
40,DESMONTADORA,Conjuntos Sector Cerca,4.1476,-73.6307,1.7,6000,1000,7000,14
41,"CONJUNTO CAMINO REAL (1,2,3,4)",Conjuntos Sector Cerca,4.153,-73.625,1.7,6000,1000,7000,14
42,"PARQUES DE SEVILLA (1,2,3,4,)",Conjuntos Sector Cerca,4.1521,-73.6374,1.7,6000,1000,7000,14
43,CONJUNTO TULIPANES,Conjuntos Sector Cerca,4.1448,-73.6377,1.7,6000,1000,7000,14
44,CONJUNTO GIRASOLES,Conjuntos Sector Cerca,4.1506,-73.6293,1.7,6000,1000,7000,14
45,CONJUNTO ALMERIA,Conjuntos Sector Cerca,4.1449,-73.6324,1.7,6000,1000,7000,14
46,CONDOMINIO CRISTALES,Conjuntos Sector Cerca,4.1486,-73.6371,1.7,6000,1000,7000,14
47,CONJUNTO PALAMA REAL,Conjuntos Sector Cerca,4.1531,-73.6379,1.7,6000,1000,7000,14
48,ALTOS DE LOMALINDA,Conjuntos Sector Cerca,4.1473,-73.6379,1.7,6000,1000,7000,14
49,COJUNTO VILLA CARINA,Conjuntos Sector Cerca,4.1528,-73.6296,1.7,6000,1000,7000,14
50,CONJUNTO PRADOS DE CASTILLA,Sector Cerca Medio,4.1498,-73.6265,3.1,6000,3000,9000,17
51,EDIFICIO SANFERNANDO PLAZA,Sector Cerca Medio,4.1447,-73.6303,3.1,6000,3000,9000,17
52,PRADOS DE HIERBABUENA,Sector Cerca Medio,4.1508,-73.6316,3.1,6000,3000,9000,17
53,COJUNTO MALIBU,Sector Cerca Medio,4.1497,-73.6328,3.1,6000,3000,9000,17
54,BALCONES DE PONTEVEDRA,Sector Cerca Medio,4.1451,-73.635,3.1,6000,3000,9000,17
55,ESTERO,Sector Cerca Medio,4.143,-73.615,3.1,6000,3000,9000,17
56,MACUNAIMA,Sector Cerca Medio,4.142,-73.617,3.1,6000,3000,9000,17
57,PARQUE DE LA MEMORIA,Sector Cerca Medio,4.142,-73.63,3.1,6000,3000,9000,17
58,MACARENA,Sector Cerca Medio,4.1501,-73.6376,3.1,6000,3000,9000,17
59,NOGAL,Sector Cerca Medio,4.1475,-73.633,3.1,6000,3000,9000,17
60,SAN CRISTOBAL,Sector Cerca Medio,4.1448,-73.6379,3.1,6000,3000,9000,17
61,CAMELIAS,Sector Cerca Medio,4.1536,-73.6352,3.1,6000,3000,9000,17
62,OLIMPICO BAJO,Sector Cerca Medio,4.1487,-73.6379,3.1,6000,3000,9000,17
63,VILLA ORTIX,Sector Cerca Medio,4.1493,-73.6305,3.1,6000,3000,9000,17
64,OLIMPICO,Sector Cerca Medio,4.148,-73.6292,3.1,6000,3000,9000,17
65,VILLA JHOANA,Sector Cerca Medio,4.1447,-73.6306,3.1,6000,3000,9000,17
66,CATALUÑA,Sector Cerca Medio,4.1509,-73.6382,3.1,6000,3000,9000,17
67,VILLA NIEVES,Sector Cerca Medio,4.1521,-73.6357,3.1,6000,3000,9000,17
68,DANUVIO,Sector Cerca Medio,4.1473,-73.6352,3.1,6000,3000,9000,17
69,GAUDALAJARA,Sector Cerca Medio,4.1459,-73.6338,3.1,6000,3000,9000,17
70,MARACOS,Sector Cerca Medio,4.1505,-73.6326,3.1,6000,3000,9000,17
