id,sector,barrio,tarifa_base,recargo_distancia,tarifa_total,tiempo_estimado,distancia_aprox_km
1,SECTOR MINIMA,CEIBA,6000,0,6000,15-25 min,2.0
2,SECTOR MINIMA,CEDRITOS,6000,0,6000,15-25 min,2.0
3,SECTOR MINIMA,BOSQUE BAJO,6000,0,6000,15-25 min,2.0
4,SECTOR MINIMA,SAUCES,6000,0,6000,15-25 min,2.0
5,SECTOR MINIMA,ROSALES,6000,0,6000,15-25 min,2.0
6,SECTOR MINIMA,CONJUNTO LLANO GRANDE,6000,0,6000,15-25 min,2.0
7,SECTOR MINIMA,COJUNTO SANTA LUCIA,6000,0,6000,15-25 min,2.0
8,SECTOR MINIMA,COJUNTO BARCELONA,6000,0,6000,15-25 min,2.0
9,SECTOR MINIMA,CONDOMINIO ROSALES,6000,0,6000,15-25 min,2.0
10,SECTOR MINIMA,POPULAR,6000,0,6000,15-25 min,2.0
11,SECTOR MINIMA,DOS MIL BAJO,6000,0,6000,15-25 min,2.0
12,SECTOR MINIMA,DOS MIL ALTO,6000,0,6000,15-25 min,2.0
13,SECTOR MINIMA,BAMBU,6000,0,6000,15-25 min,2.0
14,SECTOR MINIMA,SANTA HELENA,6000,0,6000,15-25 min,2.0
15,SECTOR MINIMA,JORDAN,6000,0,6000,15-25 min,2.0
16,SECTOR MINIMA,JORDAN PARAISO,6000,0,6000,15-25 min,2.0
17,SECTOR MINIMA,JORDAN ALTO,6000,0,6000,15-25 min,2.0
18,SECTOR MINIMA,SAN LUIS,6000,0,6000,15-25 min,2.0
19,SECTOR MINIMA,TRANSITO Y ACUEDUCTO,6000,0,6000,15-25 min,2.0
20,SECTOR MINIMA,MADRIGAL,6000,0,6000,15-25 min,2.0
21,SECTOR MINIMA,VILLA FABIOLA,6000,0,6000,15-25 min,2.0
22,SECTOR MINIMA,CAMINO REAL,6000,0,6000,15-25 min,2.0
23,SECTOR MINIMA,VILLA CRISTINA,6000,0,6000,15-25 min,2.0
24,SECTOR MINIMA,CASTILLA,6000,0,6000,15-25 min,2.0
25,SECTOR MINIMA,VAINILLA,6000,0,6000,15-25 min,2.0
26,SECTOR MINIMA,CARCEL,6000,0,6000,15-25 min,2.0
27,SECTOR MINIMA,RECREO,6000,0,6000,15-25 min,2.0
28,SECTOR MINIMA,SEIS DE ABRIL,6000,0,6000,15-25 min,2.0
29,SECTOR MINIMA,OLIMPICA,6000,0,6000,15-25 min,2.0
30,SECTOR GENERAL,MANANTIAL,6000,0,6000,15-25 min,2.0
31,SECTOR GENERAL,HIERBABUENA,6000,0,6000,15-25 min,2.0
32,SECTOR GENERAL,COFREN CATAMA,6000,0,6000,15-25 min,2.0
33,SECTOR GENERAL,PUESTO DE SALUD RECREO,6000,0,6000,15-25 min,2.0
34,SECTOR GENERAL,ALCALA,6000,0,6000,15-25 min,2.0
35,SECTOR GENERAL,FLORENCIA,6000,0,6000,15-25 min,2.0
36,SECTOR GENERAL,DESMONTADORA,6000,0,6000,15-25 min,2.0
