id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
1,JUAN CHORIZOS WEB,Sector Minima,4.1472,-73.6352,1.0,6000,0,6000,12
2,CEIBA,Sector Minima,4.1485,-73.6305,1.0,6000,0,6000,12
3,acambios en el momento,Sector Minima,4.1459,-73.6367,1.0,6000,0,6000,12
4,CEDRITOS,Sector Minima,4.1502,-73.632,1.0,6000,0,6000,12
5,BOSQUE BAJO,Sector Minima,4.149,-73.6315,1.0,6000,0,6000,12
6,SAUCES,Sector Minima,4.1515,-73.6335,1.0,6000,0,6000,12
7,ROSALES,Sector Minima,4.1495,-73.6295,1.0,6000,0,6000,12
8,CONJUNTO LLANO GRANDE,Sector Minima,4.1465,-73.6321,1.0,6000,0,6000,12
9,COJUNTO SANTA LUCIA,Sector Minima,4.1482,-73.6275,1.0,6000,0,6000,12
10,COJUNTO BARCELONA,Sector Minima,4.147,-73.626,1.0,6000,0,6000,12
11,CONDOMINIO ROSALES,Sector Minima,4.1495,-73.6295,1.0,6000,0,6000,12
12,POPULAR,Sector Minima,4.146,-73.635,1.0,6000,0,6000,12
13,DOS MIL BAJO,Sector Minima,4.1455,-73.637,1.0,6000,0,6000,12
14,DOS MIL ALTO,Sector Minima,4.1448,-73.6385,1.0,6000,0,6000,12
15,BAMBU,Sector Minima,4.147,-73.6294,1.0,6000,0,6000,12
16,SANTA HELENA,Sector Minima,4.151,-73.63,1.0,6000,0,6000,12
17,JORDAN,Sector Minima,4.154,-73.627,1.0,6000,0,6000,12
18,JORDAN PARAISO,Sector Minima,4.1548,-73.6265,1.0,6000,0,6000,12
19,JORDAN ALTO,Sector Minima,4.1555,-73.6258,1.0,6000,0,6000,12
20,SAN LUIS,Sector Minima,4.1465,-73.6325,1.0,6000,0,6000,12
21,TRANSITO Y ACUEDUCTO,Sector Minima,4.1472,-73.6328,1.0,6000,0,6000,12
22,MADRIGAL,Sector Minima,4.1505,-73.6285,1.0,6000,0,6000,12
23,VILLA FABIOLA,Sector Minima,4.1467,-73.6319,1.0,6000,0,6000,12
24,CAMINO REAL,Sector Minima,4.153,-73.625,1.0,6000,0,6000,12
25,VILLA CRISTINA,Sector Minima,4.1456,-73.6368,1.0,6000,0,6000,12
26,CASTILLA,Sector Minima,4.1498,-73.6265,1.0,6000,0,6000,12
27,VAINILLA,Sector Minima,4.1452,-73.6376,1.0,6000,0,6000,12
28,CARCEL,Sector Minima,4.1446,-73.6291,1.0,6000,0,6000,12
29,RECREO,Sector Minima,4.148,-73.629,1.0,6000,0,6000,12
30,SEIS DE ABRIL,Sector Minima,4.1525,-73.6382,1.0,6000,0,6000,12
31,OLIMPICA,Sector Minima,4.1505,-73.632,1.0,6000,0,6000,12
32,MANANTIAL,Sector Minima,4.1533,-73.6323,1.0,6000,0,6000,12
33,HIERBABUENA,Sector Minima,4.1533,-73.6389,1.0,6000,0,6000,12
34,Página 472,Conjuntos Sector Cerca,4.1536,-73.6291,1.7,6000,1000,7000,14
35,COFREN CATAMA,Conjuntos Sector Cerca,4.147,-73.608,1.7,6000,1000,7000,14
36,PUESTO DE SALUD RECREO,Conjuntos Sector Cerca,4.148,-73.629,1.7,6000,1000,7000,14
37,ALCALA,Conjuntos Sector Cerca,4.1448,-73.6378,1.7,6000,1000,7000,14
38,FLORENCIA,Conjuntos Sector Cerca,4.1496,-73.6351,1.7,6000,1000,7000,14
39,DESMONTADORA,Conjuntos Sector Cerca,4.1476,-73.6307,1.7,6000,1000,7000,14
40,"CONJUNTO CAMINO REAL (1,2,3,4)",Conjuntos Sector Cerca,4.153,-73.625,1.7,6000,1000,7000,14
41,"PARQUES DE SEVILLA (1,2,3,4,)",Conjuntos Sector Cerca,4.1521,-73.6374,1.7,6000,1000,7000,14
42,CONJUNTO TULIPANES,Conjuntos Sector Cerca,4.1448,-73.6377,1.7,6000,1000,7000,14
43,CONJUNTO GIRASOLES,Conjuntos Sector Cerca,4.1506,-73.6293,1.7,6000,1000,7000,14
44,CONJUNTO ALMERIA,Conjuntos Sector Cerca,4.1449,-73.6324,1.7,6000,1000,7000,14
45,CONDOMINIO CRISTALES,Conjuntos Sector Cerca,4.1486,-73.6371,1.7,6000,1000,7000,14
46,CONJUNTO PALAMA REAL,Conjuntos Sector Cerca,4.1531,-73.6379,1.7,6000,1000,7000,14
47,ALTOS DE LOMALINDA,Conjuntos Sector Cerca,4.1473,-73.6379,1.7,6000,1000,7000,14
48,COJUNTO VILLA CARINA,Conjuntos Sector Cerca,4.1528,-73.6296,1.7,6000,1000,7000,14
49,CONJUNTO PRADOS DE CASTILLA,Sector Cerca Medio,4.1498,-73.6265,2.4,6000,2000,8000,16
50,EDIFICIO SANFERNANDO PLAZA,Sector Cerca Medio,4.1447,-73.6303,2.4,6000,2000,8000,16
51,PRADOS DE HIERBABUENA,Sector Cerca Medio,4.1508,-73.6316,2.4,6000,2000,8000,16
52,COJUNTO MALIBU,Sector Cerca Medio,4.1497,-73.6328,2.4,6000,2000,8000,16
53,BALCONES DE PONTEVEDRA,Sector Cerca Medio,4.1451,-73.635,2.4,6000,2000,8000,16
54,ESTERO,Sector Cerca Medio,4.143,-73.615,2.4,6000,2000,8000,16
55,MACUNAIMA,Sector Cerca Medio,4.142,-73.617,2.4,6000,2000,8000,16
56,PARQUE DE LA MEMORIA,Sector Cerca Medio,4.142,-73.63,2.4,6000,2000,8000,16
57,MACARENA,Sector Cerca Medio,4.1501,-73.6376,2.4,6000,2000,8000,16
58,NOGAL,Sector Cerca Medio,4.1475,-73.633,2.4,6000,2000,8000,16
59,SAN CRISTOBAL,Sector Cerca Medio,4.1448,-73.6379,2.4,6000,2000,8000,16
60,CAMELIAS,Sector Cerca Medio,4.1536,-73.6352,2.4,6000,2000,8000,16
61,OLIMPICO BAJO,Sector Cerca Medio,4.1487,-73.6379,2.4,6000,2000,8000,16
62,VILLA ORTIZ,Sector Cerca Medio,4.1446,-73.6388,2.4,6000,2000,8000,16
63,OLIMPICO,Sector Cerca Medio,4.148,-73.6292,2.4,6000,2000,8000,16
64,VILLA JHOANA,Sector Cerca Medio,4.1447,-73.6306,2.4,6000,2000,8000,16
65,CATALUÑA,Sector Cerca Medio,4.1509,-73.6382,2.4,6000,2000,8000,16
66,VILLA NIEVES,Sector Cerca Medio,4.1521,-73.6357,2.4,6000,2000,8000,16
67,Página 473,Sector Cerca Medio,4.1521,-73.6377,3.1,6000,3000,9000,17
68,DANUVIO,Sector Cerca Medio,4.1473,-73.6352,3.1,6000,3000,9000,17
69,GAUDALAJARA,Sector Cerca Medio,4.1459,-73.6338,3.1,6000,3000,9000,17
70,MARACOS,Sector Cerca Medio,4.1505,-73.6326,3.1,6000,3000,9000,17
71,MI LLANURA,Sector Cerca Medio,4.149,-73.6343,3.1,6000,3000,9000,17
72,BELLO HORIZONTE,Sector Cerca Medio,4.1534,-73.6363,3.1,6000,3000,9000,17
73,SAN IGNACIO,Sector Cerca Medio,4.1475,-73.6375,3.1,6000,3000,9000,17
74,"CANTARRANA 1,2,3,4,",Sector Cerca Medio,4.1472,-73.6382,3.1,6000,3000,9000,17
75,PARQUE LA LLANURA,Sector Cerca Medio,4.1415,-73.628,3.1,6000,3000,9000,17
76,PARQUE SIKUANI,Sector Cerca Medio,4.1375,-73.6265,3.1,6000,3000,9000,17
77,SAUSALITO,Sector Cerca Medio,4.1471,-73.6375,3.1,6000,3000,9000,17
78,BOCHICA,Sector Cerca Medio,4.1527,-73.6383,3.1,6000,3000,9000,17
79,CANAIMA,Sector Cerca Medio,4.1446,-73.6343,3.1,6000,3000,9000,17
80,PORTAL DEL CANAIMA,Sector Cerca Medio,4.1526,-73.6329,3.1,6000,3000,9000,17
81,SAN ISIDRO,Sector Cerca Medio,4.1512,-73.6345,3.1,6000,3000,9000,17
82,SANTA INES,Sector Cerca Medio,4.1509,-73.6339,3.1,6000,3000,9000,17
83,HOTEL ROSADO,Sector Cerca Medio,4.1456,-73.6357,3.1,6000,3000,9000,17
84,VILLA DEL SOL,Sector Cerca Medio,4.1443,-73.6354,3.1,6000,3000,9000,17
85,LA MORGUE,Sector Cerca Medio,4.1447,-73.6377,3.1,6000,3000,9000,17
86,SAN MARCOS,Sector Cerca Medio,4.1455,-73.6313,3.1,6000,3000,9000,17
87,CONJUNTO TOSCANA,Sector Cerca Medio,4.1453,-73.6291,3.1,6000,3000,9000,17
88,QUINTAS DE TOSCANA,Sector Cerca Medio,4.1471,-73.6372,3.1,6000,3000,9000,17
89,FLORIDA,Sector Cerca Medio,4.1534,-73.6352,3.1,6000,3000,9000,17
90,NUEVA FLORESTA,Sector Cerca Medio,4.1515,-73.6362,3.1,6000,3000,9000,17
91,TEUSACA,Sector Cerca Medio,4.15,-73.6363,3.1,6000,3000,9000,17
92,EMBUDO,Sector Cerca Medio,4.1478,-73.6304,3.1,6000,3000,9000,17
93,SANBENITO,Sector Cerca Medio,4.1438,-73.6315,3.1,6000,3000,9000,17
94,NUEVO RICAUTE,Sector Cerca Medio,4.145,-73.6323,3.1,6000,3000,9000,17
95,PORVENIR,Sector Cerca Medio,4.1532,-73.6355,3.1,6000,3000,9000,17
96,VEINTE DE JULIO,Sector Cerca Medio,4.1473,-73.6358,3.1,6000,3000,9000,17
97,SIMON BOLIVAR,Sector Cerca Medio,4.1515,-73.6375,3.1,6000,3000,9000,17
98,ANTONIO RICAUTE,Sector Cerca Medio,4.152,-73.6332,3.1,6000,3000,9000,17
99,BARRIO NOGALES,Sector Cerca Medio,4.1475,-73.633,3.1,6000,3000,9000,17
100,Página 474,Sector Cereo 01,4.1519,-73.6339,2.4,6000,2000,8000,16
101,CANEY,Sector Cereo 01,4.1468,-73.6318,2.4,6000,2000,8000,16
102,BRISAS DEL CANEY,Sector Cereo 01,4.1468,-73.6318,2.4,6000,2000,8000,16
103,AMARAL,Sector Cereo 01,4.1441,-73.6389,2.4,6000,2000,8000,16
104,CATATUMBO,Sector Cereo 01,4.1464,-73.6336,2.4,6000,2000,8000,16
105,RETIRO,Sector Cereo 01,4.1448,-73.6327,2.4,6000,2000,8000,16
106,BUENOS AIRES,Sector Cereo 01,4.1442,-73.6359,2.4,6000,2000,8000,16
107,REMANSO,Sector Cereo 01,4.1499,-73.6353,2.4,6000,2000,8000,16
108,VIZCAYA,Sector Cereo 01,4.1522,-73.6291,2.4,6000,2000,8000,16
109,HOTEL HACARITAMA COLONIAL,Sector Cereo 01,4.1466,-73.6337,2.4,6000,2000,8000,16
110,CANCHA RANCING,Sector Cereo 01,4.1524,-73.6303,2.4,6000,2000,8000,16
