sector,barrio,tarifa_base,tarifa_total,tiempo_estimado,distancia_aprox_km
SECTOR MENIMA,JORDAN ALTO,7000,7000,25-35 min,3.2
SECTOR MENIMA,CONDOMINIO CRISTALES,7000,7000,25-35 min,3.2
SECTOR MENIMA,BALCONES DE PONTEVEDRA,8000,8000,25-35 min,3.8
SECTOR MENIMA,$ 8.000,9000,9000,25-35 min,4.5
SECTOR MENIMA,$ 9.000,8000,8000,25-35 min,3.8
SECTOR CERCA MEDIO,VILLA NIEVES,9000,9000,25-35 min,4.5
SECTOR CERCA MEDIO,R MEDIO,8000,8000,25-35 min,3.8
SECTOR CEREO UNO,CONDOMINIO PORTAL DEL MOLINO,9000,9000,25-35 min,4.5
SECTOR TERMINAL,CONDOMINIO VILLA VALERIA,10000,10000,25-35 min,5.2
SECTOR AMARILO,AMARILO ZAINOS,14000,14000,25-35 min,7.8
SECTOR AMARILO,AMARILO ARBOLEDA CAMPESTRE IV 4,13000,13000,25-35 min,7.2
SECTOR AMARILO,$ 13.000,16000,16000,25-35 min,9.2
SECTOR AMARILO,$ 16.000,16000,16000,25-35 min,9.2
SECTOR AMARILO,$ 17.000,23000,23000,25-35 min,13.8
SECTOR LOS CENTAUROS,BALCONES DE GRATAMIRA,14000,14000,25-35 min,7.8
SECTOR LOS CENTAUROS,$ 14.000,14000,14000,25-35 min,7.8
SECTOR LOS CENTAUROS,CONDOMINIO SANTA PAULA,13000,13000,25-35 min,7.2
SECTOR LOS CENTAUROS,$ 12.000,13000,13000,25-35 min,7.2
SECTOR LOS CENTAUROS,$ 10.000,10000,10000,25-35 min,5.2
SECTOR LOS CENTAUROS,$ 11.000,10000,10000,25-35 min,5.2
SECTOR SALUD BARZAL,HOSPITAL DEPARTAMENTAL,10000,10000,25-35 min,5.2
SECTOR SALUD BARZAL,CLINICA META,9000,9000,25-35 min,4.5
SECTOR SALUD BARZAL,NUEVA CLINICA BARZAL,9000,9000,25-35 min,4.5
SECTOR SALUD BARZAL,SALUDA TOTAL,11000,11000,25-35 min,5.8
SECTOR SALUD BARZAL,ESMERALDA,12000,12000,25-35 min,6.5
SECTOR SALUD BARZAL,CAMPIÑA,13000,13000,25-35 min,7.2
SECTOR GRAMA CONJUNTOS Y EDIFICIOS,CONJUNTO RESIDENCIAL CAMBULOS 1,2,3,12000,12000,25-35 min,6.5
