id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
1,LA BENDITA AREPA GRAMA WEB,Sector Medio,4.1585,-73.6415,3.8,6000,4000,10000,19
2,GRAMA,Sector Medio,4.1585,-73.6415,3.8,6000,4000,10000,19
3,acambios en el momento,Sector Medio,4.1459,-73.6367,3.8,6000,4000,10000,19
4,CEIBA,Sector Medio,4.1485,-73.6305,3.8,6000,4000,10000,19
5,CEDRITOS,Sector Medio,4.1502,-73.632,3.8,6000,4000,10000,19
6,BOSQUE BAJO,Sector Medio,4.149,-73.6315,3.8,6000,4000,10000,19
7,SAUCES,Sector Medio,4.1515,-73.6335,3.8,6000,4000,10000,19
8,ROSALES,Sector Medio,4.1495,-73.6295,3.8,6000,4000,10000,19
9,CONJUNTO LLANO GRANDE,Sector Medio,4.1465,-73.6321,3.8,6000,4000,10000,19
10,COJUNTO SANTA LUCIA,Sector Medio,4.1482,-73.6275,3.8,6000,4000,10000,19
11,COJUNTO BARCELONA,Sector Medio,4.147,-73.626,3.8,6000,4000,10000,19
12,CONDOMINIO ROSALES,Sector Medio,4.1495,-73.6295,3.8,6000,4000,10000,19
13,MACARENA,Sector Medio,4.1501,-73.6376,3.8,6000,4000,10000,19
14,DOS MIL BAJO,Sector Medio,4.1455,-73.637,3.8,6000,4000,10000,19
15,DOS MIL ALTO,Sector Medio,4.1448,-73.6385,3.8,6000,4000,10000,19
16,BAMBU,Sector Medio,4.147,-73.6294,3.8,6000,4000,10000,19
17,SANTA HELENA,Sector Medio,4.151,-73.63,3.8,6000,4000,10000,19
18,JORDAN,Sector Medio,4.154,-73.627,3.8,6000,4000,10000,19
19,JORDAN PARAISO,Sector Medio,4.1548,-73.6265,3.8,6000,4000,10000,19
20,JORDAN ALTO,Sector Medio,4.1555,-73.6258,3.8,6000,4000,10000,19
21,SAN LUIS,Sector Medio,4.1465,-73.6325,3.8,6000,4000,10000,19
22,TRANSITO Y ACUEDUCTO,Sector Medio,4.1472,-73.6328,3.8,6000,4000,10000,19
23,MADRIGAL,Sector Medio,4.1505,-73.6285,3.8,6000,4000,10000,19
24,VILLA FABIOLA,Sector Medio,4.1467,-73.6319,3.8,6000,4000,10000,19
25,CAMINO REAL,Sector Medio,4.153,-73.625,3.8,6000,4000,10000,19
26,VILLA CRISTINA,Sector Medio,4.1456,-73.6368,3.8,6000,4000,10000,19
27,CASTILLA,Sector Medio,4.1498,-73.6265,3.8,6000,4000,10000,19
28,VAINILLA,Sector Medio,4.1452,-73.6376,3.8,6000,4000,10000,19
29,CARCEL,Sector Medio,4.1446,-73.6291,3.8,6000,4000,10000,19
30,RECREO,Sector Medio,4.148,-73.629,3.8,6000,4000,10000,19
31,SEIS DE ABRIL,Sector Medio,4.1525,-73.6382,3.8,6000,4000,10000,19
32,OLIMPICA,Sector Medio,4.1505,-73.632,3.8,6000,4000,10000,19
33,MANANTIAL,Sector Medio,4.1533,-73.6323,3.8,6000,4000,10000,19
34,HIERBABUENA,Sector Medio,4.1533,-73.6389,3.8,6000,4000,10000,19
35,Página 571,Conjuntos Sector Medio,4.1464,-73.6342,3.8,6000,4000,10000,19
36,COFREN CATAMA,Conjuntos Sector Medio,4.147,-73.608,3.8,6000,4000,10000,19
37,PUESTO DE SALUD RECREO,Conjuntos Sector Medio,4.148,-73.629,3.8,6000,4000,10000,19
38,ALCALA,Conjuntos Sector Medio,4.1448,-73.6378,3.8,6000,4000,10000,19
39,FLORENCIA,Conjuntos Sector Medio,4.1496,-73.6351,3.8,6000,4000,10000,19
40,DESMONTADORA,Conjuntos Sector Medio,4.1476,-73.6307,3.8,6000,4000,10000,19
41,CONJUNTO CAMINO REAL,Conjuntos Sector Medio,4.153,-73.625,3.8,6000,4000,10000,19
42,"(1,2,3,4)",Conjuntos Sector Medio,4.1444,-73.6319,3.8,6000,4000,10000,19
43,"PARQUES DE SEVILLA (1,2,3,4,)",Conjuntos Sector Medio,4.1521,-73.6374,3.8,6000,4000,10000,19
44,CONJUNTO TULIPANES,Conjuntos Sector Medio,4.1448,-73.6377,3.8,6000,4000,10000,19
45,CONJUNTO GIRASOLES,Conjuntos Sector Medio,4.1506,-73.6293,3.8,6000,4000,10000,19
46,CONJUNTO ALMERIA,Conjuntos Sector Medio,4.1449,-73.6324,3.8,6000,4000,10000,19
47,CONDOMINIO CRISTALES,Conjuntos Sector Medio,4.1486,-73.6371,3.8,6000,4000,10000,19
48,CONJUNTO PALAMA REAL,Conjuntos Sector Medio,4.1531,-73.6379,3.8,6000,4000,10000,19
49,ALTOS DE LOMALINDA,Conjuntos Sector Medio,4.1473,-73.6379,3.8,6000,4000,10000,19
50,COJUNTO VILLA KARINA,Conjuntos Sector Medio,4.1524,-73.6334,3.8,6000,4000,10000,19
51,CONJUNTO PRADOS DE,Conjuntos Sector Medio,4.1465,-73.6383,3.8,6000,4000,10000,19
52,EDIFICIO SANFERNANDO,Conjuntos Sector Medio,4.1529,-73.6325,3.8,6000,4000,10000,19
53,PLAZA,Conjuntos Sector Medio,4.1508,-73.6323,3.8,6000,4000,10000,19
54,PRADOS DE HIRBABUENA,Conjuntos Sector Medio,4.1512,-73.637,3.8,6000,4000,10000,19
55,COJUNTO MALIBU,Conjuntos Sector Medio,4.1497,-73.6328,3.8,6000,4000,10000,19
56,BALCONES DE PONTEVEDRA,Conjuntos Sector Medio,4.1451,-73.635,3.8,6000,4000,10000,19
57,ESTERO,Sector Medio,4.143,-73.615,4.5,6000,5000,11000,21
58,MACUNAIMA,Sector Medio,4.142,-73.617,4.5,6000,5000,11000,21
59,PARQUE DE LA MEMORIA,Sector Medio,4.142,-73.63,4.5,6000,5000,11000,21
60,POPULAR,Sector Medio,4.146,-73.635,4.5,6000,5000,11000,21
61,NOGAL,Sector Medio,4.1475,-73.633,4.5,6000,5000,11000,21
62,SAN CRISTOBAL,Sector Medio,4.1448,-73.6379,4.5,6000,5000,11000,21
63,CAMELIAS,Sector Medio,4.1536,-73.6352,4.5,6000,5000,11000,21
64,OLIMPICO BAJO,Sector Medio,4.1487,-73.6379,4.5,6000,5000,11000,21
65,VILLA ORTIX,Sector Medio,4.1493,-73.6305,4.5,6000,5000,11000,21
66,OLIMPICO,Sector Medio,4.148,-73.6292,4.5,6000,5000,11000,21
67,VILLA JHOANA,Sector Medio,4.1447,-73.6306,4.5,6000,5000,11000,21
68,CATALUÑA,Sector Medio,4.1509,-73.6382,4.5,6000,5000,11000,21
69,VILLA NIEVES,Sector Medio,4.1521,-73.6357,4.5,6000,5000,11000,21
70,DANUVIO,Sector Medio,4.1473,-73.6352,4.5,6000,5000,11000,21
71,Página 572,Sector Medio,4.1454,-73.6361,4.5,6000,5000,11000,21
72,GAUDALAJARA,Sector Medio,4.1459,-73.6338,4.5,6000,5000,11000,21
73,MARACOS,Sector Medio,4.1505,-73.6326,4.5,6000,5000,11000,21
74,MI LLANURA,Sector Medio,4.149,-73.6343,4.5,6000,5000,11000,21
75,BELLO HORISONTE,Sector Medio,4.1442,-73.6373,4.5,6000,5000,11000,21
76,SAN INGNACIO,Sector Medio,4.1474,-73.633,4.5,6000,5000,11000,21
77,"CANTARRANA 1,2,3,4,",Sector Medio,4.1472,-73.6382,4.5,6000,5000,11000,21
78,PARQUE LA LLNURA,Sector Medio,4.1502,-73.6384,4.5,6000,5000,11000,21
79,PARQUE SICUANI,Sector Medio,4.1476,-73.6322,4.5,6000,5000,11000,21
80,SAUSALITO,Sector Medio,4.1471,-73.6375,4.5,6000,5000,11000,21
81,BOCHICA,Sector Medio,4.1527,-73.6383,4.5,6000,5000,11000,21
82,CANAIMA,Sector Medio,4.1446,-73.6343,4.5,6000,5000,11000,21
83,PORTAL DEL CANAIMA,Sector Medio,4.1526,-73.6329,4.5,6000,5000,11000,21
84,SAN NISIDRO,Sector Medio,4.1442,-73.6304,4.5,6000,5000,11000,21
85,SANTA INES,Sector Medio,4.1509,-73.6339,4.5,6000,5000,11000,21
86,HOTEL ROSADO,Sector Medio,4.1456,-73.6357,4.5,6000,5000,11000,21
87,VILLA DEL SOL,Sector Medio,4.1443,-73.6354,4.5,6000,5000,11000,21
88,LA MORGUE,Sector Medio,4.1447,-73.6377,4.5,6000,5000,11000,21
89,SAN MARCOS,Sector Medio,4.1455,-73.6313,4.5,6000,5000,11000,21
90,CONJONTO TOSCANA,Sector Medio,4.1457,-73.636,4.5,6000,5000,11000,21
91,QUINTAS DE TOSCANA,Sector Medio,4.1471,-73.6372,4.5,6000,5000,11000,21
92,FLORIDA,Sector Medio,4.1534,-73.6352,4.5,6000,5000,11000,21
93,NUEVA FLORESTA,Sector Medio,4.1515,-73.6362,4.5,6000,5000,11000,21
94,TEUSACA,Sector Medio,4.15,-73.6363,4.5,6000,5000,11000,21
95,EMBUDO,Sector Medio,4.1478,-73.6304,4.5,6000,5000,11000,21
96,SANBENITO,Sector Medio,4.1438,-73.6315,4.5,6000,5000,11000,21
97,NUEVO RICAUTE,Sector Medio,4.145,-73.6323,4.5,6000,5000,11000,21
98,PORVENIR,Sector Medio,4.1532,-73.6355,4.5,6000,5000,11000,21
99,VIENTE JULIO,Sector Medio,4.1518,-73.6327,4.5,6000,5000,11000,21
100,SIMON BOLIVAR,Sector Medio,4.1515,-73.6375,4.5,6000,5000,11000,21
101,ANTONIO RICAUTE,Sector Medio,4.152,-73.6332,4.5,6000,5000,11000,21
102,BARRIO NOGALES,Sector Medio,4.1475,-73.633,4.5,6000,5000,11000,21
103,CANEY,Sector Medio,4.1468,-73.6318,4.5,6000,5000,11000,21
104,Página 573,Sector Cereo Uno,4.1466,-73.6383,3.8,6000,4000,10000,19
105,BRISAS DEL CANEY,Sector Cereo Uno,4.1468,-73.6318,3.8,6000,4000,10000,19
106,AMARAL,Sector Cereo Uno,4.1441,-73.6389,3.8,6000,4000,10000,19
107,CATATUMBO,Sector Cereo Uno,4.1464,-73.6336,3.8,6000,4000,10000,19
108,RETIRO,Sector Cereo Uno,4.1448,-73.6327,3.8,6000,4000,10000,19
109,BUENOS AIRES,Sector Cereo Uno,4.1442,-73.6359,3.8,6000,4000,10000,19
110,REMANSO,Sector Cereo Uno,4.1499,-73.6353,3.8,6000,4000,10000,19
111,VIZCAYA,Sector Cereo Uno,4.1522,-73.6291,3.8,6000,4000,10000,19
112,HOTEL HACARITAMA,Sector Cereo Uno,4.1456,-73.6338,3.8,6000,4000,10000,19
113,CANCHA RACING,Sector Cereo Uno,4.1443,-73.6308,3.8,6000,4000,10000,19
114,HACARITAMA,Sector Cereo Uno,4.1447,-73.6386,3.8,6000,4000,10000,19
115,BARRIO PRIMAVERA,Sector Cereo Uno,4.1479,-73.636,3.8,6000,4000,10000,19
116,PARQUE PRIMAVERA,Sector Cereo Uno,4.1524,-73.6305,3.8,6000,4000,10000,19
117,CIUDADELA EL DIVINO NIÑO,Sector Cereo Uno,4.1497,-73.6292,3.8,6000,4000,10000,19
118,LAS FERIAS,Sector Cereo Uno,4.148,-73.6314,3.8,6000,4000,10000,19
119,GAITAN,Sector Cereo Uno,4.1456,-73.6352,3.8,6000,4000,10000,19
120,SAN GREGORIO,Sector Cereo Uno,4.1477,-73.6329,3.8,6000,4000,10000,19
121,MAIZARO,Sector Cereo Uno,4.1517,-73.6326,3.8,6000,4000,10000,19
122,"CONDOMINIO DUARY 1,2",Conjuntos Y Condoninios Medio,4.1457,-73.6331,4.5,6000,5000,11000,21
123,CERRO CAMPESTRE ALTO,Conjuntos Y Condoninios Medio,4.1505,-73.6373,4.5,6000,5000,11000,21
124,CERRO CAMPESTRE BAJO,Conjuntos Y Condoninios Medio,4.1455,-73.631,4.5,6000,5000,11000,21
125,CONDOMINIO BOSQUES DE,Conjuntos Y Condoninios Medio,4.15,-73.6318,4.5,6000,5000,11000,21
126,CONDOMINIO PORTAL DEL,Conjuntos Y Condoninios Medio,4.1473,-73.6353,4.5,6000,5000,11000,21
127,MOLINO,Conjuntos Y Condoninios Medio,4.145,-73.6307,4.5,6000,5000,11000,21
128,RESERVAS DEL VIZCAYA,Conjuntos Y Condoninios Medio,4.1519,-73.6384,4.5,6000,5000,11000,21
129,CONJUNTO LOS ALMENDROS,Conjuntos Y Condoninios Medio,4.1438,-73.6314,4.5,6000,5000,11000,21
130,"1,2",Conjuntos Y Condoninios Medio,4.1531,-73.6307,4.5,6000,5000,11000,21
131,CAMINOS DE SEVILLA,Conjuntos Y Condoninios Medio,4.1438,-73.6372,4.5,6000,5000,11000,21
132,LLANO HERMOSO,Conjuntos Y Condoninios Medio,4.1515,-73.6327,4.5,6000,5000,11000,21
133,"CONJUNTO BONNANZA 1,2",Conjuntos Y Condoninios Medio,4.1492,-73.637,4.5,6000,5000,11000,21
134,RINCON DEL LLANO,Conjuntos Y Condoninios Medio,4.1515,-73.6387,4.5,6000,5000,11000,21
135,TORRES DEL MEDITERRENO,Conjuntos Y Condoninios Medio,4.1503,-73.6362,4.5,6000,5000,11000,21
136,TERMINAL DE TRANSPORTE,Sector Terminal,4.128,-73.629,5.9,6000,7000,13000,24
137,Página 574,Sector Terminal,4.1289,-73.6242,5.9,6000,7000,13000,24
138,"QUINTA DE MORELIA 1,2,3",Sector Terminal,4.1288,-73.628,5.9,6000,7000,13000,24
139,CONDOMINIO VILLAVENTO,Sector Terminal,4.1235,-73.6325,5.9,6000,7000,13000,24
140,CONDOMINIO CIUDAD REAL,Sector Terminal,4.1296,-73.6266,5.9,6000,7000,13000,24
141,TORRES DE PRADERA,Sector Terminal,4.1267,-73.6249,5.9,6000,7000,13000,24
142,CONDOMINIO VILLA VALERIA,Sector Terminal,4.1265,-73.6269,5.9,6000,7000,13000,24
143,CONDOMINIO CANAGUAY,Sector Terminal,4.1258,-73.6316,5.9,6000,7000,13000,24
144,JARDINES DE SANTORINE,Sector Terminal,4.1307,-73.6281,5.9,6000,7000,13000,24
145,LLANO REAL CLUB HOUSE,Sector Terminal,4.128,-73.6272,5.9,6000,7000,13000,24
146,PALMAS DE VALLARTA,Sector Terminal,4.1251,-73.6273,5.9,6000,7000,13000,24
147,CONJUNTO TERRABELA,Sector Terminal,4.1292,-73.6276,5.9,6000,7000,13000,24
148,BOSQUES DE MORELIA,Sector Terminal,4.1279,-73.6253,5.9,6000,7000,13000,24
149,"NUEVA ESPERANZA 1,2",Sector Terminal,4.1278,-73.6305,5.9,6000,7000,13000,24
150,CONDOMINIO SIENDA MANOY,Sector Terminal,4.1282,-73.6275,5.9,6000,7000,13000,24
151,QUINTAS DE SANTA CLARA,Sector Terminal,4.1244,-73.6307,5.9,6000,7000,13000,24
152,BARRIO VILLA DEL,Sector Terminal,4.1266,-73.6297,5.9,6000,7000,13000,24
153,ALCARABAN,Sector Terminal,4.1294,-73.6312,5.9,6000,7000,13000,24
154,URBANIZACION CALATRABA,Sector Terminal,4.1237,-73.6323,5.9,6000,7000,13000,24
155,TERRA VERDE,Sector Terminal,4.1297,-73.6255,5.9,6000,7000,13000,24
156,ALAMEDA DEL BOSQUE,Sector Terminal,4.1495,-73.631,5.9,6000,7000,13000,24
157,REMANSOS DEL LLANO,Sector Terminal,4.1281,-73.6266,5.9,6000,7000,13000,24
