id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
1,LECHONERIA MORENO WEB,Sector Minima,4.1446,-73.6329,1.0,6000,0,0,12
2,el momento,Sector Minima,4.1455,-73.6365,1.0,6000,0,0,12
3,CEIBA GRATIS,Sector Minima,4.1485,-73.6305,1.0,6000,0,0,12
4,CEDRITOS GRATIS,Sector Minima,4.1502,-73.632,1.0,6000,0,0,12
5,BOSQUE BAJO GRATIS,Sector Minima,4.149,-73.6315,1.0,6000,0,0,12
6,SAUCES GRATIS,Sector Minima,4.1515,-73.6335,1.0,6000,0,0,12
7,ROSALES GRATIS,Sector Minima,4.1495,-73.6295,1.0,6000,0,0,12
8,CONJUNTO LLANO GRANDE GRATIS,Sector Minima,4.1488,-73.6344,1.0,6000,0,0,12
9,COJUNTO SANTA LUCIA GRATIS,Sector Minima,4.1482,-73.6275,1.0,6000,0,0,12
10,COJUNTO BARCELONA GRATIS,Sector Minima,4.147,-73.626,1.0,6000,0,0,12
11,CONDOMINIO ROSALES GRATIS,Sector Minima,4.1495,-73.6295,1.0,6000,0,0,12
12,POPULAR GRATIS,Sector Minima,4.146,-73.635,1.0,6000,0,0,12
13,DOS MIL BAJO GRATIS,Sector Minima,4.1455,-73.637,1.0,6000,0,0,12
14,DOS MIL ALTO GRATIS,Sector Minima,4.1448,-73.6385,1.0,6000,0,0,12
15,BAMBU,Sector Minima,4.147,-73.6294,1.0,6000,0,0,12
16,SANTA HELENA,Sector Minima,4.151,-73.63,1.0,6000,0,0,12
17,JORDAN,Sector Minima,4.154,-73.627,1.0,6000,0,0,12
18,JORDAN PARAISO,Sector Minima,4.1548,-73.6265,1.0,6000,0,0,12
19,JORDAN ALTO,Sector Minima,4.1555,-73.6258,1.0,6000,0,0,12
20,SAN LUIS,Sector Minima,4.1465,-73.6325,1.0,6000,0,0,12
21,TRANSITO Y ACUEDUCTO,Sector Minima,4.1472,-73.6328,1.0,6000,0,0,12
22,MADRIGAL,Sector Minima,4.1505,-73.6285,1.0,6000,0,0,12
23,VILLA FABIOLA,Sector Minima,4.1467,-73.6319,1.0,6000,0,0,12
24,CAMINO REAL,Sector Minima,4.153,-73.625,1.0,6000,0,0,12
25,VILLA CRISTINA,Sector Minima,4.1456,-73.6368,1.0,6000,0,0,12
26,CASTILLA,Sector Minima,4.1498,-73.6265,1.0,6000,0,0,12
27,VAINILLA,Sector Minima,4.1452,-73.6376,1.0,6000,0,0,12
28,CARCEL,Sector Minima,4.1446,-73.6291,1.0,6000,0,0,12
29,Página 326,Sector Minima,4.1488,-73.6336,1.0,6000,0,6000,12
30,RECREO,Conjuntos Sector Cerca,4.148,-73.629,1.7,6000,1000,7000,14
31,SEIS DE ABRIL,Conjuntos Sector Cerca,4.1525,-73.6382,1.7,6000,1000,7000,14
32,OLIMPICA,Conjuntos Sector Cerca,4.1505,-73.632,1.7,6000,1000,7000,14
33,MANANTIAL,Conjuntos Sector Cerca,4.1533,-73.6323,1.7,6000,1000,7000,14
34,HIERBABUENA,Conjuntos Sector Cerca,4.1533,-73.6389,1.7,6000,1000,7000,14
35,COFREN CATAMA,Conjuntos Sector Cerca,4.147,-73.608,1.7,6000,1000,7000,14
36,PUESTO DE SALUD RECREO,Conjuntos Sector Cerca,4.148,-73.629,1.7,6000,1000,7000,14
37,ALCALA,Conjuntos Sector Cerca,4.1448,-73.6378,1.7,6000,1000,7000,14
38,FLORENCIA,Conjuntos Sector Cerca,4.1496,-73.6351,1.7,6000,1000,7000,14
39,DESMONTADORA GRATIS,Conjuntos Sector Cerca,4.1527,-73.6369,1.7,6000,1000,7000,14
40,"CONJUNTO CAMINO REAL (1,2,3,4)",Sector Cerca Medio,4.153,-73.625,1.7,6000,1000,7000,14
41,"PARQUES DE SEVILLA (1,2,3,4,)",Sector Cerca Medio,4.1521,-73.6374,1.7,6000,1000,7000,14
42,CONJUNTO TULIPANES,Sector Cerca Medio,4.1448,-73.6377,1.7,6000,1000,7000,14
43,CONJUNTO GIRASOLES,Sector Cerca Medio,4.1506,-73.6293,1.7,6000,1000,7000,14
44,CONJUNTO ALMERIA,Sector Cerca Medio,4.1449,-73.6324,1.7,6000,1000,7000,14
45,CONDOMINIO CRISTALES,Sector Cerca Medio,4.1486,-73.6371,1.7,6000,1000,7000,14
46,CONJUNTO PALAMA REAL,Sector Cerca Medio,4.1531,-73.6379,1.7,6000,1000,7000,14
47,ALTOS DE LOMALINDA,Sector Cerca Medio,4.1473,-73.6379,1.7,6000,1000,7000,14
48,COJUNTO VILLA KARINA,Sector Cerca Medio,4.1524,-73.6334,1.7,6000,1000,7000,14
49,CONJUNTO PRADOS DE CASTILLA,Sector Cerca Medio,4.1498,-73.6265,1.7,6000,1000,7000,14
50,EDIFICIO SANFERNANDO PLAZA,Sector Cerca Medio,4.1447,-73.6303,1.7,6000,1000,7000,14
51,PRADOS DE HIRBABUENA,Sector Cerca Medio,4.1512,-73.637,1.7,6000,1000,7000,14
52,COJUNTO MALIBU GRATIS,Sector Cerca Medio,4.1521,-73.6359,1.7,6000,1000,7000,14
53,BALCONES DE PONTEVEDRA GRATIS,Sector Cerca Medio,4.1455,-73.6318,1.7,6000,1000,7000,14
54,ESTERO,Sector Cerca Medio,4.143,-73.615,1.7,6000,1000,7000,14
55,MACUNAIMA,Sector Cerca Medio,4.142,-73.617,1.7,6000,1000,7000,14
56,PARQUE DE LA MEMORIA,Sector Cerca Medio,4.142,-73.63,1.7,6000,1000,7000,14
57,MACARENA,Sector Cerca Medio,4.1501,-73.6376,1.7,6000,1000,7000,14
58,NOGAL GRATIS,Sector Cerca Medio,4.1475,-73.633,1.7,6000,1000,7000,14
59,SAN CRISTOBAL,Sector Cerca Medio,4.1448,-73.6379,1.7,6000,1000,7000,14
60,Página 327,Sector Cerca Medio,4.1452,-73.6349,1.0,6000,0,0,12
61,CAMELIAS GRATIS,Sector Cerca Medio,4.1534,-73.6317,1.0,6000,0,0,12
62,OLIMPICO BAJO GRATIS,Sector Cerca Medio,4.1495,-73.6363,1.0,6000,0,0,12
63,VILLA ORTIX GRATIS,Sector Cerca Medio,4.1514,-73.6352,1.0,6000,0,0,12
64,OLIMPICO GRATIS,Sector Cerca Medio,4.1469,-73.6323,1.0,6000,0,0,12
65,VILLA JHOANA GRATIS,Sector Cerca Medio,4.1517,-73.6383,1.0,6000,0,0,12
66,CATALUÑA GRATIS,Sector Cerca Medio,4.151,-73.6388,1.0,6000,0,0,12
67,VILLA NIEVES GRATIS,Sector Cerca Medio,4.1492,-73.6337,1.0,6000,0,0,12
68,DANUVIO GRATIS,Sector Cerca Medio,4.1467,-73.6313,1.0,6000,0,0,12
69,GAUDALAJARA GRATIS,Sector Cerca Medio,4.1467,-73.6317,1.0,6000,0,0,12
70,MARACOS GRATIS,Sector Cerca Medio,4.1493,-73.6297,1.0,6000,0,0,12
71,MI LLANURA GRATIS,Sector Cerca Medio,4.1519,-73.6326,1.0,6000,0,0,12
72,BELLO HORISONTE,Sector Cerca Medio,4.1442,-73.6373,1.0,6000,0,0,12
73,SAN INGNACIO,Sector Cerca Medio,4.1474,-73.633,1.0,6000,0,0,12
74,"CANTARRANA 1,2,3,4,",Sector Cerca Medio,4.1472,-73.6382,1.0,6000,0,0,12
75,PARQUE LA LLNURA,Sector Cerca Medio,4.1502,-73.6384,1.0,6000,0,0,12
76,PARQUE SICUANI,Sector Cerca Medio,4.1476,-73.6322,1.0,6000,0,0,12
77,SAUSALITO,Sector Cerca Medio,4.1471,-73.6375,1.0,6000,0,0,12
78,BOCHICA,Sector Cerca Medio,4.1527,-73.6383,1.0,6000,0,0,12
79,CANAIMA,Sector Cerca Medio,4.1446,-73.6343,1.0,6000,0,0,12
80,PORTAL DEL CANAIMA,Sector Cerca Medio,4.1526,-73.6329,1.0,6000,0,0,12
81,SAN NISIDRO,Sector Cerca Medio,4.1442,-73.6304,1.0,6000,0,0,12
82,SANTA INES,Sector Cerca Medio,4.1509,-73.6339,1.0,6000,0,0,12
83,HOTEL ROSADO,Sector Cerca Medio,4.1456,-73.6357,1.0,6000,0,0,12
84,VILLA DEL SOL GRATIS,Sector Cerca Medio,4.1477,-73.6347,1.0,6000,0,0,12
85,LA MORGUE GRATIS,Sector Cerca Medio,4.152,-73.6367,1.0,6000,0,0,12
86,SAN MARCOS,Sector Cerca Medio,4.1455,-73.6313,1.0,6000,0,0,12
87,CONJONTO TOSCANA GRATIS,Sector Cerca Medio,4.1451,-73.6355,1.0,6000,0,0,12
88,QUINTAS DE TOSCANA GRATIS,Sector Cerca Medio,4.1531,-73.6375,1.0,6000,0,0,12
89,FLORIDA,Sector Cerca Medio,4.1534,-73.6352,1.0,6000,0,0,12
90,NUEVA FLORESTA,Sector Cerca Medio,4.1515,-73.6362,1.0,6000,0,0,12
91,TEUSACA,Sector Cerca Medio,4.15,-73.6363,1.0,6000,0,0,12
92,EMBUDO,Sector Cerca Medio,4.1478,-73.6304,1.0,6000,0,0,12
93,Página 328,Sector Cereo Uno,4.1465,-73.6338,2.4,6000,2000,8000,16
94,SANBENITO,Sector Cereo Uno,4.1438,-73.6315,2.4,6000,2000,8000,16
95,NUEVO RICAUTE,Sector Cereo Uno,4.145,-73.6323,2.4,6000,2000,8000,16
96,PORVENIR,Sector Cereo Uno,4.1532,-73.6355,2.4,6000,2000,8000,16
97,VIENTE JULIO,Sector Cereo Uno,4.1518,-73.6327,2.4,6000,2000,8000,16
98,SIMON BOLIVAR,Sector Cereo Uno,4.1515,-73.6375,2.4,6000,2000,8000,16
99,ANTONIO RICAUTE,Sector Cereo Uno,4.152,-73.6332,2.4,6000,2000,8000,16
100,BARRIO NOGALES,Sector Cereo Uno,4.1475,-73.633,2.4,6000,2000,8000,16
101,CANEY,Sector Cereo Uno,4.1468,-73.6318,2.4,6000,2000,8000,16
102,BRISAS DEL CANEY,Sector Cereo Uno,4.1468,-73.6318,2.4,6000,2000,8000,16
103,AMARAL,Sector Cereo Uno,4.1441,-73.6389,2.4,6000,2000,8000,16
104,CATATUMBO,Sector Cereo Uno,4.1464,-73.6336,2.4,6000,2000,8000,16
105,RETIRO,Sector Cereo Uno,4.1448,-73.6327,2.4,6000,2000,8000,16
106,BUENOS AIRES,Sector Cereo Uno,4.1442,-73.6359,2.4,6000,2000,8000,16
107,REMANSO GRATIS,Sector Cereo Uno,4.145,-73.6368,2.4,6000,2000,8000,16
108,VIZCAYA,Sector Cereo Uno,4.1522,-73.6291,2.4,6000,2000,8000,16
109,HOTEL HACARITAMA,Sector Cereo Uno,4.1456,-73.6338,2.4,6000,2000,8000,16
110,CANCHA RACING,Sector Cereo Uno,4.1443,-73.6308,2.4,6000,2000,8000,16
111,HACARITAMA,Sector Cereo Uno,4.1447,-73.6386,2.4,6000,2000,8000,16
112,BARRIO PRIMAVERA,Sector Cereo Uno,4.1479,-73.636,2.4,6000,2000,8000,16
113,PARQUE PRIMAVERA,Sector Cereo Uno,4.1524,-73.6305,2.4,6000,2000,8000,16
114,CIUDADELA EL DIVINO NIÑO,Sector Cereo Uno,4.1497,-73.6292,2.4,6000,2000,8000,16
115,LAS FERIAS,Sector Cereo Uno,4.148,-73.6314,2.4,6000,2000,8000,16
116,GAITAN,Sector Cereo Uno,4.1456,-73.6352,2.4,6000,2000,8000,16
117,SAN GREGORIO,Sector Cereo Uno,4.1477,-73.6329,2.4,6000,2000,8000,16
118,MAIZARO,Sector Cereo Uno,4.1517,-73.6326,2.4,6000,2000,8000,16
119,"CONDOMINIO DUARY 1,2",Conjuntos Y Condoninios Sector Medio,4.1457,-73.6331,2.4,6000,2000,8000,16
120,CERRO CAMPESTRE ALTO,Conjuntos Y Condoninios Sector Medio,4.1505,-73.6373,2.4,6000,2000,8000,16
121,CERRO CAMPESTRE BAJO,Conjuntos Y Condoninios Sector Medio,4.1455,-73.631,2.4,6000,2000,8000,16
122,CONDOMINIO BOSQUES DE VIZCAYA,Conjuntos Y Condoninios Sector Medio,4.1502,-73.6333,2.4,6000,2000,8000,16
123,CONDOMINIO PORTAL DEL MOLINO,Conjuntos Y Condoninios Sector Medio,4.1461,-73.6303,2.4,6000,2000,8000,16
124,RESERVAS DEL VIZCAYA,Conjuntos Y Condoninios Sector Medio,4.1519,-73.6384,2.4,6000,2000,8000,16
125,"CONJUNTO LOS ALMENDROS 1,2",Conjuntos Y Condoninios Sector Medio,4.149,-73.6334,2.4,6000,2000,8000,16
126,Página 329,Conjuntos Y Condoninios Sector Medio,4.1511,-73.6328,2.4,6000,2000,8000,16
127,CAMINOS DE SEVILLA,Sector Terminal,4.123,-73.6323,3.1,6000,3000,9000,17
128,LLANO HERMOSO,Sector Terminal,4.1307,-73.6278,3.1,6000,3000,9000,17
129,"CONJUNTO BONNANZA 1,2",Sector Terminal,4.1284,-73.6321,3.1,6000,3000,9000,17
130,RINCON DEL LLANO,Sector Terminal,4.1307,-73.6338,3.1,6000,3000,9000,17
131,TORRES DEL MEDITERRENO,Sector Terminal,4.1295,-73.6313,3.1,6000,3000,9000,17
132,TERMINAL DE TRANSPORTE,Sector Terminal,4.128,-73.629,3.1,6000,3000,9000,17
133,"QUINTA DE MORELIA 1,2,3",Sector Terminal,4.1288,-73.628,3.1,6000,3000,9000,17
134,CONDOMINIO VILLAVENTO,Sector Terminal,4.1235,-73.6325,3.1,6000,3000,9000,17
135,CONDOMINIO CIUDAD REAL,Sector Terminal,4.1296,-73.6266,3.1,6000,3000,9000,17
136,TORRES DE PRADERA,Sector Terminal,4.1267,-73.6249,3.1,6000,3000,9000,17
137,CONDOMINIO VILLA VALERIA,Sector Terminal,4.1265,-73.6269,3.1,6000,3000,9000,17
