id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
1,PANYPAS WEB,Sector Minima,4.149,-73.6385,1.7,6000,1000,7000,14
2,puden ser sujetos acambios en,Sector Minima,4.1527,-73.6385,1.7,6000,1000,7000,14
3,el momento,Sector Minima,4.1455,-73.6365,1.7,6000,1000,7000,14
4,mismo),Sector Minima,4.1511,-73.6315,1.7,6000,1000,7000,14
5,CEIBA,Sector Minima,4.1485,-73.6305,1.7,6000,1000,7000,14
6,CEDRITOS,Sector Minima,4.1502,-73.632,1.7,6000,1000,7000,14
7,BOSQUE BAJO,Sector Minima,4.149,-73.6315,1.7,6000,1000,7000,14
8,SAUCES,Sector Minima,4.1515,-73.6335,1.7,6000,1000,7000,14
9,ROSALES,Sector Minima,4.1495,-73.6295,1.7,6000,1000,7000,14
10,CONJUNTO LLANO GRANDE,Sector Minima,4.1465,-73.6321,1.7,6000,1000,7000,14
11,COJUNTO SANTA LUCIA,Sector Minima,4.1482,-73.6275,1.7,6000,1000,7000,14
12,COJUNTO BARCELONA,Sector Minima,4.147,-73.626,1.7,6000,1000,7000,14
13,CONDOMINIO ROSALES,Sector Minima,4.1495,-73.6295,1.7,6000,1000,7000,14
14,POPULAR,Sector Minima,4.146,-73.635,1.7,6000,1000,7000,14
15,DOS MIL BAJO,Sector Minima,4.1455,-73.637,1.7,6000,1000,7000,14
16,DOS MIL ALTO,Sector Minima,4.1448,-73.6385,1.7,6000,1000,7000,14
17,BAMBU,Sector Minima,4.147,-73.6294,1.7,6000,1000,7000,14
18,SANTA HELENA,Sector Minima,4.151,-73.63,1.7,6000,1000,7000,14
19,JORDAN,Sector Minima,4.154,-73.627,1.7,6000,1000,7000,14
20,JORDAN PARAISO,Sector Minima,4.1548,-73.6265,1.7,6000,1000,7000,14
21,JORDAN ALTO,Sector Minima,4.1555,-73.6258,1.7,6000,1000,7000,14
22,SAN LUIS,Sector Minima,4.1465,-73.6325,1.7,6000,1000,7000,14
23,TRANSITO Y ACUEDUCTO,Sector Minima,4.1472,-73.6328,1.7,6000,1000,7000,14
24,MADRIGAL,Sector Minima,4.1505,-73.6285,1.7,6000,1000,7000,14
25,VILLA FABIOLA,Sector Minima,4.1467,-73.6319,1.7,6000,1000,7000,14
26,CAMINO REAL,Sector Minima,4.153,-73.625,1.7,6000,1000,7000,14
27,VILLA CRISTINA,Sector Minima,4.1456,-73.6368,1.7,6000,1000,7000,14
28,CASTILLA,Sector Minima,4.1498,-73.6265,1.7,6000,1000,7000,14
29,VAINILLA,Sector Minima,4.1452,-73.6376,1.7,6000,1000,7000,14
30,CARCEL,Sector Minima,4.1446,-73.6291,1.7,6000,1000,7000,14
31,RECREO,Sector Minima,4.148,-73.629,1.7,6000,1000,7000,14
32,SEIS DE ABRIL,Sector Minima,4.1525,-73.6382,1.7,6000,1000,7000,14
33,OLIMPICA,Sector Minima,4.1505,-73.632,1.7,6000,1000,7000,14
34,MANANTIAL,Sector Minima,4.1533,-73.6323,1.7,6000,1000,7000,14
35,HIERBABUENA,Sector Minima,4.1533,-73.6389,1.7,6000,1000,7000,14
36,COFREN CATAMA,Sector Minima,4.147,-73.608,1.7,6000,1000,7000,14
37,PUESTO DE SALUD RECREO,Sector Minima,4.148,-73.629,1.7,6000,1000,7000,14
38,ALCALA,Sector Minima,4.1448,-73.6378,1.7,6000,1000,7000,14
39,Página 666,Conjuntos Sector Cerca,4.153,-73.6331,1.7,6000,1000,7000,14
40,FLORENCIA,Conjuntos Sector Cerca,4.1496,-73.6351,1.7,6000,1000,7000,14
41,DESMONTADORA,Conjuntos Sector Cerca,4.1476,-73.6307,1.7,6000,1000,7000,14
42,"CONJUNTO CAMINO REAL (1,2,3,4)",Conjuntos Sector Cerca,4.153,-73.625,1.7,6000,1000,7000,14
43,"PARQUES DE SEVILLA (1,2,3,4,)",Conjuntos Sector Cerca,4.1521,-73.6374,1.7,6000,1000,7000,14
44,CONJUNTO TULIPANES,Conjuntos Sector Cerca,4.1448,-73.6377,1.7,6000,1000,7000,14
45,CONJUNTO GIRASOLES,Conjuntos Sector Cerca,4.1506,-73.6293,1.7,6000,1000,7000,14
46,CONJUNTO ALMERIA,Conjuntos Sector Cerca,4.1449,-73.6324,1.7,6000,1000,7000,14
47,CONDOMINIO CRISTALES,Conjuntos Sector Cerca,4.1486,-73.6371,1.7,6000,1000,7000,14
48,CONJUNTO PALAMA REAL,Conjuntos Sector Cerca,4.1531,-73.6379,1.7,6000,1000,7000,14
49,ALTOS DE LOMALINDA,Conjuntos Sector Cerca,4.1473,-73.6379,1.7,6000,1000,7000,14
50,COJUNTO VILLA KARINA,Conjuntos Sector Cerca,4.1524,-73.6334,1.7,6000,1000,7000,14
51,CONJUNTO PRADOS DE CASTILLA,Conjuntos Sector Cerca,4.1498,-73.6265,1.7,6000,1000,7000,14
52,EDIFICIO SANFERNANDO PLAZA,Conjuntos Sector Cerca,4.1447,-73.6303,1.7,6000,1000,7000,14
53,PRADOS DE HIRBABUENA,Conjuntos Sector Cerca,4.1512,-73.637,1.7,6000,1000,7000,14
54,COJUNTO MALIBU,Conjuntos Sector Cerca,4.1497,-73.6328,1.7,6000,1000,7000,14
55,BALCONES DE PONTEVEDRA,Conjuntos Sector Cerca,4.1451,-73.635,1.7,6000,1000,7000,14
56,ESTERO,Sector Cerca Medio,4.143,-73.615,2.4,6000,2000,8000,16
57,MACUNAIMA,Sector Cerca Medio,4.142,-73.617,2.4,6000,2000,8000,16
58,PARQUE DE LA MEMORIA,Sector Cerca Medio,4.142,-73.63,2.4,6000,2000,8000,16
59,MACARENA,Sector Cerca Medio,4.1501,-73.6376,2.4,6000,2000,8000,16
60,NOGAL,Sector Cerca Medio,4.1475,-73.633,2.4,6000,2000,8000,16
61,SAN CRISTOBAL,Sector Cerca Medio,4.1448,-73.6379,2.4,6000,2000,8000,16
62,CAMELIAS,Sector Cerca Medio,4.1536,-73.6352,2.4,6000,2000,8000,16
63,OLIMPICO BAJO,Sector Cerca Medio,4.1487,-73.6379,2.4,6000,2000,8000,16
64,VILLA ORTIX,Sector Cerca Medio,4.1493,-73.6305,2.4,6000,2000,8000,16
65,OLIMPICO,Sector Cerca Medio,4.148,-73.6292,2.4,6000,2000,8000,16
66,VILLA JHOANA,Sector Cerca Medio,4.1447,-73.6306,2.4,6000,2000,8000,16
67,CATALUÑA,Sector Cerca Medio,4.1509,-73.6382,2.4,6000,2000,8000,16
68,VILLA NIEVES,Sector Cerca Medio,4.1521,-73.6357,2.4,6000,2000,8000,16
69,DANUVIO,Sector Cerca Medio,4.1473,-73.6352,2.4,6000,2000,8000,16
70,GAUDALAJARA,Sector Cerca Medio,4.1459,-73.6338,2.4,6000,2000,8000,16
71,MARACOS,Sector Cerca Medio,4.1505,-73.6326,2.4,6000,2000,8000,16
72,MI LLANURA,Sector Cerca Medio,4.149,-73.6343,2.4,6000,2000,8000,16
73,BELLO HORISONTE,Sector Cerca Medio,4.1442,-73.6373,2.4,6000,2000,8000,16
74,Página 667,Sector Cerca Medio,4.1537,-73.6366,2.4,6000,2000,8000,16
75,SAN INGNACIO,Sector Cerca Medio,4.1474,-73.633,2.4,6000,2000,8000,16
76,"CANTARRANA 1,2,3,4,",Sector Cerca Medio,4.1472,-73.6382,2.4,6000,2000,8000,16
77,PARQUE LA LLNURA,Sector Cerca Medio,4.1502,-73.6384,2.4,6000,2000,8000,16
78,PARQUE SICUANI,Sector Cerca Medio,4.1476,-73.6322,2.4,6000,2000,8000,16
79,SAUSALITO,Sector Cerca Medio,4.1471,-73.6375,2.4,6000,2000,8000,16
80,BOCHICA,Sector Cerca Medio,4.1527,-73.6383,2.4,6000,2000,8000,16
81,CANAIMA,Sector Cerca Medio,4.1446,-73.6343,2.4,6000,2000,8000,16
82,PORTAL DEL CANAIMA,Sector Cerca Medio,4.1526,-73.6329,2.4,6000,2000,8000,16
83,SAN NISIDRO,Sector Cerca Medio,4.1442,-73.6304,2.4,6000,2000,8000,16
84,SANTA INES,Sector Cerca Medio,4.1509,-73.6339,2.4,6000,2000,8000,16
85,HOTEL ROSADO,Sector Cerca Medio,4.1456,-73.6357,2.4,6000,2000,8000,16
86,VILLA DEL SOL,Sector Cerca Medio,4.1443,-73.6354,2.4,6000,2000,8000,16
87,LA MORGUE,Sector Cerca Medio,4.1447,-73.6377,2.4,6000,2000,8000,16
88,SAN MARCOS,Sector Cerca Medio,4.1455,-73.6313,2.4,6000,2000,8000,16
89,CONJONTO TOSCANA,Sector Cerca Medio,4.1457,-73.636,2.4,6000,2000,8000,16
90,QUINTAS DE TOSCANA,Sector Cerca Medio,4.1471,-73.6372,2.4,6000,2000,8000,16
91,FLORIDA,Sector Cerca Medio,4.1534,-73.6352,2.4,6000,2000,8000,16
92,NUEVA FLORESTA,Sector Cerca Medio,4.1515,-73.6362,2.4,6000,2000,8000,16
93,TEUSACA,Sector Cerca Medio,4.15,-73.6363,2.4,6000,2000,8000,16
94,EMBUDO,Sector Cerca Medio,4.1478,-73.6304,2.4,6000,2000,8000,16
95,SANBENITO,Sector Cerca Medio,4.1438,-73.6315,2.4,6000,2000,8000,16
96,NUEVO RICAUTE,Sector Cerca Medio,4.145,-73.6323,2.4,6000,2000,8000,16
97,PORVENIR,Sector Cerca Medio,4.1532,-73.6355,2.4,6000,2000,8000,16
98,VIENTE JULIO,Sector Cerca Medio,4.1518,-73.6327,2.4,6000,2000,8000,16
99,SIMON BOLIVAR,Sector Cerca Medio,4.1515,-73.6375,2.4,6000,2000,8000,16
100,ANTONIO RICAUTE,Sector Cerca Medio,4.152,-73.6332,2.4,6000,2000,8000,16
101,BARRIO NOGALES,Sector Cerca Medio,4.1475,-73.633,2.4,6000,2000,8000,16
102,CANEY,Sector Cerca Medio,4.1468,-73.6318,2.4,6000,2000,8000,16
103,BRISAS DEL CANEY,Sector Cerca Medio,4.1468,-73.6318,2.4,6000,2000,8000,16
104,AMARAL,Sector Cerca Medio,4.1441,-73.6389,2.4,6000,2000,8000,16
105,CATATUMBO,Sector Cerca Medio,4.1464,-73.6336,2.4,6000,2000,8000,16
106,RETIRO,Sector Cerca Medio,4.1448,-73.6327,2.4,6000,2000,8000,16
107,Página 668,Sector Cereo Uno,4.1534,-73.636,2.4,6000,2000,8000,16
108,BUENOS AIRES,Sector Cereo Uno,4.1442,-73.6359,2.4,6000,2000,8000,16
109,REMANSO,Sector Cereo Uno,4.1499,-73.6353,2.4,6000,2000,8000,16
110,VIZCAYA,Sector Cereo Uno,4.1522,-73.6291,2.4,6000,2000,8000,16
111,HOTEL HACARITAMA,Sector Cereo Uno,4.1456,-73.6338,2.4,6000,2000,8000,16
112,CANCHA RACING,Sector Cereo Uno,4.1443,-73.6308,2.4,6000,2000,8000,16
113,HACARITAMA,Sector Cereo Uno,4.1447,-73.6386,2.4,6000,2000,8000,16
114,BARRIO PRIMAVERA,Sector Cereo Uno,4.1479,-73.636,2.4,6000,2000,8000,16
115,PARQUE PRIMAVERA,Sector Cereo Uno,4.1524,-73.6305,2.4,6000,2000,8000,16
116,CIUDADELA EL DIVINO NIÑO,Sector Cereo Uno,4.1497,-73.6292,2.4,6000,2000,8000,16
