sector,barrio,tarifa_base,tarifa_total,tiempo_estimado,distancia_aprox_km
SECTOR MINIMA,OLIMPICA,7000,7000,25-35 min,3.2
SECTOR MINIMA,ALTOS DE LOMALINDA,7000,7000,25-35 min,3.2
SECTOR CERCA MEDIO,$ 8.000,9000,9000,25-35 min,4.5
SECTOR CERCA MEDIO,$ 9.000,8000,8000,25-35 min,3.8
SECTOR CERCA MEDIO,AMARAL,9000,9000,25-35 min,4.5
SECTOR CEREO UNO,CONJUNTOS Y CONDONINIOS SECTOR MEDIO,8000,8000,25-35 min,3.8
SECTOR TERMINAL,CONDOMINIO VILLA VALERIA,9000,9000,25-35 min,4.5
SECTOR TERMINAL,TERRA VELA,10000,10000,25-35 min,5.2
SECTOR AMARILO,AMARILO ALCARABN,14000,14000,25-35 min,7.8
SECTOR LOS CENTAUROS,$ 13.000,16000,16000,25-35 min,9.2
SECTOR LOS CENTAUROS,$ 16.000,16000,16000,25-35 min,9.2
SECTOR LOS CENTAUROS,$ 17.000,23000,23000,25-35 min,13.8
SECTOR LOS CENTAUROS,BALCONES DE GRATAMIRA,14000,14000,25-35 min,7.8
SECTOR LOS CENTAUROS,TORRES DE SALERMO 1,2,14000,14000,25-35 min,7.8
SECTOR BARZAL,AZOTEA,13000,13000,25-35 min,7.2
SECTOR BARZAL,$ 12.000,13000,13000,25-35 min,7.2
SECTOR BARZAL,$ 10.000,10000,10000,25-35 min,5.2
SECTOR BARZAL,$ 11.000,10000,10000,25-35 min,5.2
SECTOR SALUD BARZAL,LIGA CONTRA EL CANCER,10000,10000,25-35 min,5.2
SECTOR SALUD BARZAL,CLINICA META,9000,9000,25-35 min,4.5
SECTOR SALUD BARZAL,SERVIMEDICOS,9000,9000,25-35 min,4.5
SECTOR GRAMA,ESCUELA DE CARABINEROS,12000,12000,25-35 min,6.5
SECTOR GRAMA,NUEVA GRANADA,13000,13000,25-35 min,7.2
SECTOR GRAMA CONJUNTOS Y EDIFICIOS,CONJUNTO PRADROS DE SAN FRANCISCO,12000,12000,25-35 min,6.5
SECTOR CAUDAL,SOCIEGO KIRPAS,13000,13000,25-35 min,7.2
SECTOR ESTE KIRPAS,$ 15.000,15000,15000,25-35 min,8.5
SECTOR REMANSOS DE ROSABLANCA,CONJUNTO BULEVAR CODEM,12000,12000,25-35 min,6.5
SECTOR REMANSOS DE ROSABLANCA,SAN SILVESTRE 1,2,,13000,13000,25-35 min,7.2
SECTOR ESPERANSA,VILLA CLAUDIA,10000,10000,25-35 min,5.2
SECTOR ESTE BAJO,URBANIZACION COVISAN,11000,11000,25-35 min,5.8
SECTOR SUR ROCHELA,ROCHELA,14000,14000,25-35 min,7.8
SECTOR SUR ROCHELA,$ 14.000,12000,12000,25-35 min,6.5
SECTOR SUR ROCHELA,$ 18.000,18000,18000,25-35 min,10.5
SECTOR OLLAS PELIGRO,INDUSTRIAL,13000,13000,25-35 min,7.2
SECTOR RELIQUIA,CONJUNTO SAN CAMILO,8000,8000,25-35 min,3.8
SECTOR RELIQUIA,$ 20.000,20000,20000,25-35 min,11.8
SECTOR SALIDA PUERTO LOPEZ,UNIVERSIDAD LOS LLANOS BARCELONA,20000,20000,25-35 min,11.8
SECTOR SALIDA PUERTO LOPEZ,$ 22.000,22000,22000,25-35 min,13.2
SECTOR SALIDA PUERTO LOPEZ,$ 23.000,18000,18000,25-35 min,10.5
SECTOR SALIDA PUERTO LOPEZ,$ 25.000,16000,16000,25-35 min,9.2
SECTOR SALIDA PUERTO LOPEZ,$ 30.000,25000,25000,25-35 min,15.2
SECTOR VEREDA EL CAIRO,CONDOMIO TIERRA DEL SOL CAIRO,25000,25000,25-35 min,15.2
SECTOR HOTELERO VIA MARACOS,HOTEL RUBIALES,8000,8000,25-35 min,3.8
SECTOR HOTELERO VIA MARACOS,HOTEL ALCARAVAN REAL,8000,8000,25-35 min,3.8
SECTOR HOTELERO LLANO LINDO,HOTEL SOLEV,12000,12000,25-35 min,6.5
SECTOR UNIVERSIDADES,UNIVERSIDAD DE LOS LLANOS EMPORIO,10000,10000,25-35 min,5.2
SECTOR UNIVERSIDADES,UNIVERSIDAD ANTONIO NARIÑO CECILIA,9000,9000,25-35 min,4.5
SECTOR DE COLEGIOS,COLEGIO NUESTRA SEÑORA DEL CARMEN,10000,10000,25-35 min,5.2
SECTOR PARQUES,GOBERNACION DEL META,9000,9000,25-35 min,4.5
SECTOR PARQUES,$ 7.000,9000,9000,25-35 min,4.5
SECTOR PARQUES,RESTAUTES,10000,10000,25-35 min,5.2
SECTOR PARQUES,TERRAZAS VVC BISTRO,11000,11000,25-35 min,5.8
SECTOR BANCARIO DEL CENTRO,BANCO MUNDO MUJER,10000,10000,25-35 min,5.2
