id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
1,SR DONAS WEB,Sector Medio,4.1442,-73.6298,3.8,6000,4000,10000,19
2,BARZAL,Sector Medio,4.1442,-73.6365,3.8,6000,4000,10000,19
3,en el momento,Sector Medio,4.1457,-73.6385,3.8,6000,4000,10000,19
4,CEIBA,Sector Medio,4.1485,-73.6305,3.8,6000,4000,10000,19
5,CEDRITOS,Sector Medio,4.1502,-73.632,3.8,6000,4000,10000,19
6,BOSQUE BAJO,Sector Medio,4.149,-73.6315,3.8,6000,4000,10000,19
7,SAUCES,Sector Medio,4.1515,-73.6335,3.8,6000,4000,10000,19
8,ROSALES,Sector Medio,4.1495,-73.6295,3.8,6000,4000,10000,19
9,CONJUNTO LLANO GRANDE,Sector Medio,4.1465,-73.6321,3.8,6000,4000,10000,19
10,COJUNTO SANTA LUCIA,Sector Medio,4.1482,-73.6275,3.8,6000,4000,10000,19
11,COJUNTO BARCELONA,Sector Medio,4.147,-73.626,3.8,6000,4000,10000,19
12,CONDOMINIO ROSALES,Sector Medio,4.1495,-73.6295,3.8,6000,4000,10000,19
13,POPULAR,Sector Medio,4.146,-73.635,3.8,6000,4000,10000,19
14,DOS MIL BAJO,Sector Medio,4.1455,-73.637,3.8,6000,4000,10000,19
15,DOS MIL ALTO,Sector Medio,4.1448,-73.6385,3.8,6000,4000,10000,19
16,BAMBU,Sector Medio,4.147,-73.6294,3.8,6000,4000,10000,19
17,SANTA HELENA,Sector Medio,4.151,-73.63,3.8,6000,4000,10000,19
18,JORDAN,Sector Medio,4.154,-73.627,3.8,6000,4000,10000,19
19,JORDAN PARAISO,Sector Medio,4.1548,-73.6265,3.8,6000,4000,10000,19
20,JORDAN ALTO,Sector Medio,4.1555,-73.6258,3.8,6000,4000,10000,19
21,SAN LUIS,Sector Medio,4.1465,-73.6325,3.8,6000,4000,10000,19
22,TRANSITO Y ACUEDUCTO,Sector Medio,4.1472,-73.6328,3.8,6000,4000,10000,19
23,MADRIGAL,Sector Medio,4.1505,-73.6285,3.8,6000,4000,10000,19
24,VILLA FABIOLA,Sector Medio,4.1467,-73.6319,3.8,6000,4000,10000,19
25,CAMINO REAL,Sector Medio,4.153,-73.625,3.8,6000,4000,10000,19
26,VILLA CRISTINA,Sector Medio,4.1456,-73.6368,3.8,6000,4000,10000,19
27,CASTILLA,Sector Medio,4.1498,-73.6265,3.8,6000,4000,10000,19
28,VAINILLA,Sector Medio,4.1452,-73.6376,3.8,6000,4000,10000,19
29,CARCEL,Sector Medio,4.1446,-73.6291,3.8,6000,4000,10000,19
30,RECREO,Sector Medio,4.148,-73.629,3.8,6000,4000,10000,19
31,SEIS DE ABRIL,Sector Medio,4.1525,-73.6382,3.8,6000,4000,10000,19
32,OLIMPICA,Sector Medio,4.1505,-73.632,3.8,6000,4000,10000,19
33,MANANTIAL,Sector Medio,4.1533,-73.6323,3.8,6000,4000,10000,19
34,HIERBABUENA,Sector Medio,4.1533,-73.6389,3.8,6000,4000,10000,19
35,Página 546,Conjuntos Sector Medio,4.146,-73.6356,3.8,6000,4000,10000,19
36,COFREN CATAMA,Conjuntos Sector Medio,4.147,-73.608,3.8,6000,4000,10000,19
37,PUESTO DE SALUD RECREO,Conjuntos Sector Medio,4.148,-73.629,3.8,6000,4000,10000,19
38,ALCALA,Conjuntos Sector Medio,4.1448,-73.6378,3.8,6000,4000,10000,19
39,FLORENCIA,Conjuntos Sector Medio,4.1496,-73.6351,3.8,6000,4000,10000,19
40,DESMONTADORA,Conjuntos Sector Medio,4.1476,-73.6307,3.8,6000,4000,10000,19
41,"CONJUNTO CAMINO REAL (1,2,3,4)",Conjuntos Sector Medio,4.153,-73.625,3.8,6000,4000,10000,19
42,"PARQUES DE SEVILLA (1,2,3,4,)",Conjuntos Sector Medio,4.1521,-73.6374,3.8,6000,4000,10000,19
43,CONJUNTO TULIPANES,Conjuntos Sector Medio,4.1448,-73.6377,3.8,6000,4000,10000,19
44,CONJUNTO GIRASOLES,Conjuntos Sector Medio,4.1506,-73.6293,3.8,6000,4000,10000,19
45,CONJUNTO ALMERIA,Conjuntos Sector Medio,4.1449,-73.6324,3.8,6000,4000,10000,19
46,CONDOMINIO CRISTALES,Conjuntos Sector Medio,4.1486,-73.6371,3.8,6000,4000,10000,19
47,CONJUNTO PALAMA REAL,Conjuntos Sector Medio,4.1531,-73.6379,3.8,6000,4000,10000,19
48,ALTOS DE LOMALINDA,Conjuntos Sector Medio,4.1473,-73.6379,3.8,6000,4000,10000,19
49,COJUNTO VILLA KARINA,Conjuntos Sector Medio,4.1524,-73.6334,3.8,6000,4000,10000,19
50,CONJUNTO PRADOS DE CASTILLA,Conjuntos Sector Medio,4.1498,-73.6265,3.8,6000,4000,10000,19
51,EDIFICIO SANFERNANDO PLAZA,Sector Medio,4.1447,-73.6303,3.8,6000,4000,10000,19
52,PRADOS DE HIRBABUENA,Sector Medio,4.1512,-73.637,3.8,6000,4000,10000,19
53,COJUNTO MALIBU,Sector Medio,4.1497,-73.6328,3.8,6000,4000,10000,19
54,BALCONES DE PONTEVEDRA,Sector Medio,4.1451,-73.635,3.8,6000,4000,10000,19
55,ESTERO,Sector Medio,4.143,-73.615,3.8,6000,4000,10000,19
56,MACUNAIMA,Sector Medio,4.142,-73.617,3.8,6000,4000,10000,19
57,PARQUE DE LA MEMORIA,Sector Medio,4.142,-73.63,3.8,6000,4000,10000,19
58,MACARENA,Sector Medio,4.1501,-73.6376,3.8,6000,4000,10000,19
59,NOGAL,Sector Medio,4.1475,-73.633,3.8,6000,4000,10000,19
60,SAN CRISTOBAL,Sector Medio,4.1448,-73.6379,3.8,6000,4000,10000,19
61,CAMELIAS,Sector Medio,4.1536,-73.6352,3.8,6000,4000,10000,19
62,OLIMPICO BAJO,Sector Medio,4.1487,-73.6379,3.8,6000,4000,10000,19
63,VILLA ORTIX,Sector Medio,4.1493,-73.6305,3.8,6000,4000,10000,19
64,OLIMPICO,Sector Medio,4.148,-73.6292,3.8,6000,4000,10000,19
65,VILLA JHOANA,Sector Medio,4.1447,-73.6306,3.8,6000,4000,10000,19
66,CATALUÑA,Sector Medio,4.1509,-73.6382,3.8,6000,4000,10000,19
67,VILLA NIEVES,Sector Medio,4.1521,-73.6357,3.8,6000,4000,10000,19
68,Página 547,Sector Medio,4.1449,-73.6355,4.5,6000,5000,11000,21
69,DANUVIO,Sector Medio,4.1473,-73.6352,4.5,6000,5000,11000,21
70,GAUDALAJARA,Sector Medio,4.1459,-73.6338,4.5,6000,5000,11000,21
71,MARACOS,Sector Medio,4.1505,-73.6326,4.5,6000,5000,11000,21
72,MI LLANURA,Sector Medio,4.149,-73.6343,4.5,6000,5000,11000,21
73,BELLO HORISONTE,Sector Medio,4.1442,-73.6373,4.5,6000,5000,11000,21
74,SAN INGNACIO,Sector Medio,4.1474,-73.633,4.5,6000,5000,11000,21
75,"CANTARRANA 1,2,3,4,",Sector Medio,4.1472,-73.6382,4.5,6000,5000,11000,21
76,PARQUE LA LLNURA,Sector Medio,4.1502,-73.6384,4.5,6000,5000,11000,21
77,PARQUE SICUANI,Sector Medio,4.1476,-73.6322,4.5,6000,5000,11000,21
78,SAUSALITO,Sector Medio,4.1471,-73.6375,4.5,6000,5000,11000,21
79,BOCHICA,Sector Medio,4.1527,-73.6383,4.5,6000,5000,11000,21
80,CANAIMA,Sector Medio,4.1446,-73.6343,4.5,6000,5000,11000,21
81,PORTAL DEL CANAIMA,Sector Medio,4.1526,-73.6329,4.5,6000,5000,11000,21
82,SAN NISIDRO,Sector Medio,4.1442,-73.6304,4.5,6000,5000,11000,21
83,SANTA INES,Sector Medio,4.1509,-73.6339,4.5,6000,5000,11000,21
84,HOTEL ROSADO,Sector Medio,4.1456,-73.6357,4.5,6000,5000,11000,21
85,VILLA DEL SOL,Sector Medio,4.1443,-73.6354,4.5,6000,5000,11000,21
86,LA MORGUE,Sector Medio,4.1447,-73.6377,4.5,6000,5000,11000,21
87,SAN MARCOS,Sector Medio,4.1455,-73.6313,4.5,6000,5000,11000,21
88,CONJONTO TOSCANA,Sector Medio,4.1457,-73.636,4.5,6000,5000,11000,21
89,QUINTAS DE TOSCANA,Sector Medio,4.1471,-73.6372,4.5,6000,5000,11000,21
90,FLORIDA,Sector Medio,4.1534,-73.6352,4.5,6000,5000,11000,21
91,NUEVA FLORESTA,Sector Medio,4.1515,-73.6362,4.5,6000,5000,11000,21
92,TEUSACA,Sector Medio,4.15,-73.6363,4.5,6000,5000,11000,21
93,EMBUDO,Sector Medio,4.1478,-73.6304,4.5,6000,5000,11000,21
94,SANBENITO,Sector Medio,4.1438,-73.6315,4.5,6000,5000,11000,21
95,NUEVO RICAUTE,Sector Medio,4.145,-73.6323,4.5,6000,5000,11000,21
96,PORVENIR,Sector Medio,4.1532,-73.6355,4.5,6000,5000,11000,21
97,VIENTE JULIO,Sector Medio,4.1518,-73.6327,4.5,6000,5000,11000,21
98,SIMON BOLIVAR,Sector Medio,4.1515,-73.6375,4.5,6000,5000,11000,21
99,ANTONIO RICAUTE,Sector Medio,4.152,-73.6332,4.5,6000,5000,11000,21
100,BARRIO NOGALES,Sector Medio,4.1475,-73.633,4.5,6000,5000,11000,21
101,Página 548,Sector Cereo Uno,4.1526,-73.6346,3.8,6000,4000,10000,19
102,CANEY,Sector Cereo Uno,4.1468,-73.6318,3.8,6000,4000,10000,19
103,BRISAS DEL CANEY,Sector Cereo Uno,4.1468,-73.6318,3.8,6000,4000,10000,19
104,AMARAL,Sector Cereo Uno,4.1441,-73.6389,3.8,6000,4000,10000,19
105,CATATUMBO,Sector Cereo Uno,4.1464,-73.6336,3.8,6000,4000,10000,19
106,RETIRO,Sector Cereo Uno,4.1448,-73.6327,3.8,6000,4000,10000,19
107,BUENOS AIRES,Sector Cereo Uno,4.1442,-73.6359,3.8,6000,4000,10000,19
108,REMANSO,Sector Cereo Uno,4.1499,-73.6353,3.8,6000,4000,10000,19
109,VIZCAYA,Sector Cereo Uno,4.1522,-73.6291,3.8,6000,4000,10000,19
110,HOTEL HACARITAMA,Sector Cereo Uno,4.1456,-73.6338,3.8,6000,4000,10000,19
111,CANCHA RACING,Sector Cereo Uno,4.1443,-73.6308,3.8,6000,4000,10000,19
112,HACARITAMA,Sector Cereo Uno,4.1447,-73.6386,3.8,6000,4000,10000,19
113,BARRIO PRIMAVERA,Sector Cereo Uno,4.1479,-73.636,3.8,6000,4000,10000,19
114,PARQUE PRIMAVERA,Sector Cereo Uno,4.1524,-73.6305,3.8,6000,4000,10000,19
115,CIUDADELA EL DIVINO NIÑO,Sector Cereo Uno,4.1497,-73.6292,3.8,6000,4000,10000,19
116,LAS FERIAS,Sector Cereo Uno,4.148,-73.6314,3.8,6000,4000,10000,19
117,GAITAN,Sector Cereo Uno,4.1456,-73.6352,3.8,6000,4000,10000,19
118,SAN GREGORIO,Sector Cereo Uno,4.1477,-73.6329,3.8,6000,4000,10000,19
119,MAIZARO,Sector Cereo Uno,4.1517,-73.6326,3.8,6000,4000,10000,19
120,"CONDOMINIO DUARY 1,2",Conjuntos Y Condoninios Medio,4.1457,-73.6331,3.8,6000,4000,10000,19
121,CERRO CAMPESTRE ALTO,Conjuntos Y Condoninios Medio,4.1505,-73.6373,3.8,6000,4000,10000,19
122,CERRO CAMPESTRE BAJO,Conjuntos Y Condoninios Medio,4.1455,-73.631,3.8,6000,4000,10000,19
123,CONDOMINIO BOSQUES DE,Conjuntos Y Condoninios Medio,4.15,-73.6318,3.8,6000,4000,10000,19
124,CONDOMINIO PORTAL DEL,Conjuntos Y Condoninios Medio,4.1473,-73.6353,3.8,6000,4000,10000,19
125,MOLINO,Conjuntos Y Condoninios Medio,4.145,-73.6307,3.8,6000,4000,10000,19
126,RESERVAS DEL VIZCAYA,Conjuntos Y Condoninios Medio,4.1519,-73.6384,3.8,6000,4000,10000,19
127,"CONJUNTO LOS ALMENDROS 1,2",Conjuntos Y Condoninios Medio,4.149,-73.6334,3.8,6000,4000,10000,19
128,CAMINOS DE SEVILLA,Sector Terminal,4.123,-73.6323,5.2,6000,6000,12000,23
129,LLANO HERMOSO,Sector Terminal,4.1307,-73.6278,5.2,6000,6000,12000,23
130,"CONJUNTO BONNANZA 1,2",Sector Terminal,4.1284,-73.6321,5.2,6000,6000,12000,23
131,RINCON DEL LLANO,Sector Terminal,4.1307,-73.6338,5.2,6000,6000,12000,23
132,TORRES DEL MEDITERRENO,Sector Terminal,4.1295,-73.6313,5.2,6000,6000,12000,23
133,Página 549,Sector Terminal,4.1295,-73.6255,5.2,6000,6000,12000,23
134,TERMINAL DE TRANSPORTE,Sector Terminal,4.128,-73.629,5.2,6000,6000,12000,23
135,"QUINTA DE MORELIA 1,2,3",Sector Terminal,4.1288,-73.628,5.2,6000,6000,12000,23
136,CONDOMINIO VILLAVENTO,Sector Terminal,4.1235,-73.6325,5.2,6000,6000,12000,23
137,CONDOMINIO CIUDAD REAL,Sector Terminal,4.1296,-73.6266,5.2,6000,6000,12000,23
138,TORRES DE PRADERA,Sector Terminal,4.1267,-73.6249,5.2,6000,6000,12000,23
139,CONDOMINIO VILLA VALERIA,Sector Terminal,4.1265,-73.6269,5.2,6000,6000,12000,23
140,CONDOMINIO CANAGUAY,Sector Terminal,4.1258,-73.6316,5.2,6000,6000,12000,23
141,JARDINES DE SANTORINE,Sector Terminal,4.1307,-73.6281,5.2,6000,6000,12000,23
142,LLANO REAL CLUB HOUSE,Sector Terminal,4.128,-73.6272,5.2,6000,6000,12000,23
143,PALMAS DE VALLARTA,Sector Terminal,4.1251,-73.6273,5.2,6000,6000,12000,23
144,CONJUNTO TERRABELA,Sector Terminal,4.1292,-73.6276,5.2,6000,6000,12000,23
145,BOSQUES DE MORELIA,Sector Terminal,4.1279,-73.6253,5.2,6000,6000,12000,23
146,"NUEVA ESPERANZA 1,2",Sector Terminal,4.1278,-73.6305,5.2,6000,6000,12000,23
