sector,barrio,tarifa_base,recargo_distancia,tarifa_total
SECTOR GENERAL,CEIBA,8000,0,8000
SECTOR GENERAL,CEDRITOS,8000,0,8000
SECTOR GENERAL,BOSQUE BAJO,8000,0,8000
SECTOR GENERAL,SAUCES,8000,0,8000
SECTOR GENERAL,ROSALES,8000,0,8000
SECTOR GENERAL,CONJUNTO LLANO GRANDE,8000,0,8000
SECTOR GENERAL,COJUNTO SANTA LUCIA,8000,0,8000
SECTOR GENERAL,COJUNTO BARCELONA,8000,0,8000
SECTOR GENERAL,CONDOMINIO ROSALES,8000,0,8000
SECTOR GENERAL,POPULAR,8000,0,8000
SECTOR GENERAL,DOS MIL BAJO,8000,0,8000
SECTOR GENERAL,DOS MIL ALTO,8000,0,8000
SECTOR GENERAL,BAMBU,8000,0,8000
SECTOR GENERAL,SANTA HELENA,8000,0,8000
SECTOR GENERAL,JORDAN,8000,0,8000
SECTOR GENERAL,JORDAN PARAISO,8000,0,8000
SECTOR GENERAL,JORDAN ALTO,8000,0,8000
SECTOR GENERAL,SAN LUIS,8000,0,8000
SECTOR GENERAL,TRANSITO Y ACUEDUCTO,8000,0,8000
SECTOR GENERAL,MADRIGAL,8000,0,8000
SECTOR GENERAL,VILLA FABIOLA,8000,0,8000
SECTOR GENERAL,CAMINO REAL,8000,0,8000
SECTOR GENERAL,VILLA CRISTINA,8000,0,8000
SECTOR GENERAL,CASTILLA,8000,0,8000
SECTOR GENERAL,VAINILLA,8000,0,8000
SECTOR GENERAL,CARCEL,8000,0,8000
SECTOR GENERAL,RECREO,8000,0,8000
SECTOR GENERAL,SEIS  DE ABRIL,8000,0,8000
SECTOR GENERAL,OLIMPICA,8000,0,8000
SECTOR GENERAL,MANANTIAL,8000,0,8000
SECTOR GENERAL,HIERBABUENA,8000,0,8000
SECTOR GENERAL,COFREN CATAMA,8000,0,8000
SECTOR GENERAL,PUESTO DE SALUD RECREO,8000,0,8000
SECTOR GENERAL,ALCALA,8000,0,8000
SECTOR GENERAL,FLORENCIA,8000,0,8000
SECTOR GENERAL,DESMONTADORA,8000,0,8000
SECTOR GENERAL,"CONJUNTO CAMINO REAL (1,2,3,4)",8000,0,8000
SECTOR GENERAL,"PARQUES DE SEVILLA (1,2,3,4,)",8000,0,8000
SECTOR GENERAL,CONJUNTO TULIPANES,8000,0,8000
SECTOR GENERAL,CONJUNTO GIRASOLES,8000,0,8000
SECTOR GENERAL,CONJUNTO ALMERIA,8000,0,8000
SECTOR GENERAL,CONDOMINIO CRISTALES,8000,0,8000
SECTOR GENERAL,CONJUNTO PALAMA REAL,8000,0,8000
SECTOR GENERAL,ALTOS DE LOMALINDA,8000,0,8000
SECTOR GENERAL,COJUNTO VILLA KARINA,8000,0,8000
SECTOR GENERAL,CONJUNTO PRADOS DE CASTILLA,8000,0,8000
SECTOR GENERAL,EDIFICIO SANFERNANDO PLAZA,8000,0,8000
SECTOR GENERAL,PRADOS DE HIRBABUENA,8000,0,8000
SECTOR GENERAL,COJUNTO MALIBU,8000,0,8000
SECTOR GENERAL,BALCONES DE PONTEVEDRA,8000,0,8000
SECTOR GENERAL,ESTERO,8000,0,8000
SECTOR GENERAL,MACUNAIMA,8000,0,8000
SECTOR GENERAL,PARQUE DE LA MEMORIA,7000,0,7000
SECTOR GENERAL,MACARENA,7000,0,7000
SECTOR GENERAL,NOGAL,8000,0,8000
SECTOR GENERAL,SAN CRISTOBAL,8000,0,8000
SECTOR GENERAL,CAMELIAS,8000,0,8000
SECTOR GENERAL,OLIMPICO BAJO,8000,0,8000
SECTOR GENERAL,VILLA ORTIX,8000,0,8000
SECTOR GENERAL,OLIMPICO,7000,0,7000
SECTOR GENERAL,VILLA JHOANA,8000,0,8000
SECTOR GENERAL,CATALUÑA,8000,0,8000
SECTOR GENERAL,VILLA NIEVES,8000,0,8000
SECTOR GENERAL,DANUVIO,8000,0,8000
SECTOR GENERAL,GAUDALAJARA,8000,0,8000
SECTOR GENERAL,MARACOS,8000,0,8000
SECTOR GENERAL,MI LLANURA,9000,0,9000
SECTOR GENERAL,BELLO HORISONTE,7000,0,7000
SECTOR GENERAL,SAN INGNACIO,7000,0,7000
SECTOR GENERAL,"CANTARRANA 1,2,3,4,",7000,0,7000
SECTOR GENERAL,PARQUE LA LLNURA,7000,0,7000
SECTOR GENERAL,PARQUE SICUANI,7000,0,7000
SECTOR GENERAL,SAUSALITO,7000,0,7000
SECTOR GENERAL,BOCHICA,7000,0,7000
SECTOR GENERAL,CANAIMA,8000,0,8000
SECTOR GENERAL,PORTAL DEL CANAIMA,8000,0,8000
SECTOR GENERAL,SAN NISIDRO,9000,0,9000
SECTOR GENERAL,SANTA INES,9000,0,9000
SECTOR GENERAL,HOTEL ROSADO,9000,0,9000
SECTOR GENERAL,VILLA DEL SOL,8000,0,8000
SECTOR GENERAL,LA MORGUE,8000,0,8000
SECTOR GENERAL,SAN MARCOS,8000,0,8000
SECTOR GENERAL,CONJONTO TOSCANA,9000,0,9000
SECTOR GENERAL,QUINTAS DE TOSCANA,9000,0,9000
SECTOR GENERAL,FLORIDA,8000,0,8000
SECTOR GENERAL,NUEVA FLORESTA,7000,0,7000
SECTOR GENERAL,TEUSACA,9000,0,9000
SECTOR GENERAL,EMBUDO,8000,0,8000
SECTOR GENERAL,SANBENITO,9000,0,9000
SECTOR GENERAL,NUEVO RICAUTE,8000,0,8000
SECTOR GENERAL,PORVENIR,9000,0,9000
SECTOR GENERAL,VIENTE JULIO,8000,0,8000
SECTOR GENERAL,SIMON BOLIVAR,8000,0,8000
SECTOR GENERAL,ANTONIO RICAUTE,8000,0,8000
SECTOR GENERAL,BARRIO NOGALES,8000,0,8000
SECTOR GENERAL,CANEY,8000,0,8000
SECTOR GENERAL,BRISAS DEL CANEY,8000,0,8000
SECTOR GENERAL,AMARAL,8000,0,8000
SECTOR GENERAL,CATATUMBO,8000,0,8000
SECTOR GENERAL,RETIRO,8000,0,8000
SECTOR GENERAL,BUENOS AIRES,8000,0,8000
SECTOR GENERAL,REMANSO,8000,0,8000
SECTOR GENERAL,VIZCAYA,8000,0,8000
