id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
1,SUPER ALITAS CANTARRANA WEB,Sector Menima,4.147,-73.6322,2.4,6000,2000,8000,16
2,CANTARRANA,Sector Menima,4.1462,-73.6371,2.4,6000,2000,8000,16
3,en el momento,Sector Menima,4.1457,-73.6385,2.4,6000,2000,8000,16
4,mismo),Sector Menima,4.1511,-73.6315,2.4,6000,2000,8000,16
5,CEIBA,Sector Menima,4.1485,-73.6305,2.4,6000,2000,8000,16
6,CEDRITOS,Sector Menima,4.1502,-73.632,2.4,6000,2000,8000,16
7,BOSQUE BAJO,Sector Menima,4.149,-73.6315,2.4,6000,2000,8000,16
8,SAUCES,Sector Menima,4.1515,-73.6335,2.4,6000,2000,8000,16
9,ROSALES,Sector Menima,4.1495,-73.6295,2.4,6000,2000,8000,16
10,CONJUNTO LLANO GRANDE,Sector Menima,4.1465,-73.6321,2.4,6000,2000,8000,16
11,COJUNTO SANTA LUCIA,Sector Menima,4.1482,-73.6275,2.4,6000,2000,8000,16
12,COJUNTO BARCELONA,Sector Menima,4.147,-73.626,2.4,6000,2000,8000,16
13,CONDOMINIO ROSALES,Sector Menima,4.1495,-73.6295,2.4,6000,2000,8000,16
14,POPULAR,Sector Menima,4.146,-73.635,2.4,6000,2000,8000,16
15,DOS MIL BAJO,Sector Menima,4.1455,-73.637,2.4,6000,2000,8000,16
16,DOS MIL ALTO,Sector Menima,4.1448,-73.6385,2.4,6000,2000,8000,16
17,BAMBU,Sector Menima,4.147,-73.6294,2.4,6000,2000,8000,16
18,SANTA HELENA,Sector Menima,4.151,-73.63,2.4,6000,2000,8000,16
19,JORDAN,Sector Menima,4.154,-73.627,2.4,6000,2000,8000,16
20,JORDAN PARAISO,Sector Menima,4.1548,-73.6265,2.4,6000,2000,8000,16
21,JORDAN ALTO,Sector Menima,4.1555,-73.6258,2.4,6000,2000,8000,16
22,SAN LUIS,Sector Menima,4.1465,-73.6325,2.4,6000,2000,8000,16
23,TRANSITO Y ACUEDUCTO,Sector Menima,4.1472,-73.6328,2.4,6000,2000,8000,16
24,MADRIGAL,Sector Menima,4.1505,-73.6285,2.4,6000,2000,8000,16
25,VILLA FABIOLA,Sector Menima,4.1467,-73.6319,2.4,6000,2000,8000,16
26,CAMINO REAL,Sector Menima,4.153,-73.625,2.4,6000,2000,8000,16
27,VILLA CRISTINA,Sector Menima,4.1456,-73.6368,2.4,6000,2000,8000,16
28,CASTILLA,Sector Menima,4.1498,-73.6265,2.4,6000,2000,8000,16
29,VAINILLA,Sector Menima,4.1452,-73.6376,2.4,6000,2000,8000,16
30,CARCEL,Sector Menima,4.1446,-73.6291,2.4,6000,2000,8000,16
31,RECREO,Sector Menima,4.148,-73.629,2.4,6000,2000,8000,16
32,SEIS DE ABRIL,Sector Menima,4.1525,-73.6382,2.4,6000,2000,8000,16
33,OLIMPICA,Sector Menima,4.1505,-73.632,2.4,6000,2000,8000,16
34,MANANTIAL,Sector Menima,4.1533,-73.6323,2.4,6000,2000,8000,16
35,HIERBABUENA,Sector Menima,4.1533,-73.6389,2.4,6000,2000,8000,16
36,Página 619,Conjuntos Sector Cerca,4.1465,-73.6348,2.4,6000,2000,8000,16
37,COFREN CATAMA,Conjuntos Sector Cerca,4.147,-73.608,2.4,6000,2000,8000,16
38,PUESTO DE SALUD RECREO,Conjuntos Sector Cerca,4.148,-73.629,2.4,6000,2000,8000,16
39,ALCALA,Conjuntos Sector Cerca,4.1448,-73.6378,2.4,6000,2000,8000,16
40,FLORENCIA,Conjuntos Sector Cerca,4.1496,-73.6351,2.4,6000,2000,8000,16
41,DESMONTADORA,Conjuntos Sector Cerca,4.1476,-73.6307,2.4,6000,2000,8000,16
42,CONJUNTO CAMINO REAL,Conjuntos Sector Cerca,4.153,-73.625,2.4,6000,2000,8000,16
43,"(1,2,3,4)",Conjuntos Sector Cerca,4.1444,-73.6319,2.4,6000,2000,8000,16
44,"PARQUES DE SEVILLA (1,2,3,4,)",Conjuntos Sector Cerca,4.1521,-73.6374,2.4,6000,2000,8000,16
45,CONJUNTO TULIPANES,Conjuntos Sector Cerca,4.1448,-73.6377,2.4,6000,2000,8000,16
46,CONJUNTO GIRASOLES,Conjuntos Sector Cerca,4.1506,-73.6293,2.4,6000,2000,8000,16
47,CONJUNTO ALMERIA,Conjuntos Sector Cerca,4.1449,-73.6324,2.4,6000,2000,8000,16
