id,barrio,zona,latitud,longitud,distancia_km,tarifa_base,recargo_distancia,tarifa_total,tiempo_entrega_min
1,YUSUCHY WEB,Sector Minima,4.1513,-73.6348,1.7,6000,1000,7000,14
2,momento,Sector Minima,4.1461,-73.6389,1.7,6000,1000,7000,14
3,CEIBA,Sector Minima,4.1485,-73.6305,1.7,6000,1000,7000,14
4,CEDRITOS,Sector Minima,4.1502,-73.632,1.7,6000,1000,7000,14
5,BOSQUE BAJO,Sector Minima,4.149,-73.6315,1.7,6000,1000,7000,14
6,SAUCES,Sector Minima,4.1515,-73.6335,1.7,6000,1000,7000,14
7,ROSALES,Sector Minima,4.1495,-73.6295,1.7,6000,1000,7000,14
8,CONJUNTO LLANO GRANDE,Sector Minima,4.1465,-73.6321,1.7,6000,1000,7000,14
9,COJUNTO SANTA LUCIA,Sector Minima,4.1482,-73.6275,1.7,6000,1000,7000,14
10,COJUNTO BARCELONA,Sector Minima,4.147,-73.626,1.7,6000,1000,7000,14
11,CONDOMINIO ROSALES,Sector Minima,4.1495,-73.6295,1.7,6000,1000,7000,14
12,POPULAR,Sector Minima,4.146,-73.635,1.7,6000,1000,7000,14
13,DOS MIL BAJO,Sector Minima,4.1455,-73.637,1.7,6000,1000,7000,14
14,DOS MIL ALTO,Sector Minima,4.1448,-73.6385,1.7,6000,1000,7000,14
15,BAMBU,Sector Minima,4.147,-73.6294,1.7,6000,1000,7000,14
16,Página 47,Sector Minima,4.1488,-73.6366,1.7,6000,1000,7000,14
17,SANTA HELENA,Sector Minima,4.151,-73.63,1.7,6000,1000,7000,14
18,JORDAN,Sector Minima,4.154,-73.627,2.4,6000,2000,8000,16
19,JORDAN PARAISO,Sector Minima,4.1548,-73.6265,2.4,6000,2000,8000,16
20,COFREN CATAMA,Sector Minima,4.147,-73.608,2.4,6000,2000,8000,16
21,PUESTO DE SALUD RECREO,Sector Minima,4.148,-73.629,1.7,6000,1000,7000,14
22,ALCALA,Sector Minima,4.1448,-73.6378,1.7,6000,1000,7000,14
23,FLORENCIA,Sector Minima,4.1496,-73.6351,1.7,6000,1000,7000,14
24,DESMONTADORA,Sector Minima,4.1476,-73.6307,1.7,6000,1000,7000,14
25,CAMINO REAL,Sector Minima,4.153,-73.625,1.7,6000,1000,7000,14
26,VILLA CRISTINA,Sector Minima,4.1456,-73.6368,1.7,6000,1000,7000,14
27,CASTILLA,Sector Minima,4.1498,-73.6265,1.7,6000,1000,7000,14
28,VAINILLA,Sector Minima,4.1452,-73.6376,1.7,6000,1000,7000,14
29,CARCEL,Sector Minima,4.1446,-73.6291,1.7,6000,1000,7000,14
30,RECREO,Sector Minima,4.148,-73.629,1.7,6000,1000,7000,14
31,SEIS DE ABRIL,Sector Minima,4.1525,-73.6382,1.7,6000,1000,7000,14
32,OLIMPICA,Sector Minima,4.1505,-73.632,1.7,6000,1000,7000,14
33,MANANTIAL,Sector Minima,4.1533,-73.6323,2.4,6000,2000,8000,16
34,HIERBABUENA,Sector Minima,4.1533,-73.6389,2.4,6000,2000,8000,16
35,JORDAN ALTO,Sector Minima,4.1555,-73.6258,1.7,6000,1000,7000,14
36,SAN LUIS,Sector Minima,4.1465,-73.6325,1.7,6000,1000,7000,14
37,TRANSITO Y ACUEDUCTO,Sector Minima,4.1472,-73.6328,1.7,6000,1000,7000,14
38,MADRIGAL,Sector Minima,4.1505,-73.6285,1.7,6000,1000,7000,14
39,VILLA FABIOLA,Sector Minima,4.1467,-73.6319,1.7,6000,1000,7000,14
40,Página 48,Conjuntos Sector Cerca,4.15,-73.6376,2.4,6000,2000,8000,16
41,"CONJUNTO CAMINO REAL (1,2,3,4)",Conjuntos Sector Cerca,4.153,-73.625,2.4,6000,2000,8000,16
42,"PARQUES DE SEVILLA (1,2,3,4,)",Conjuntos Sector Cerca,4.1521,-73.6374,2.4,6000,2000,8000,16
43,CONJUNTO TULIPANES,Conjuntos Sector Cerca,4.1448,-73.6377,2.4,6000,2000,8000,16
44,CONJUNTO GIRASOLES,Conjuntos Sector Cerca,4.1506,-73.6293,2.4,6000,2000,8000,16
45,CONJUNTO ALMERIA,Conjuntos Sector Cerca,4.1449,-73.6324,2.4,6000,2000,8000,16
46,CONDOMINIO CRISTALES,Conjuntos Sector Cerca,4.1486,-73.6371,2.4,6000,2000,8000,16
47,CONJUNTO PALAMA REAL,Conjuntos Sector Cerca,4.1531,-73.6379,2.4,6000,2000,8000,16
48,ALTOS DE LOMALINDA,Conjuntos Sector Cerca,4.1473,-73.6379,2.4,6000,2000,8000,16
49,COJUNTO VILLA KARINA,Sector Cerca Medio,4.1524,-73.6334,2.4,6000,2000,8000,16
50,CONJUNTO PRADOS DE CASTILLA,Sector Cerca Medio,4.1498,-73.6265,2.4,6000,2000,8000,16
51,EDIFICIO SANFERNANDO PLAZA,Sector Cerca Medio,4.1447,-73.6303,2.4,6000,2000,8000,16
52,PRADOS DE HIRBABUENA,Sector Cerca Medio,4.1512,-73.637,2.4,6000,2000,8000,16
53,COJUNTO MALIBU,Sector Cerca Medio,4.1497,-73.6328,2.4,6000,2000,8000,16
54,BALCONES DE PONTEVEDRA,Sector Cerca Medio,4.1451,-73.635,2.4,6000,2000,8000,16
55,ESTERO,Sector Cerca Medio,4.143,-73.615,2.4,6000,2000,8000,16
56,Página 49,Sector Cerca Medio,4.1494,-73.6341,3.1,6000,3000,9000,17
57,MACUNAIMA,Sector Cerca Medio,4.142,-73.617,3.1,6000,3000,9000,17
58,PARQUE DE LA MEMORIA,Sector Cerca Medio,4.142,-73.63,2.4,6000,2000,8000,16
59,MACARENA,Sector Cerca Medio,4.1501,-73.6376,2.4,6000,2000,8000,16
60,NOGAL,Sector Cerca Medio,4.1475,-73.633,3.1,6000,3000,9000,17
61,SAN CRISTOBAL,Sector Cerca Medio,4.1448,-73.6379,3.1,6000,3000,9000,17
62,CAMELIAS,Sector Cerca Medio,4.1536,-73.6352,3.1,6000,3000,9000,17
63,OLIMPICO BAJO,Sector Cerca Medio,4.1487,-73.6379,3.1,6000,3000,9000,17
64,VILLA ORTIX,Sector Cerca Medio,4.1493,-73.6305,2.4,6000,2000,8000,16
65,OLIMPICO,Sector Cerca Medio,4.148,-73.6292,2.4,6000,2000,8000,16
66,VILLA JHOANA,Sector Cerca Medio,4.1447,-73.6306,3.1,6000,3000,9000,17
67,CATALUÑA,Sector Cerca Medio,4.1509,-73.6382,3.1,6000,3000,9000,17
68,VILLA NIEVES,Sector Cerca Medio,4.1521,-73.6357,3.1,6000,3000,9000,17
69,DANUVIO,Sector Cerca Medio,4.1473,-73.6352,3.1,6000,3000,9000,17
70,GAUDALAJARA,Sector Cerca Medio,4.1459,-73.6338,2.4,6000,2000,8000,16
71,MARACOS,Sector Cerca Medio,4.1505,-73.6326,2.4,6000,2000,8000,16
72,MI LLANURA,Sector Cerca Medio,4.149,-73.6343,2.4,6000,2000,8000,16
73,BELLO HORISONTE,Sector Cerca Medio,4.1442,-73.6373,2.4,6000,2000,8000,16
74,SAN INGNACIO,Sector Cerca Medio,4.1474,-73.633,2.4,6000,2000,8000,16
75,"CANTARRANA 1,2,3,4,",Sector Cerca Medio,4.1472,-73.6382,2.4,6000,2000,8000,16
76,PARQUE LA LLNURA,Sector Cerca Medio,4.1502,-73.6384,2.4,6000,2000,8000,16
77,PARQUE SICUANI,Sector Cerca Medio,4.1476,-73.6322,2.4,6000,2000,8000,16
78,SAUSALITO,Sector Cerca Medio,4.1471,-73.6375,2.4,6000,2000,8000,16
79,BOCHICA,Sector Cerca Medio,4.1527,-73.6383,2.4,6000,2000,8000,16
80,CANAIMA,Sector Cerca Medio,4.1446,-73.6343,2.4,6000,2000,8000,16
81,Página 50,Sector Cerca Medio,4.1523,-73.6351,2.4,6000,2000,8000,16
82,PORTAL DEL CANAIMA,Sector Cerca Medio,4.1526,-73.6329,3.1,6000,3000,9000,17
83,SAN NISIDRO,Sector Cerca Medio,4.1442,-73.6304,3.1,6000,3000,9000,17
84,SANTA INES,Sector Cerca Medio,4.1509,-73.6339,3.1,6000,3000,9000,17
85,HOTEL ROSADO,Sector Cerca Medio,4.1456,-73.6357,3.1,6000,3000,9000,17
86,VILLA DEL SOL,Sector Cerca Medio,4.1443,-73.6354,3.1,6000,3000,9000,17
87,LA MORGUE,Sector Cerca Medio,4.1447,-73.6377,3.1,6000,3000,9000,17
88,SAN MARCOS,Sector Cerca Medio,4.1455,-73.6313,3.1,6000,3000,9000,17
89,CONJONTO TOSCANA,Sector Cerca Medio,4.1457,-73.636,3.1,6000,3000,9000,17
90,QUINTAS DE TOSCANA,Sector Cerca Medio,4.1471,-73.6372,3.1,6000,3000,9000,17
91,FLORIDA,Sector Cerca Medio,4.1534,-73.6352,3.1,6000,3000,9000,17
92,NUEVA FLORESTA,Sector Cerca Medio,4.1515,-73.6362,3.1,6000,3000,9000,17
93,TEUSACA,Sector Cerca Medio,4.15,-73.6363,3.1,6000,3000,9000,17
94,EMBUDO,Sector Cerca Medio,4.1478,-73.6304,3.1,6000,3000,9000,17
95,SANBENITO,Sector Cerca Medio,4.1438,-73.6315,3.1,6000,3000,9000,17
96,NUEVO RICAUTE,Sector Cerca Medio,4.145,-73.6323,3.1,6000,3000,9000,17
97,PORVENIR,Sector Cerca Medio,4.1532,-73.6355,3.1,6000,3000,9000,17
98,VIENTE JULIO,Sector Cerca Medio,4.1518,-73.6327,3.1,6000,3000,9000,17
99,SIMON BOLIVAR,Sector Cerca Medio,4.1515,-73.6375,2.4,6000,2000,8000,16
100,ANTONIO RICAUTE,Sector Cerca Medio,4.152,-73.6332,2.4,6000,2000,8000,16
101,BARRIO NOGALES,Sector Cerca Medio,4.1475,-73.633,2.4,6000,2000,8000,16
102,CANEY,Sector Cerca Medio,4.1468,-73.6318,2.4,6000,2000,8000,16
103,BRISAS DEL CANEY,Sector Cerca Medio,4.1468,-73.6318,2.4,6000,2000,8000,16
104,AMARAL,Sector Cerca Medio,4.1441,-73.6389,2.4,6000,2000,8000,16
105,Página 51,Sector Cerca Medio,4.1492,-73.6369,2.4,6000,2000,8000,16
106,CATATUMBO,Sector Cerca Medio,4.1464,-73.6336,2.4,6000,2000,8000,16
107,RETIRO,Sector Cerca Medio,4.1448,-73.6327,2.4,6000,2000,8000,16
108,BUENOS AIRES,Sector Cerca Medio,4.1442,-73.6359,2.4,6000,2000,8000,16
109,REMANSO,Sector Cerca Medio,4.1499,-73.6353,2.4,6000,2000,8000,16
110,HOTEL HACARITAMA,Sector Cerca Medio,4.1456,-73.6338,2.4,6000,2000,8000,16
111,CANCHA RACING,Sector Cerca Medio,4.1443,-73.6308,3.1,6000,3000,9000,17
112,HACARITAMA,Sector Cerca Medio,4.1447,-73.6386,3.1,6000,3000,9000,17
113,BARRIO PRIMAVERA,Sector Cerca Medio,4.1479,-73.636,3.1,6000,3000,9000,17
114,PARQUE PRIMAVERA,Sector Cerca Medio,4.1524,-73.6305,3.1,6000,3000,9000,17
115,CIUDADELA EL DIVINO NIÑO,Sector Cerca Medio,4.1497,-73.6292,3.1,6000,3000,9000,17
116,LAS FERIAS,Sector Cerca Medio,4.148,-73.6314,3.1,6000,3000,9000,17
117,SAN GREGORIO,Sector Cerca Medio,4.1477,-73.6329,3.1,6000,3000,9000,17
118,MAIZARO,Sector Cereo Uno,4.1517,-73.6326,3.1,6000,3000,9000,17
119,VIZCAYA,Conjuntos Y Condoninios Sector Medio,4.1522,-73.6291,3.1,6000,3000,9000,17
120,GAITAN,Conjuntos Y Condoninios Sector Medio,4.1456,-73.6352,3.1,6000,3000,9000,17
121,"CONDOMINIO DUARY 1,2",Conjuntos Y Condoninios Sector Medio,4.1457,-73.6331,3.1,6000,3000,9000,17
122,CERRO CAMPESTRE ALTO,Conjuntos Y Condoninios Sector Medio,4.1505,-73.6373,3.1,6000,3000,9000,17
123,CERRO CAMPESTRE BAJO,Conjuntos Y Condoninios Sector Medio,4.1455,-73.631,3.1,6000,3000,9000,17
124,Página 52,Conjuntos Y Condoninios Sector Medio,4.1534,-73.6372,3.1,6000,3000,9000,17
125,CONDOMINIO BOSQUES DE,Conjuntos Y Condoninios Sector Medio,4.15,-73.6318,3.1,6000,3000,9000,17
126,CONDOMINIO PORTAL DEL,Conjuntos Y Condoninios Sector Medio,4.1473,-73.6353,3.1,6000,3000,9000,17
127,MOLINO,Conjuntos Y Condoninios Sector Medio,4.145,-73.6307,3.1,6000,3000,9000,17
128,RESERVAS DEL VIZCAYA,Conjuntos Y Condoninios Sector Medio,4.1519,-73.6384,3.1,6000,3000,9000,17
129,"CONJUNTO LOS ALMENDROS 1,2",Sector Terminal,4.1282,-73.6285,3.8,6000,4000,10000,19
130,CAMINOS DE SEVILLA,Sector Terminal,4.123,-73.6323,3.8,6000,4000,10000,19
131,LLANO HERMOSO,Sector Terminal,4.1307,-73.6278,3.8,6000,4000,10000,19
132,"CONJUNTO BONNANZA 1,2",Sector Terminal,4.1284,-73.6321,3.8,6000,4000,10000,19
133,RINCON DEL LLANO,Sector Terminal,4.1307,-73.6338,3.8,6000,4000,10000,19
134,TORRES DEL MEDITERRENO,Sector Terminal,4.1295,-73.6313,3.8,6000,4000,10000,19
135,TERMINAL DE TRANSPORTE,Sector Terminal,4.128,-73.629,3.8,6000,4000,10000,19
136,"QUINTA DE MORELIA 1,2,3",Sector Terminal,4.1288,-73.628,3.8,6000,4000,10000,19
137,CONDOMINIO VILLAVENTO,Sector Terminal,4.1235,-73.6325,3.8,6000,4000,10000,19
138,CONDOMINIO CIUDAD REAL,Sector Terminal,4.1296,-73.6266,3.8,6000,4000,10000,19
139,TORRES DE PRADERA,Sector Terminal,4.1267,-73.6249,3.8,6000,4000,10000,19
140,Página 53,Sector Terminal,4.1231,-73.6332,3.8,6000,4000,10000,19
141,CONDOMINIO VILLA VALERIA,Sector Terminal,4.1265,-73.6269,3.8,6000,4000,10000,19
142,CONDOMINIO CANAGUAY,Sector Terminal,4.1258,-73.6316,3.8,6000,4000,10000,19
143,JARDINES DE SANTORINE,Sector Terminal,4.1307,-73.6281,3.8,6000,4000,10000,19
144,LLANO REAL CLUB HOUSE,Sector Terminal,4.128,-73.6272,3.8,6000,4000,10000,19
145,PALMAS DE VALLARTA,Sector Terminal,4.1251,-73.6273,3.8,6000,4000,10000,19
146,CONJUNTO TERRABELA,Sector Terminal,4.1292,-73.6276,3.8,6000,4000,10000,19
147,BOSQUES DE MORELIA,Sector Terminal,4.1279,-73.6253,3.8,6000,4000,10000,19
148,"NUEVA ESPERANZA 1,2",Sector Amarilo,4.1078,-73.6065,6.6,6000,8000,14000,26
149,CONDOMINIO SIENDA MANOY,Sector Amarilo,4.1082,-73.6035,6.6,6000,8000,14000,26
150,QUINTAS DE SANTA CLARA,Sector Amarilo,4.1044,-73.6067,6.6,6000,8000,14000,26
151,BARRIO VILLA DEL ALCARABAN,Sector Amarilo,4.1112,-73.6092,6.6,6000,8000,14000,26
152,URBANIZACION CALATRABA,Sector Amarilo,4.1037,-73.6083,6.6,6000,8000,14000,26
153,TERRA VERDE,Sector Amarilo,4.1097,-73.6015,6.6,6000,8000,14000,26
154,ALAMEDA DEL BOSQUE,Sector Amarilo,4.1495,-73.631,6.6,6000,8000,14000,26
155,REMANSOS DEL LLANO,Sector Amarilo,4.1081,-73.6026,6.6,6000,8000,14000,26
156,Página 54,Sector Amarilo,4.1111,-73.6045,6.6,6000,8000,14000,26
157,SAN GERARDO,Sector Amarilo,4.11,-73.6099,6.6,6000,8000,14000,26
158,TERRA VELA,Sector Amarilo,4.1051,-73.6008,6.6,6000,8000,14000,26
159,AMARILO MORICHAL,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
160,AMARILO CIMARON,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
161,AMARILO ALBORADA,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
162,AMARILO PIEDEMONTE,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
163,AMARILO ARAUCO,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
164,AMARILO ZAINOS,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
165,"AMARILO PASOLLONO 1,2,3,4",Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
166,AMARILO ALCARABN,Sector Amarilo,4.108,-73.605,6.6,6000,8000,14000,26
167,AMARILO MAPIRE,Sector Amarilo,4.108,-73.605,5.9,6000,7000,13000,24
168,AMARILO OCARROS,Sector Amarilo,4.108,-73.605,5.9,6000,7000,13000,24
169,AMARILO ARBOLEDA CAMPESTRE,Sector Amarilo,4.108,-73.605,5.9,6000,7000,13000,24
170,AMARILO PRADO VERDE,Sector Amarilo,4.108,-73.605,5.9,6000,7000,13000,24
171,IV 4,Sector Amarilo,4.1106,-73.6005,5.9,6000,7000,13000,24
172,"AMARILO LLANO ALTO 1,2,3,4",Sector Amarilo,4.108,-73.605,5.9,6000,7000,13000,24
173,VILLA HERMOSA,Sector Amarilo,4.1117,-73.6067,8.0,6000,10000,16000,30
174,Página 55,Sector Amarilo,4.111,-73.6057,8.0,6000,10000,16000,30
175,CONDOMINIO CAMPSTRE,Sector Amarilo,4.1055,-73.6046,8.0,6000,10000,16000,30
176,CARACOLI,Sector Amarilo,4.111,-73.6002,8.0,6000,10000,16000,30
177,GIMNASIO LOS ALCAZARES,Sector Amarilo,4.1116,-73.601,8.7,6000,11000,17000,31
178,LAS MERCEDES,Sector Los Centauros,4.1098,-73.6117,6.6,6000,8000,14000,26
179,MULTIFAMILIARES CENTAUROS,Sector Los Centauros,4.1118,-73.6094,6.6,6000,8000,14000,26
180,"BLOQUE A,B,C,D",Sector Los Centauros,4.1083,-73.6079,6.6,6000,8000,14000,26
181,PORTALES DE GRATAMIRA,Sector Los Centauros,4.1122,-73.6074,6.6,6000,8000,14000,26
182,BALCONES DE GRATAMIRA,Sector Los Centauros,4.1082,-73.6135,6.6,6000,8000,14000,26
183,"TORRES DE SALERMO 1,2",Sector Los Centauros,4.1141,-73.6111,6.6,6000,8000,14000,26
184,CONDOMINIO SANTA ANA,Sector Los Centauros,4.1165,-73.6093,5.9,6000,7000,13000,24
185,CONDOMINIO LA FONTANA,Sector Los Centauros,4.1143,-73.6131,5.9,6000,7000,13000,24
186,CONDOMINIO SANTA PAULA,Sector Los Centauros,4.1079,-73.6091,5.9,6000,7000,13000,24
187,PRADOS DE MARICURE,Sector Los Centauros,4.1078,-73.6079,5.9,6000,7000,13000,24
